카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년11월_계_총인구수,"654,210","350,342","25,062","24,074","33,137","33,105","34,646","38,167","26,853","20,223","21,985","38,770","26,936","18,245","9,139","303,868","39,137","21,998","25,255","44,411","6,281","18,479","22,692","47,244","17,628","16,553","35,411","8,779"
2020년11월_계_연령구간인구수,"654,210","350,342","25,062","24,074","33,137","33,105","34,646","38,167","26,853","20,223","21,985","38,770","26,936","18,245","9,139","303,868","39,137","21,998","25,255","44,411","6,281","18,479","22,692","47,244","17,628","16,553","35,411","8,779"
2020년11월_계_0~9세,"44,722","23,596","1,767","1,116","1,829","2,565","3,917","2,716","1,560",981,"1,494","2,303","1,730","1,124",494,"21,126","2,690","1,194","1,644","3,457",289,"1,320","1,658","3,868","1,316",923,"2,458",309
2020년11월_계_10~19세,"64,285","34,273","2,493","1,640","2,949","3,642","4,089","4,037","2,908","1,773","2,134","3,889","2,624","1,330",765,"30,012","3,988","1,950","2,192","5,284",318,"1,799","2,511","4,906","1,419","1,614","3,644",387
2020년11월_계_20~29세,"106,218","57,826","3,822","4,359","6,003","5,381","5,610","6,003","4,360","3,571","3,506","7,036","4,776","2,243","1,156","48,392","6,091","4,175","5,082","7,627",487,"2,798","3,077","7,444","2,665","2,465","5,764",717
2020년11월_계_30~39세,"85,615","44,073","3,079","3,753","4,610","4,221","5,059","4,676","2,962","2,446","2,465","4,397","3,207","2,253",945,"41,542","5,168","3,194","3,925","5,497",632,"2,487","2,965","7,241","2,898","1,887","4,988",660
2020년11월_계_40~49세,"108,602","57,974","4,555","4,021","5,680","5,540","6,064","6,911","4,515","3,158","3,661","6,129","3,701","2,668","1,371","50,628","7,199","3,294","3,790","7,388","1,017","2,843","4,078","8,325","2,734","2,838","6,177",945
2020년11월_계_50~59세,"127,779","68,827","4,638","4,549","6,304","6,399","5,987","7,356","5,438","4,279","4,649","8,203","5,748","3,411","1,866","58,952","7,545","4,116","4,534","8,993","1,650","3,726","4,322","8,198","3,296","3,701","6,908","1,963"
2020년11월_계_60~69세,"70,771","37,518","2,552","2,656","2,932","3,368","2,792","3,694","2,872","2,259","2,359","4,208","3,344","2,964","1,518","33,253","3,863","2,420","2,772","4,197","1,009","2,307","2,590","4,398","2,110","1,925","3,532","2,130"
2020년11월_계_70~79세,"29,677","16,753","1,446","1,310","1,526","1,266",757,"1,808","1,449","1,117","1,087","1,622","1,100","1,590",675,"12,924","1,681","1,078",847,"1,210",585,862,980,"1,836",760,784,"1,245","1,056"
