카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년10월_계_총인구수,"30,823","9,949","2,166","2,257","3,577","1,521","1,925","2,355","2,746","2,213","2,114"
2020년10월_계_연령구간인구수,"30,823","9,949","2,166","2,257","3,577","1,521","1,925","2,355","2,746","2,213","2,114"
2020년10월_계_0~9세,"1,285",653,53,80,147,34,53,80,82,57,46
2020년10월_계_10~19세,"2,048",970,93,86,276,81,112,115,100,110,105
2020년10월_계_20~29세,"2,622","1,246",154,154,314,93,116,128,176,127,114
2020년10월_계_30~39세,"2,079",905,106,118,268,75,104,118,138,122,125
2020년10월_계_40~49세,"3,120","1,250",178,217,413,125,173,205,226,168,165
2020년10월_계_50~59세,"5,292","1,676",366,414,614,314,312,385,473,355,383
2020년10월_계_60~69세,"6,070","1,535",463,526,657,318,424,523,598,523,503
2020년10월_계_70~79세,"4,538",983,385,344,505,244,354,461,502,402,358
2020년10월_계_80~89세,"3,310",622,331,288,338,206,242,303,406,302,272
2020년10월_계_90~99세,440,102,37,29,43,31,33,35,45,46,39
2020년10월_계_100세 이상,19,7,0,1,2,0,2,2,0,1,4
2020년10월_남_총인구수,"15,616","4,995","1,077","1,189","1,855",793,988,"1,188","1,371","1,116","1,044"
2020년10월_남_연령구간인구수,"15,616","4,995","1,077","1,189","1,855",793,988,"1,188","1,371","1,116","1,044"
2020년10월_남_0~9세,654,332,27,36,78,22,26,41,42,27,23
2020년10월_남_10~19세,"1,078",484,55,53,150,45,62,55,57,57,60
2020년10월_남_20~29세,"1,514",717,86,93,193,51,70,63,100,74,67
2020년10월_남_30~39세,"1,193",469,64,75,160,47,65,74,86,77,76
2020년10월_남_40~49세,"1,824",660,101,140,231,78,114,144,142,109,105
2020년10월_남_50~59세,"2,885",881,199,238,333,176,180,217,270,187,204
2020년10월_남_60~69세,"3,109",745,245,281,344,179,222,265,304,265,259
2020년10월_남_70~79세,"2,047",459,176,158,224,110,160,199,220,192,149
2020년10월_남_80~89세,"1,184",220,113,105,123,76,79,121,142,112,93
2020년10월_남_90~99세,123,24,11,10,19,9,9,9,8,16,8
2020년10월_남_100세 이상,5,4,0,0,0,0,1,0,0,0,0
2020년10월_여_총인구수,"15,207","4,954","1,089","1,068","1,722",728,937,"1,167","1,375","1,097","1,070"
2020년10월_여_연령구간인구수,"15,207","4,954","1,089","1,068","1,722",728,937,"1,167","1,375","1,097","1,070"
2020년10월_여_0~9세,631,321,26,44,69,12,27,39,40,30,23
2020년10월_여_10~19세,970,486,38,33,126,36,50,60,43,53,45
2020년10월_여_20~29세,"1,108",529,68,61,121,42,46,65,76,53,47
2020년10월_여_30~39세,886,436,42,43,108,28,39,44,52,45,49
2020년10월_여_40~49세,"1,296",590,77,77,182,47,59,61,84,59,60
2020년10월_여_50~59세,"2,407",795,167,176,281,138,132,168,203,168,179
2020년10월_여_60~69세,"2,961",790,218,245,313,139,202,258,294,258,244
2020년10월_여_70~79세,"2,491",524,209,186,281,134,194,262,282,210,209
2020년10월_여_80~89세,"2,126",402,218,183,215,130,163,182,264,190,179
2020년10월_여_90~99세,317,78,26,19,24,22,24,26,37,30,31
2020년10월_여_100세 이상,14,3,0,1,2,0,1,2,0,1,4
