,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년05월_계_총인구수,"60,790","9,794","10,899","10,468","11,741","9,842","8,046"
2020년05월_계_연령구간인구수,"60,790","9,794","10,899","10,468","11,741","9,842","8,046"
2020년05월_계_0~9세,"4,891",731,"1,236",635,957,690,642
2020년05월_계_10~19세,"6,362",922,"1,483","1,158","1,239",647,913
2020년05월_계_20~29세,"8,369","1,450","1,210","1,677","1,707","1,318","1,007"
2020년05월_계_30~39세,"8,324","1,263","1,356","1,172","1,755","1,747","1,031"
2020년05월_계_40~49세,"9,371","1,278","2,098","1,437","1,743","1,484","1,331"
2020년05월_계_50~59세,"10,715","1,847","1,707","2,074","2,142","1,596","1,349"
2020년05월_계_60~69세,"6,930","1,275",965,"1,222","1,204","1,357",907
2020년05월_계_70~79세,"3,597",586,551,615,571,698,576
2020년05월_계_80~89세,"1,812",346,246,381,353,258,228
2020년05월_계_90~99세,368,81,43,86,65,44,49
2020년05월_계_100세 이상,51,15,4,11,5,3,13
2020년05월_남_총인구수,"29,872","4,741","5,301","4,960","5,793","5,133","3,944"
2020년05월_남_연령구간인구수,"29,872","4,741","5,301","4,960","5,793","5,133","3,944"
2020년05월_남_0~9세,"2,557",387,623,318,531,344,354
2020년05월_남_10~19세,"3,300",461,753,616,655,349,466
2020년05월_남_20~29세,"4,412",763,641,839,891,730,548
2020년05월_남_30~39세,"4,196",621,587,565,898,994,531
2020년05월_남_40~49세,"4,483",585,"1,017",631,810,799,641
2020년05월_남_50~59세,"5,230",855,869,"1,005","1,029",794,678
2020년05월_남_60~69세,"3,380",655,480,575,600,670,400
2020년05월_남_70~79세,"1,571",265,225,254,249,341,237
2020년05월_남_80~89세,647,130,95,132,115,99,76
2020년05월_남_90~99세,87,17,11,22,14,13,10
2020년05월_남_100세 이상,9,2,0,3,1,0,3
2020년05월_여_총인구수,"30,918","5,053","5,598","5,508","5,948","4,709","4,102"
2020년05월_여_연령구간인구수,"30,918","5,053","5,598","5,508","5,948","4,709","4,102"
2020년05월_여_0~9세,"2,334",344,613,317,426,346,288
2020년05월_여_10~19세,"3,062",461,730,542,584,298,447
2020년05월_여_20~29세,"3,957",687,569,838,816,588,459
2020년05월_여_30~39세,"4,128",642,769,607,857,753,500
2020년05월_여_40~49세,"4,888",693,"1,081",806,933,685,690
2020년05월_여_50~59세,"5,485",992,838,"1,069","1,113",802,671
2020년05월_여_60~69세,"3,550",620,485,647,604,687,507
2020년05월_여_70~79세,"2,026",321,326,361,322,357,339
2020년05월_여_80~89세,"1,165",216,151,249,238,159,152
2020년05월_여_90~99세,281,64,32,64,51,31,39
2020년05월_여_100세 이상,42,13,4,8,4,3,10
