,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년06월_계_총인구수,"263,034","25,829","36,305","21,024","6,087","5,602","3,387","3,771","3,050","10,179","6,666","20,416","37,252","30,081","16,148","37,237"
2020년06월_계_연령구간인구수,"263,034","25,829","36,305","21,024","6,087","5,602","3,387","3,771","3,050","10,179","6,666","20,416","37,252","30,081","16,148","37,237"
2020년06월_계_0~9세,"21,095","1,743","2,533","2,419",186,154,82,108,90,608,244,"2,118","3,047","3,352","1,075","3,336"
2020년06월_계_10~19세,"22,970","2,815","3,715","1,165",293,253,107,164,119,606,427,"2,029","4,094","2,292",836,"4,055"
2020년06월_계_20~29세,"35,991","3,818","5,331","3,222",548,491,218,277,268,"1,622","1,038","2,134","4,532","3,829","3,660","5,003"
2020년06월_계_30~39세,"33,729","2,633","4,022","4,219",514,420,216,236,202,"1,219",690,"2,867","4,214","4,650","2,841","4,786"
2020년06월_계_40~49세,"41,626","4,125","6,509","2,981",663,644,280,410,297,"1,352",860,"3,556","6,611","4,550","2,240","6,548"
2020년06월_계_50~59세,"44,668","4,246","6,840","2,842","1,219","1,086",632,739,615,"1,963","1,303","3,059","6,294","5,123","2,436","6,271"
2020년06월_계_60~69세,"33,730","3,228","3,859","2,271","1,364","1,241",836,850,688,"1,715","1,097","2,492","4,680","3,522","1,763","4,124"
2020년06월_계_70~79세,"19,104","2,082","2,257","1,224",803,819,594,548,478,751,645,"1,484","2,552","1,924",871,"2,072"
2020년06월_계_80~89세,"9,032","1,021","1,134",610,437,438,368,380,246,309,326,596,"1,094",757,384,932
2020년06월_계_90~99세,"1,022",106,98,66,54,54,52,57,45,32,33,73,128,78,39,107
2020년06월_계_100세 이상,67,12,7,5,6,2,2,2,2,2,3,8,6,4,3,3
2020년06월_남_총인구수,"132,471","12,987","18,866","11,146","3,246","2,847","1,781","1,958","1,560","4,931","3,315","10,027","17,872","14,483","8,799","18,653"
2020년06월_남_연령구간인구수,"132,471","12,987","18,866","11,146","3,246","2,847","1,781","1,958","1,560","4,931","3,315","10,027","17,872","14,483","8,799","18,653"
2020년06월_남_0~9세,"10,792",931,"1,302","1,275",105,77,43,55,46,287,135,"1,072","1,491","1,678",565,"1,730"
2020년06월_남_10~19세,"11,945","1,481","1,904",607,154,132,56,88,70,326,233,"1,101","2,005","1,149",455,"2,184"
2020년06월_남_20~29세,"19,786","2,132","3,014","1,791",325,282,140,162,168,857,567,"1,154","2,355","2,025","2,039","2,775"
2020년06월_남_30~39세,"18,044","1,440","2,276","2,367",293,265,143,143,110,620,398,"1,438","2,064","2,296","1,734","2,457"
2020년06월_남_40~49세,"21,316","2,017","3,345","1,725",400,390,181,245,184,643,435,"1,783","3,214","2,209","1,295","3,250"
2020년06월_남_50~59세,"22,443","2,188","3,680","1,460",689,548,352,422,334,924,649,"1,463","3,020","2,347","1,278","3,089"
2020년06월_남_60~69세,"16,464","1,548","1,991","1,150",728,640,463,465,341,830,533,"1,146","2,210","1,604",857,"1,958"
2020년06월_남_70~79세,"8,351",866,949,548,391,362,274,252,223,340,252,629,"1,086",854,435,890
2020년06월_남_80~89세,"3,098",360,376,209,148,142,120,114,69,98,105,222,398,299,134,304
2020년06월_남_90~99세,221,22,29,14,10,9,9,12,13,6,8,17,29,21,6,16
2020년06월_남_100세 이상,11,2,0,0,3,0,0,0,2,0,0,2,0,1,1,0
2020년06월_여_총인구수,"130,563","12,842","17,439","9,878","2,841","2,755","1,606","1,813","1,490","5,248","3,351","10,389","19,380","15,598","7,349","18,584"
2020년06월_여_연령구간인구수,"130,563","12,842","17,439","9,878","2,841","2,755","1,606","1,813","1,490","5,248","3,351","10,389","19,380","15,598","7,349","18,584"
2020년06월_여_0~9세,"10,303",812,"1,231","1,144",81,77,39,53,44,321,109,"1,046","1,556","1,674",510,"1,606"
2020년06월_여_10~19세,"11,025","1,334","1,811",558,139,121,51,76,49,280,194,928,"2,089","1,143",381,"1,871"
2020년06월_여_20~29세,"16,205","1,686","2,317","1,431",223,209,78,115,100,765,471,980,"2,177","1,804","1,621","2,228"
2020년06월_여_30~39세,"15,685","1,193","1,746","1,852",221,155,73,93,92,599,292,"1,429","2,150","2,354","1,107","2,329"
2020년06월_여_40~49세,"20,310","2,108","3,164","1,256",263,254,99,165,113,709,425,"1,773","3,397","2,341",945,"3,298"
2020년06월_여_50~59세,"22,225","2,058","3,160","1,382",530,538,280,317,281,"1,039",654,"1,596","3,274","2,776","1,158","3,182"
2020년06월_여_60~69세,"17,266","1,680","1,868","1,121",636,601,373,385,347,885,564,"1,346","2,470","1,918",906,"2,166"
2020년06월_여_70~79세,"10,753","1,216","1,308",676,412,457,320,296,255,411,393,855,"1,466","1,070",436,"1,182"
2020년06월_여_80~89세,"5,934",661,758,401,289,296,248,266,177,211,221,374,696,458,250,628
2020년06월_여_90~99세,801,84,69,52,44,45,43,45,32,26,25,56,99,57,33,91
2020년06월_여_100세 이상,56,10,7,5,3,2,2,2,0,2,3,6,6,3,2,3
