카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년07월_계_총인구수,"61,717","10,767","11,041","10,395","11,699","9,814","8,001"
2020년07월_계_연령구간인구수,"61,717","10,767","11,041","10,395","11,699","9,814","8,001"
2020년07월_계_0~9세,"5,005",821,"1,281",634,949,684,636
2020년07월_계_10~19세,"6,308",963,"1,482","1,118","1,207",642,896
2020년07월_계_20~29세,"8,546","1,586","1,226","1,678","1,710","1,328","1,018"
2020년07월_계_30~39세,"8,495","1,433","1,365","1,198","1,769","1,727","1,003"
2020년07월_계_40~49세,"9,489","1,423","2,141","1,412","1,717","1,475","1,321"
2020년07월_계_50~59세,"10,860","2,026","1,717","2,041","2,124","1,591","1,361"
2020년07월_계_60~69세,"7,112","1,433",985,"1,214","1,218","1,360",902
2020년07월_계_70~79세,"3,655",622,555,621,583,701,573
2020년07월_계_80~89세,"1,825",363,243,379,351,259,230
2020년07월_계_90~99세,371,83,42,89,66,44,47
2020년07월_계_100세 이상,51,14,4,11,5,3,14
2020년07월_남_총인구수,"30,296","5,228","5,377","4,932","5,731","5,114","3,914"
2020년07월_남_연령구간인구수,"30,296","5,228","5,377","4,932","5,731","5,114","3,914"
2020년07월_남_0~9세,"2,604",439,647,323,514,333,348
2020년07월_남_10~19세,"3,269",476,752,594,638,345,464
2020년07월_남_20~29세,"4,489",833,651,838,877,742,548
2020년07월_남_30~39세,"4,285",705,596,576,906,987,515
2020년07월_남_40~49세,"4,540",656,"1,040",618,795,794,637
2020년07월_남_50~59세,"5,297",941,870,"1,000","1,010",792,684
2020년07월_남_60~69세,"3,463",742,490,568,606,665,392
2020년07월_남_70~79세,"1,602",281,225,256,257,342,241
2020년07월_남_80~89세,651,134,95,134,115,100,73
2020년07월_남_90~99세,87,19,11,22,12,14,9
2020년07월_남_100세 이상,9,2,0,3,1,0,3
2020년07월_여_총인구수,"31,421","5,539","5,664","5,463","5,968","4,700","4,087"
2020년07월_여_연령구간인구수,"31,421","5,539","5,664","5,463","5,968","4,700","4,087"
2020년07월_여_0~9세,"2,401",382,634,311,435,351,288
2020년07월_여_10~19세,"3,039",487,730,524,569,297,432
2020년07월_여_20~29세,"4,057",753,575,840,833,586,470
2020년07월_여_30~39세,"4,210",728,769,622,863,740,488
2020년07월_여_40~49세,"4,949",767,"1,101",794,922,681,684
2020년07월_여_50~59세,"5,563","1,085",847,"1,041","1,114",799,677
2020년07월_여_60~69세,"3,649",691,495,646,612,695,510
2020년07월_여_70~79세,"2,053",341,330,365,326,359,332
2020년07월_여_80~89세,"1,174",229,148,245,236,159,157
2020년07월_여_90~99세,284,64,31,67,54,30,38
2020년07월_여_100세 이상,42,12,4,8,4,3,11
