카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년10월_계_총인구수,"552,338","45,439","40,702","31,493","48,899","31,418","28,046","6,487","9,643","22,404","13,043","13,847","31,698","12,251","20,017","16,566","10,524","32,792","22,543","23,925","27,839","25,493","22,802","14,467"
2021년10월_계_연령구간인구수,"552,338","45,439","40,702","31,493","48,899","31,418","28,046","6,487","9,643","22,404","13,043","13,847","31,698","12,251","20,017","16,566","10,524","32,792","22,543","23,925","27,839","25,493","22,802","14,467"
2021년10월_계_0~9세,"49,318","4,250","2,198","3,730","6,306","4,669","3,183",327,416,"1,085",617,538,"2,643",609,"1,275",681,744,"2,471","1,704","2,250","2,690","2,274","1,962","2,696"
2021년10월_계_10~19세,"56,911","4,401","3,357","4,421","6,595","4,043","2,166",359,697,"1,536",895,"1,180","2,957",847,"1,859","1,188",721,"3,342","2,698","3,387","3,222","2,678","3,103","1,259"
2021년10월_계_20~29세,"72,018","6,288","6,397","3,922","5,597","3,373","3,279","1,025","1,529","3,088","1,654","2,035","4,069","1,748","2,746","2,333","1,239","4,611","2,841","2,748","3,815","3,186","3,168","1,327"
2021년10월_계_30~39세,"80,455","7,943","4,841","5,602","7,879","5,542","4,652",897,"1,197","2,932","1,471","1,572","4,262","1,558","2,502","1,846","1,585","4,563","2,414","3,034","4,281","3,356","2,702","3,824"
2021년10월_계_40~49세,"96,774","8,525","5,960","6,438","10,196","6,539","4,615",781,"1,250","3,140","1,814","1,983","4,953","1,799","2,934","2,209","1,534","5,706","4,291","5,309","5,298","4,472","4,252","2,776"
2021년10월_계_50~59세,"94,869","7,063","8,491","4,282","6,820","4,139","4,608","1,533","2,188","4,515","2,655","2,854","5,830","2,455","3,890","3,314","1,909","5,917","4,143","3,818","4,655","4,495","3,937","1,358"
2021년10월_계_60~69세,"64,007","4,403","5,789","2,063","3,768","2,232","3,531","1,106","1,584","3,851","2,375","2,273","4,658","1,976","3,099","3,004","1,766","3,794","2,380","1,873","2,411","3,084","2,158",829
2021년10월_계_70~79세,"25,133","1,781","2,254",678,"1,175",607,"1,362",286,489,"1,542","1,072",942,"1,632",851,"1,093","1,292",666,"1,577","1,341",989,950,"1,262","1,004",288
