카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년05월_계_총인구수,"51,161","13,154","1,928","1,609","1,766","1,559","1,477","1,455","4,228","3,898","2,563","1,790","1,722","1,798","4,612","3,792",827,"2,148",835
2021년05월_계_연령구간인구수,"51,161","13,154","1,928","1,609","1,766","1,559","1,477","1,455","4,228","3,898","2,563","1,790","1,722","1,798","4,612","3,792",827,"2,148",835
2021년05월_계_0~9세,"1,864",775,26,38,28,21,41,35,132,140,90,44,35,38,244,93,21,49,14
2021년05월_계_10~19세,"2,225","1,015",57,37,52,38,49,40,132,126,44,43,59,52,248,122,14,74,23
2021년05월_계_20~29세,"3,045","1,103",82,67,84,59,57,49,221,266,116,85,84,102,365,179,22,74,30
2021년05월_계_30~39세,"3,122","1,133",85,75,63,46,72,72,212,262,133,95,90,79,363,188,30,81,43
2021년05월_계_40~49세,"4,553","1,715",135,99,126,106,68,94,344,344,188,112,122,121,481,266,44,138,50
2021년05월_계_50~59세,"8,414","2,147",315,249,337,276,251,235,650,677,420,294,290,308,761,604,147,329,124
2021년05월_계_60~69세,"12,005","2,537",553,436,501,430,453,423,"1,043",942,648,472,390,432,864,912,188,580,201
2021년05월_계_70~79세,"8,846","1,691",359,324,335,295,270,269,845,645,495,332,337,347,727,788,182,427,178
2021년05월_계_80~89세,"6,229",911,286,249,215,245,186,206,548,425,380,279,287,289,484,577,158,353,151
2021년05월_계_90~99세,829,126,28,35,25,43,29,29,96,67,47,34,27,28,73,60,21,41,20
2021년05월_계_100세 이상,29,1,2,0,0,0,1,3,5,4,2,0,1,2,2,3,0,2,1
2021년05월_남_총인구수,"25,048","6,442",956,789,878,749,757,725,"2,076","1,892","1,246",892,852,867,"2,199","1,861",400,"1,071",396
2021년05월_남_연령구간인구수,"25,048","6,442",956,789,878,749,757,725,"2,076","1,892","1,246",892,852,867,"2,199","1,861",400,"1,071",396
2021년05월_남_0~9세,984,418,16,22,19,11,17,23,76,68,40,19,20,23,119,50,9,24,10
2021년05월_남_10~19세,"1,152",531,35,19,24,23,29,16,70,67,22,25,28,27,114,62,8,38,14
2021년05월_남_20~29세,"1,764",622,52,42,43,28,42,28,131,151,72,46,56,61,207,110,13,43,17
2021년05월_남_30~39세,"1,745",583,59,50,43,27,43,37,119,136,79,59,55,44,208,120,15,44,24
2021년05월_남_40~49세,"2,666",898,90,67,82,75,38,58,204,210,123,79,79,79,258,170,24,99,33
2021년05월_남_50~59세,"4,567","1,125",183,135,183,146,127,125,355,377,229,165,160,188,397,323,89,190,70
2021년05월_남_60~69세,"6,050","1,201",282,220,262,216,261,241,534,445,327,248,193,222,427,456,106,301,108
2021년05월_남_70~79세,"3,889",741,141,149,144,139,124,115,379,290,231,151,151,135,308,351,67,201,72
2021년05월_남_80~89세,"2,042",295,95,78,73,75,70,77,178,130,114,93,105,81,151,197,62,122,46
2021년05월_남_90~99세,186,28,3,7,5,9,6,5,29,18,9,7,5,7,10,20,7,9,2
2021년05월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년05월_여_총인구수,"26,113","6,712",972,820,888,810,720,730,"2,152","2,006","1,317",898,870,931,"2,413","1,931",427,"1,077",439
2021년05월_여_연령구간인구수,"26,113","6,712",972,820,888,810,720,730,"2,152","2,006","1,317",898,870,931,"2,413","1,931",427,"1,077",439
2021년05월_여_0~9세,880,357,10,16,9,10,24,12,56,72,50,25,15,15,125,43,12,25,4
2021년05월_여_10~19세,"1,073",484,22,18,28,15,20,24,62,59,22,18,31,25,134,60,6,36,9
2021년05월_여_20~29세,"1,281",481,30,25,41,31,15,21,90,115,44,39,28,41,158,69,9,31,13
2021년05월_여_30~39세,"1,377",550,26,25,20,19,29,35,93,126,54,36,35,35,155,68,15,37,19
2021년05월_여_40~49세,"1,887",817,45,32,44,31,30,36,140,134,65,33,43,42,223,96,20,39,17
2021년05월_여_50~59세,"3,847","1,022",132,114,154,130,124,110,295,300,191,129,130,120,364,281,58,139,54
2021년05월_여_60~69세,"5,955","1,336",271,216,239,214,192,182,509,497,321,224,197,210,437,456,82,279,93
2021년05월_여_70~79세,"4,957",950,218,175,191,156,146,154,466,355,264,181,186,212,419,437,115,226,106
2021년05월_여_80~89세,"4,187",616,191,171,142,170,116,129,370,295,266,186,182,208,333,380,96,231,105
2021년05월_여_90~99세,643,98,25,28,20,34,23,24,67,49,38,27,22,21,63,40,14,32,18
2021년05월_여_100세 이상,26,1,2,0,0,0,1,3,4,4,2,0,1,2,2,1,0,2,1
