,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년11월_계_총인구수,"48,743","14,036","2,888","6,691",709,"2,763","2,564","1,754","6,497","7,541","1,272","2,028"
2020년11월_계_연령구간인구수,"48,743","14,036","2,888","6,691",709,"2,763","2,564","1,754","6,497","7,541","1,272","2,028"
2020년11월_계_0~9세,"2,934","1,099",62,791,6,121,50,46,322,368,23,46
2020년11월_계_10~19세,"3,781","1,643",269,461,28,117,97,62,397,572,42,93
2020년11월_계_20~29세,"4,498","1,561",178,742,49,211,191,115,684,635,37,95
2020년11월_계_30~39세,"4,297","1,405",160,"1,125",25,166,115,64,579,536,42,80
2020년11월_계_40~49세,"6,280","2,346",240,952,63,288,163,147,839,952,122,168
2020년11월_계_50~59세,"8,637","2,421",462,"1,030",142,500,447,283,"1,282","1,430",291,349
2020년11월_계_60~69세,"8,161","1,700",547,793,148,562,573,374,"1,195","1,540",309,420
2020년11월_계_70~79세,"5,703","1,090",525,454,130,404,454,343,715,992,223,373
2020년11월_계_80~89세,"3,799",653,375,295,104,332,392,277,423,443,163,342
2020년11월_계_90~99세,636,116,68,44,14,61,81,43,58,72,18,61
2020년11월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년11월_남_총인구수,"24,426","7,067","1,413","3,519",368,"1,384","1,209",855,"3,335","3,698",625,953
2020년11월_남_연령구간인구수,"24,426","7,067","1,413","3,519",368,"1,384","1,209",855,"3,335","3,698",625,953
2020년11월_남_0~9세,"1,490",577,35,393,4,65,23,20,156,185,12,20
2020년11월_남_10~19세,"2,062",858,202,251,12,60,43,36,220,310,22,48
2020년11월_남_20~29세,"2,665",893,102,443,31,128,128,71,417,371,24,57
2020년11월_남_30~39세,"2,336",721,94,604,17,96,70,40,339,280,25,50
2020년11월_남_40~49세,"3,436","1,180",140,543,46,173,93,78,483,523,62,115
2020년11월_남_50~59세,"4,680","1,288",253,586,91,286,247,167,686,718,160,198
2020년11월_남_60~69세,"4,034",845,247,398,82,294,283,190,601,724,166,204
2020년11월_남_70~79세,"2,468",463,210,216,50,161,195,152,316,441,99,165
2020년11월_남_80~89세,"1,150",226,118,83,34,110,114,93,104,136,44,88
2020년11월_남_90~99세,103,16,12,2,1,11,13,8,12,10,10,8
2020년11월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년11월_여_총인구수,"24,317","6,969","1,475","3,172",341,"1,379","1,355",899,"3,162","3,843",647,"1,075"
2020년11월_여_연령구간인구수,"24,317","6,969","1,475","3,172",341,"1,379","1,355",899,"3,162","3,843",647,"1,075"
2020년11월_여_0~9세,"1,444",522,27,398,2,56,27,26,166,183,11,26
2020년11월_여_10~19세,"1,719",785,67,210,16,57,54,26,177,262,20,45
2020년11월_여_20~29세,"1,833",668,76,299,18,83,63,44,267,264,13,38
2020년11월_여_30~39세,"1,961",684,66,521,8,70,45,24,240,256,17,30
2020년11월_여_40~49세,"2,844","1,166",100,409,17,115,70,69,356,429,60,53
2020년11월_여_50~59세,"3,957","1,133",209,444,51,214,200,116,596,712,131,151
2020년11월_여_60~69세,"4,127",855,300,395,66,268,290,184,594,816,143,216
2020년11월_여_70~79세,"3,235",627,315,238,80,243,259,191,399,551,124,208
2020년11월_여_80~89세,"2,649",427,257,212,70,222,278,184,319,307,119,254
2020년11월_여_90~99세,533,100,56,42,13,50,68,35,46,62,8,53
2020년11월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
