카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년03월_계_총인구수,"40,169","9,133","11,772","1,107","1,416","1,164","1,200","1,663",885,"3,711","2,788","1,227","3,034","1,069"
2021년03월_계_연령구간인구수,"40,169","9,133","11,772","1,107","1,416","1,164","1,200","1,663",885,"3,711","2,788","1,227","3,034","1,069"
2021년03월_계_0~9세,"1,693",650,500,29,36,29,38,61,19,111,66,46,84,24
2021년03월_계_10~19세,"2,551",848,810,42,64,45,71,73,48,168,123,70,159,30
2021년03월_계_20~29세,"2,911",960,805,65,87,69,58,101,41,229,137,92,187,80
2021년03월_계_30~39세,"2,436",796,727,53,80,53,52,69,24,186,151,80,118,47
2021년03월_계_40~49세,"4,125","1,235","1,248",82,112,91,109,128,87,331,229,127,276,70
2021년03월_계_50~59세,"6,646","1,520","1,910",169,241,186,201,266,159,573,467,197,583,174
2021년03월_계_60~69세,"7,668","1,371","2,274",225,295,222,212,352,187,786,614,252,658,220
2021년03월_계_70~79세,"6,579",997,"2,002",201,249,222,221,304,178,727,516,205,545,212
2021년03월_계_80~89세,"4,780",667,"1,276",199,221,218,209,269,121,518,405,144,359,174
2021년03월_계_90~99세,749,83,210,41,30,28,28,39,20,81,76,14,62,37
2021년03월_계_100세 이상,31,6,10,1,1,1,1,1,1,1,4,0,3,1
2021년03월_남_총인구수,"19,585","4,481","5,753",528,699,560,581,786,456,"1,784","1,350",590,"1,504",513
2021년03월_남_연령구간인구수,"19,585","4,481","5,753",528,699,560,581,786,456,"1,784","1,350",590,"1,504",513
2021년03월_남_0~9세,889,354,262,14,17,12,23,24,9,60,29,30,43,12
2021년03월_남_10~19세,"1,303",403,430,26,38,25,38,42,22,94,66,28,75,16
2021년03월_남_20~29세,"1,662",530,454,37,46,37,34,58,26,130,88,63,118,41
2021년03월_남_30~39세,"1,308",403,400,32,49,25,31,35,18,95,82,41,68,29
2021년03월_남_40~49세,"2,355",622,716,52,70,54,72,75,54,210,140,77,165,48
2021년03월_남_50~59세,"3,709",805,"1,062",101,144,115,120,145,109,332,283,87,310,96
2021년03월_남_60~69세,"3,873",671,"1,126",121,162,114,110,198,96,385,300,127,351,112
2021년03월_남_70~79세,"2,813",438,845,93,98,106,83,129,82,307,215,91,236,90
2021년03월_남_80~89세,"1,509",236,413,43,71,62,66,71,37,156,127,46,123,58
2021년03월_남_90~99세,158,19,40,9,4,10,4,9,3,15,19,0,15,11
2021년03월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021년03월_여_총인구수,"20,584","4,652","6,019",579,717,604,619,877,429,"1,927","1,438",637,"1,530",556
2021년03월_여_연령구간인구수,"20,584","4,652","6,019",579,717,604,619,877,429,"1,927","1,438",637,"1,530",556
2021년03월_여_0~9세,804,296,238,15,19,17,15,37,10,51,37,16,41,12
2021년03월_여_10~19세,"1,248",445,380,16,26,20,33,31,26,74,57,42,84,14
2021년03월_여_20~29세,"1,249",430,351,28,41,32,24,43,15,99,49,29,69,39
2021년03월_여_30~39세,"1,128",393,327,21,31,28,21,34,6,91,69,39,50,18
2021년03월_여_40~49세,"1,770",613,532,30,42,37,37,53,33,121,89,50,111,22
2021년03월_여_50~59세,"2,937",715,848,68,97,71,81,121,50,241,184,110,273,78
2021년03월_여_60~69세,"3,795",700,"1,148",104,133,108,102,154,91,401,314,125,307,108
2021년03월_여_70~79세,"3,766",559,"1,157",108,151,116,138,175,96,420,301,114,309,122
2021년03월_여_80~89세,"3,271",431,863,156,150,156,143,198,84,362,278,98,236,116
2021년03월_여_90~99세,591,64,170,32,26,18,24,30,17,66,57,14,47,26
2021년03월_여_100세 이상,25,6,5,1,1,1,1,1,1,1,3,0,3,1
