카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년09월_계_총인구수,"463,562","32,353","31,404","36,097","34,943","20,303","43,100","47,805","42,910","33,582","46,867","27,133","26,013","19,352","21,700"
2021년09월_계_연령구간인구수,"463,562","32,353","31,404","36,097","34,943","20,303","43,100","47,805","42,910","33,582","46,867","27,133","26,013","19,352","21,700"
2021년09월_계_0~9세,"33,364","1,127","1,718","2,154","2,312","1,403","2,674","3,349","3,640","2,682","6,446","1,846","1,484","1,131","1,398"
2021년09월_계_10~19세,"41,766","1,610","2,097","2,805","3,371","1,990","3,758","4,964","3,669","4,152","5,318","2,437","1,989","1,551","2,055"
2021년09월_계_20~29세,"64,724","6,732","5,430","4,662","4,480","2,381","5,986","6,789","5,847","4,584","4,993","3,810","3,548","2,591","2,891"
2021년09월_계_30~39세,"60,002","4,993","4,575","4,406","3,856","2,189","4,929","5,463","6,469","3,721","7,952","3,260","3,305","2,383","2,501"
2021년09월_계_40~49세,"73,814","4,365","4,715","5,618","5,510","3,357","6,538","7,452","6,857","6,139","9,287","4,033","3,744","2,769","3,430"
2021년09월_계_50~59세,"80,975","5,483","5,488","5,997","6,020","3,406","8,514","8,838","7,340","6,098","6,234","5,121","4,930","3,583","3,923"
2021년09월_계_60~69세,"60,824","4,643","4,197","5,446","4,730","2,922","6,200","6,405","5,361","3,189","4,020","3,702","3,941","3,006","3,062"
2021년09월_계_70~79세,"31,252","2,211","2,114","3,476","3,034","1,715","2,934","2,919","2,274","1,911","1,769","1,850","2,016","1,492","1,537"
2021년09월_계_80~89세,"14,833","1,043",957,"1,389","1,454",814,"1,388","1,401","1,267",961,736,956,945,747,775
2021년09월_계_90~99세,"1,934",139,109,142,170,117,176,220,178,142,109,113,104,90,125
2021년09월_계_100세 이상,74,7,4,2,6,9,3,5,8,3,3,5,7,9,3
2021년09월_남_총인구수,"228,451","16,562","15,611","17,578","16,909","9,725","21,183","23,207","21,332","16,603","22,760","13,293","12,999","9,859","10,830"
2021년09월_남_연령구간인구수,"228,451","16,562","15,611","17,578","16,909","9,725","21,183","23,207","21,332","16,603","22,760","13,293","12,999","9,859","10,830"
2021년09월_남_0~9세,"17,220",602,897,"1,106","1,181",705,"1,418","1,745","1,856","1,392","3,304",921,756,593,744
2021년09월_남_10~19세,"21,600",809,"1,145","1,434","1,714","1,026","1,907","2,618","1,896","2,127","2,672","1,273","1,042",822,"1,115"
2021년09월_남_20~29세,"32,778","3,138","2,645","2,269","2,278","1,194","3,116","3,458","3,011","2,419","2,481","1,980","1,857","1,395","1,537"
2021년09월_남_30~39세,"30,678","2,771","2,435","2,235","1,943","1,104","2,544","2,748","3,339","1,834","3,730","1,656","1,777","1,287","1,275"
2021년09월_남_40~49세,"37,119","2,453","2,443","2,895","2,658","1,668","3,200","3,592","3,483","2,968","4,672","1,981","1,901","1,492","1,713"
2021년09월_남_50~59세,"39,826","3,000","2,737","2,916","2,964","1,606","4,109","4,150","3,548","3,117","2,988","2,489","2,431","1,807","1,964"
2021년09월_남_60~69세,"29,449","2,383","1,986","2,502","2,205","1,402","3,022","3,074","2,693","1,542","1,872","1,812","1,975","1,511","1,470"
2021년09월_남_70~79세,"13,770",990,921,"1,577","1,297",715,"1,341","1,269","1,048",806,790,805,881,650,680
2021년09월_남_80~89세,"5,542",385,371,602,608,285,490,503,427,366,221,346,360,284,294
2021년09월_남_90~99세,455,29,29,41,60,19,36,50,29,31,29,29,18,17,38
2021년09월_남_100세 이상,14,2,2,1,1,1,0,0,2,1,1,1,1,1,0
2021년09월_여_총인구수,"235,111","15,791","15,793","18,519","18,034","10,578","21,917","24,598","21,578","16,979","24,107","13,840","13,014","9,493","10,870"
2021년09월_여_연령구간인구수,"235,111","15,791","15,793","18,519","18,034","10,578","21,917","24,598","21,578","16,979","24,107","13,840","13,014","9,493","10,870"
2021년09월_여_0~9세,"16,144",525,821,"1,048","1,131",698,"1,256","1,604","1,784","1,290","3,142",925,728,538,654
2021년09월_여_10~19세,"20,166",801,952,"1,371","1,657",964,"1,851","2,346","1,773","2,025","2,646","1,164",947,729,940
2021년09월_여_20~29세,"31,946","3,594","2,785","2,393","2,202","1,187","2,870","3,331","2,836","2,165","2,512","1,830","1,691","1,196","1,354"
2021년09월_여_30~39세,"29,324","2,222","2,140","2,171","1,913","1,085","2,385","2,715","3,130","1,887","4,222","1,604","1,528","1,096","1,226"
2021년09월_여_40~49세,"36,695","1,912","2,272","2,723","2,852","1,689","3,338","3,860","3,374","3,171","4,615","2,052","1,843","1,277","1,717"
2021년09월_여_50~59세,"41,149","2,483","2,751","3,081","3,056","1,800","4,405","4,688","3,792","2,981","3,246","2,632","2,499","1,776","1,959"
2021년09월_여_60~69세,"31,375","2,260","2,211","2,944","2,525","1,520","3,178","3,331","2,668","1,647","2,148","1,890","1,966","1,495","1,592"
2021년09월_여_70~79세,"17,482","1,221","1,193","1,899","1,737","1,000","1,593","1,650","1,226","1,105",979,"1,045","1,135",842,857
2021년09월_여_80~89세,"9,291",658,586,787,846,529,898,898,840,595,515,610,585,463,481
2021년09월_여_90~99세,"1,479",110,80,101,110,98,140,170,149,111,80,84,86,73,87
2021년09월_여_100세 이상,60,5,2,1,5,8,3,5,6,2,2,4,6,8,3
