,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년10월_계_총인구수,"45,903","14,249","2,828","3,188","1,277","3,671","1,927","2,828","2,659","1,872","2,453","4,547","4,404"
2020년10월_계_연령구간인구수,"45,903","14,249","2,828","3,188","1,277","3,671","1,927","2,828","2,659","1,872","2,453","4,547","4,404"
2020년10월_계_0~9세,"2,335","1,058",129,123,36,149,68,72,94,77,111,218,200
2020년10월_계_10~19세,"2,988","1,215",113,168,52,203,106,125,126,84,121,321,354
2020년10월_계_20~29세,"4,747","1,659",231,276,102,319,176,587,216,156,189,433,403
2020년10월_계_30~39세,"3,627","1,464",222,228,81,246,122,160,194,131,185,294,300
2020년10월_계_40~49세,"5,178","1,858",309,331,113,374,174,229,258,179,247,575,531
2020년10월_계_50~59세,"8,058","2,266",507,609,243,701,394,423,456,342,455,846,816
2020년10월_계_60~69세,"8,181","2,105",579,655,282,699,381,494,538,390,493,819,746
2020년10월_계_70~79세,"6,328","1,603",447,499,202,571,294,405,428,320,400,578,581
2020년10월_계_80~89세,"3,829",862,249,254,138,366,179,290,297,166,226,388,414
2020년10월_계_90~99세,599,150,41,42,27,38,31,42,48,25,24,72,59
2020년10월_계_100세 이상,33,9,1,3,1,5,2,1,4,2,2,3,0
2020년10월_남_총인구수,"23,323","7,221","1,433","1,612",644,"1,867",991,"1,599","1,354",932,"1,219","2,275","2,176"
2020년10월_남_연령구간인구수,"23,323","7,221","1,433","1,612",644,"1,867",991,"1,599","1,354",932,"1,219","2,275","2,176"
2020년10월_남_0~9세,"1,174",518,61,61,14,80,41,34,51,45,51,117,101
2020년10월_남_10~19세,"1,554",643,59,83,25,103,60,75,64,42,60,176,164
2020년10월_남_20~29세,"2,832",945,126,147,59,184,97,501,125,80,98,233,237
2020년10월_남_30~39세,"1,894",756,117,132,41,131,70,88,112,60,86,152,149
2020년10월_남_40~49세,"3,025","1,040",201,190,67,229,97,135,177,112,159,313,305
2020년10월_남_50~59세,"4,460","1,211",282,335,138,394,214,240,256,184,257,483,466
2020년10월_남_60~69세,"4,215","1,051",295,355,156,372,219,246,267,196,245,420,393
2020년10월_남_70~79세,"2,804",724,193,217,89,241,128,181,195,148,195,257,236
2020년10월_남_80~89세,"1,231",300,89,82,48,122,60,91,98,56,65,104,116
2020년10월_남_90~99세,131,32,10,10,7,10,5,8,9,9,3,19,9
2020년10월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년10월_여_총인구수,"22,580","7,028","1,395","1,576",633,"1,804",936,"1,229","1,305",940,"1,234","2,272","2,228"
2020년10월_여_연령구간인구수,"22,580","7,028","1,395","1,576",633,"1,804",936,"1,229","1,305",940,"1,234","2,272","2,228"
2020년10월_여_0~9세,"1,161",540,68,62,22,69,27,38,43,32,60,101,99
2020년10월_여_10~19세,"1,434",572,54,85,27,100,46,50,62,42,61,145,190
2020년10월_여_20~29세,"1,915",714,105,129,43,135,79,86,91,76,91,200,166
2020년10월_여_30~39세,"1,733",708,105,96,40,115,52,72,82,71,99,142,151
2020년10월_여_40~49세,"2,153",818,108,141,46,145,77,94,81,67,88,262,226
2020년10월_여_50~59세,"3,598","1,055",225,274,105,307,180,183,200,158,198,363,350
2020년10월_여_60~69세,"3,966","1,054",284,300,126,327,162,248,271,194,248,399,353
2020년10월_여_70~79세,"3,524",879,254,282,113,330,166,224,233,172,205,321,345
2020년10월_여_80~89세,"2,598",562,160,172,90,244,119,199,199,110,161,284,298
2020년10월_여_90~99세,468,118,31,32,20,28,26,34,39,16,21,53,50
2020년10월_여_100세 이상,30,8,1,3,1,4,2,1,4,2,2,2,0
