,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년12월_계_총인구수,"197,454","31,453","38,224","23,541","16,392","22,359","17,998","25,609","21,878"
2020년12월_계_연령구간인구수,"197,454","31,453","38,224","23,541","16,392","22,359","17,998","25,609","21,878"
2020년12월_계_0~9세,"15,199","4,625","2,760","1,764",741,"1,624",738,"1,330","1,617"
2020년12월_계_10~19세,"18,151","2,246","4,017","2,391","1,093","2,779","1,245","2,115","2,265"
2020년12월_계_20~29세,"27,281","3,338","5,642","3,371","2,236","3,073","2,784","3,816","3,021"
2020년12월_계_30~39세,"26,372","6,078","4,630","3,047","2,034","2,530","2,120","3,187","2,746"
2020년12월_계_40~49세,"32,845","5,732","6,409","3,983","2,486","3,886","2,593","3,740","4,016"
2020년12월_계_50~59세,"35,772","4,231","7,273","4,308","3,249","3,948","3,727","5,056","3,980"
2020년12월_계_60~69세,"24,423","3,279","4,267","2,642","2,555","2,690","2,845","3,760","2,385"
2020년12월_계_70~79세,"11,744","1,431","2,095","1,364","1,328","1,213","1,338","1,742","1,233"
2020년12월_계_80~89세,"4,889",418,985,586,558,537,522,749,534
2020년12월_계_90~99세,696,71,140,77,86,73,76,99,74
2020년12월_계_100세 이상,82,4,6,8,26,6,10,15,7
2020년12월_남_총인구수,"97,939","15,611","18,864","11,523","8,328","10,864","8,944","12,761","11,044"
2020년12월_남_연령구간인구수,"97,939","15,611","18,864","11,523","8,328","10,864","8,944","12,761","11,044"
2020년12월_남_0~9세,"7,852","2,406","1,452",892,379,820,404,668,831
2020년12월_남_10~19세,"9,366","1,119","2,137","1,251",518,"1,408",646,"1,114","1,173"
2020년12월_남_20~29세,"13,976","1,647","2,913","1,693","1,162","1,589","1,372","2,000","1,600"
2020년12월_남_30~39세,"13,269","2,940","2,319","1,487","1,115","1,231","1,138","1,643","1,396"
2020년12월_남_40~49세,"16,382","3,057","3,051","1,934","1,345","1,792","1,306","1,942","1,955"
2020년12월_남_50~59세,"17,597","2,006","3,511","2,116","1,658","1,917","1,857","2,466","2,066"
2020년12월_남_60~69세,"12,232","1,582","2,170","1,299","1,300","1,320","1,441","1,881","1,239"
2020년12월_남_70~79세,"5,250",706,891,605,609,556,579,754,550
2020년12월_남_80~89세,"1,806",129,377,215,207,213,179,272,214
2020년12월_남_90~99세,182,17,41,28,24,17,19,17,19
2020년12월_남_100세 이상,27,2,2,3,11,1,3,4,1
2020년12월_여_총인구수,"99,515","15,842","19,360","12,018","8,064","11,495","9,054","12,848","10,834"
2020년12월_여_연령구간인구수,"99,515","15,842","19,360","12,018","8,064","11,495","9,054","12,848","10,834"
2020년12월_여_0~9세,"7,347","2,219","1,308",872,362,804,334,662,786
2020년12월_여_10~19세,"8,785","1,127","1,880","1,140",575,"1,371",599,"1,001","1,092"
2020년12월_여_20~29세,"13,305","1,691","2,729","1,678","1,074","1,484","1,412","1,816","1,421"
2020년12월_여_30~39세,"13,103","3,138","2,311","1,560",919,"1,299",982,"1,544","1,350"
2020년12월_여_40~49세,"16,463","2,675","3,358","2,049","1,141","2,094","1,287","1,798","2,061"
2020년12월_여_50~59세,"18,175","2,225","3,762","2,192","1,591","2,031","1,870","2,590","1,914"
2020년12월_여_60~69세,"12,191","1,697","2,097","1,343","1,255","1,370","1,404","1,879","1,146"
2020년12월_여_70~79세,"6,494",725,"1,204",759,719,657,759,988,683
2020년12월_여_80~89세,"3,083",289,608,371,351,324,343,477,320
2020년12월_여_90~99세,514,54,99,49,62,56,57,82,55
2020년12월_여_100세 이상,55,2,4,5,15,5,7,11,6
