카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년08월_계_총인구수,"727,221","61,161","92,576","104,434","14,977","23,738","53,747","29,280","19,725","9,217","4,143","57,822","36,752","18,639","4,431","83,895","35,681","77,003"
2021년08월_계_연령구간인구수,"727,221","61,161","92,576","104,434","14,977","23,738","53,747","29,280","19,725","9,217","4,143","57,822","36,752","18,639","4,431","83,895","35,681","77,003"
2021년08월_계_0~9세,"63,796","3,746","7,721","8,433","1,590",935,"3,739","1,624","1,171",326,191,"6,267","3,178",635,150,"11,015","4,584","8,491"
2021년08월_계_10~19세,"78,265","7,215","11,375","11,419","1,444","1,806","6,519","2,523","1,882",758,234,"7,213","4,864","1,122",174,"8,833","3,851","7,033"
2021년08월_계_20~29세,"86,278","7,698","10,624","12,282","1,604","3,154","6,815","3,921","2,523",848,395,"6,261","4,600","2,458",495,"9,483","3,727","9,390"
2021년08월_계_30~39세,"89,521","5,787","9,856","12,031","2,138","2,304","5,370","3,265","1,767",743,416,"7,551","4,349","2,039",478,"13,735","5,266","12,426"
2021년08월_계_40~49세,"131,480","10,619","17,020","19,669","2,598","3,179","9,969","4,158","3,157","1,020",488,"11,938","7,236","2,132",458,"16,698","7,337","13,804"
2021년08월_계_50~59세,"120,400","11,134","15,442","17,826","2,311","5,020","9,876","5,607","3,689","1,773",766,"8,541","6,019","3,865",863,"10,999","5,222","11,447"
2021년08월_계_60~69세,"88,964","7,916","11,532","12,664","1,982","4,232","6,098","4,808","2,864","1,978",915,"5,437","3,564","3,741","1,083","7,718","3,588","8,844"
2021년08월_계_70~79세,"45,675","4,715","6,012","6,884",835,"1,987","3,521","2,225","1,713","1,125",463,"3,156","1,944","1,629",473,"3,729","1,440","3,824"
2021년08월_계_80~89세,"19,926","2,033","2,658","2,839",398,980,"1,635","1,021",822,517,236,"1,256",884,883,230,"1,461",571,"1,502"
2021년08월_계_90~99세,"2,776",285,322,374,76,135,200,119,117,122,36,191,113,130,24,216,92,224
2021년08월_계_100세 이상,140,13,14,13,1,6,5,9,20,7,3,11,1,5,3,8,3,18
2021년08월_남_총인구수,"361,913","30,160","46,695","52,244","7,516","12,359","27,056","14,612","9,879","4,889","2,144","28,184","18,102","9,538","2,518","41,185","17,399","37,433"
2021년08월_남_연령구간인구수,"361,913","30,160","46,695","52,244","7,516","12,359","27,056","14,612","9,879","4,889","2,144","28,184","18,102","9,538","2,518","41,185","17,399","37,433"
2021년08월_남_0~9세,"32,818","1,962","4,007","4,362",821,524,"1,945",801,611,182,102,"3,240","1,635",320,79,"5,608","2,322","4,297"
2021년08월_남_10~19세,"40,223","3,691","5,899","5,966",712,919,"3,367","1,318","1,011",446,111,"3,705","2,519",588,88,"4,419","1,994","3,470"
2021년08월_남_20~29세,"44,887","4,094","5,630","6,460",836,"1,760","3,621","2,107","1,280",505,223,"3,221","2,283","1,368",291,"4,715","1,880","4,613"
2021년08월_남_30~39세,"44,179","2,871","4,874","6,007","1,064","1,271","2,729","1,732",904,401,215,"3,568","2,154","1,179",295,"6,489","2,397","6,029"
2021년08월_남_40~49세,"65,846","4,995","8,543","9,917","1,343","1,694","4,977","2,093","1,600",570,260,"5,773","3,523","1,131",293,"8,551","3,680","6,903"
2021년08월_남_50~59세,"61,469","5,626","8,191","9,243","1,177","2,654","5,223","2,713","1,917",982,408,"4,295","3,078","1,954",492,"5,462","2,565","5,489"
2021년08월_남_60~69세,"43,374","3,791","5,772","6,092",998,"2,237","2,992","2,410","1,400","1,031",486,"2,472","1,696","1,897",640,"3,578","1,663","4,219"
2021년08월_남_70~79세,"20,877","2,220","2,692","3,022",393,910,"1,537","1,037",765,554,230,"1,372",860,761,240,"1,784",665,"1,835"
2021년08월_남_80~89세,"7,563",827,"1,002","1,079",158,362,617,367,349,197,100,492,325,312,94,541,213,528
2021년08월_남_90~99세,646,79,84,93,13,28,47,32,37,19,6,44,29,27,6,37,19,46
2021년08월_남_100세 이상,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021년08월_여_총인구수,"365,308","31,001","45,881","52,190","7,461","11,379","26,691","14,668","9,846","4,328","1,999","29,638","18,650","9,101","1,913","42,710","18,282","39,570"
2021년08월_여_연령구간인구수,"365,308","31,001","45,881","52,190","7,461","11,379","26,691","14,668","9,846","4,328","1,999","29,638","18,650","9,101","1,913","42,710","18,282","39,570"
2021년08월_여_0~9세,"30,978","1,784","3,714","4,071",769,411,"1,794",823,560,144,89,"3,027","1,543",315,71,"5,407","2,262","4,194"
2021년08월_여_10~19세,"38,042","3,524","5,476","5,453",732,887,"3,152","1,205",871,312,123,"3,508","2,345",534,86,"4,414","1,857","3,563"
2021년08월_여_20~29세,"41,391","3,604","4,994","5,822",768,"1,394","3,194","1,814","1,243",343,172,"3,040","2,317","1,090",204,"4,768","1,847","4,777"
2021년08월_여_30~39세,"45,342","2,916","4,982","6,024","1,074","1,033","2,641","1,533",863,342,201,"3,983","2,195",860,183,"7,246","2,869","6,397"
2021년08월_여_40~49세,"65,634","5,624","8,477","9,752","1,255","1,485","4,992","2,065","1,557",450,228,"6,165","3,713","1,001",165,"8,147","3,657","6,901"
2021년08월_여_50~59세,"58,931","5,508","7,251","8,583","1,134","2,366","4,653","2,894","1,772",791,358,"4,246","2,941","1,911",371,"5,537","2,657","5,958"
2021년08월_여_60~69세,"45,590","4,125","5,760","6,572",984,"1,995","3,106","2,398","1,464",947,429,"2,965","1,868","1,844",443,"4,140","1,925","4,625"
2021년08월_여_70~79세,"24,798","2,495","3,320","3,862",442,"1,077","1,984","1,188",948,571,233,"1,784","1,084",868,233,"1,945",775,"1,989"
2021년08월_여_80~89세,"12,363","1,206","1,656","1,760",240,618,"1,018",654,473,320,136,764,559,571,136,920,358,974
2021년08월_여_90~99세,"2,130",206,238,281,63,107,153,87,80,103,30,147,84,103,18,179,73,178
2021년08월_여_100세 이상,109,9,13,10,0,6,4,7,15,5,0,9,1,4,3,7,2,14
