카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년09월_계_총인구수,"210,362","29,973","12,634","10,341","10,825","16,561","20,694","7,537","16,944","16,503","17,346","14,612","36,392"
2020년09월_계_연령구간인구수,"210,362","29,973","12,634","10,341","10,825","16,561","20,694","7,537","16,944","16,503","17,346","14,612","36,392"
2020년09월_계_0~9세,"15,152","2,700","1,112",497,767,"1,268","1,983",241,746,801,"1,090","1,320","2,627"
2020년09월_계_10~19세,"16,588","3,586","1,567",735,979,"1,262","1,286",397,890,677,"1,036","1,143","3,030"
2020년09월_계_20~29세,"26,342","3,239","1,340","1,187","1,258","1,880","2,534",831,"2,431","3,459","1,946","1,658","4,579"
2020년09월_계_30~39세,"27,878","3,291","1,292","1,117","1,223","2,234","3,713",747,"2,114","3,168","2,400","1,923","4,656"
2020년09월_계_40~49세,"32,012","5,596","2,385","1,366","1,614","2,476","2,993","1,001","2,298","2,309","2,314","2,251","5,409"
2020년09월_계_50~59세,"34,369","4,758","1,968","1,670","1,889","2,706","3,073","1,332","2,905","2,344","2,750","2,495","6,479"
2020년09월_계_60~69세,"32,222","3,617","1,641","1,816","1,771","2,734","2,771","1,581","3,120","2,103","3,070","2,246","5,752"
2020년09월_계_70~79세,"18,095","2,221",928,"1,275",910,"1,438","1,642","1,008","1,739","1,181","1,903","1,150","2,700"
2020년09월_계_80~89세,"6,784",851,356,584,361,509,608,356,625,421,744,370,999
2020년09월_계_90~99세,835,112,36,87,52,46,83,38,71,32,81,49,148
2020년09월_계_100세 이상,85,2,9,7,1,8,8,5,5,8,12,7,13
2020년09월_남_총인구수,"101,407","14,497","6,047","4,886","5,315","8,090","9,939","3,582","8,144","7,857","8,398","7,162","17,490"
2020년09월_남_연령구간인구수,"101,407","14,497","6,047","4,886","5,315","8,090","9,939","3,582","8,144","7,857","8,398","7,162","17,490"
2020년09월_남_0~9세,"7,711","1,404",524,271,385,647,"1,013",126,353,404,564,691,"1,329"
2020년09월_남_10~19세,"8,535","1,890",748,392,542,673,624,199,454,351,551,576,"1,535"
2020년09월_남_20~29세,"13,381","1,695",713,574,705,"1,006","1,246",431,"1,163","1,465","1,040",895,"2,448"
2020년09월_남_30~39세,"14,001","1,538",614,572,634,"1,143","1,834",400,"1,109","1,593","1,261",934,"2,369"
2020년09월_남_40~49세,"15,635","2,591","1,148",681,766,"1,207","1,504",494,"1,159","1,196","1,207","1,134","2,548"
2020년09월_남_50~59세,"16,231","2,357",960,776,882,"1,244","1,438",619,"1,402","1,123","1,313","1,202","2,915"
2020년09월_남_60~69세,"14,842","1,656",778,817,838,"1,277","1,256",729,"1,420",988,"1,350","1,055","2,678"
2020년09월_남_70~79세,"8,248",963,418,557,422,677,770,444,820,555,807,535,"1,280"
2020년09월_남_80~89세,"2,610",373,135,217,133,200,234,131,244,173,283,130,357
2020년09월_남_90~99세,194,29,7,27,8,14,17,8,19,7,20,8,30
2020년09월_남_100세 이상,19,1,2,2,0,2,3,1,1,2,2,2,1
2020년09월_여_총인구수,"108,955","15,476","6,587","5,455","5,510","8,471","10,755","3,955","8,800","8,646","8,948","7,450","18,902"
2020년09월_여_연령구간인구수,"108,955","15,476","6,587","5,455","5,510","8,471","10,755","3,955","8,800","8,646","8,948","7,450","18,902"
2020년09월_여_0~9세,"7,441","1,296",588,226,382,621,970,115,393,397,526,629,"1,298"
2020년09월_여_10~19세,"8,053","1,696",819,343,437,589,662,198,436,326,485,567,"1,495"
2020년09월_여_20~29세,"12,961","1,544",627,613,553,874,"1,288",400,"1,268","1,994",906,763,"2,131"
2020년09월_여_30~39세,"13,877","1,753",678,545,589,"1,091","1,879",347,"1,005","1,575","1,139",989,"2,287"
2020년09월_여_40~49세,"16,377","3,005","1,237",685,848,"1,269","1,489",507,"1,139","1,113","1,107","1,117","2,861"
2020년09월_여_50~59세,"18,138","2,401","1,008",894,"1,007","1,462","1,635",713,"1,503","1,221","1,437","1,293","3,564"
2020년09월_여_60~69세,"17,380","1,961",863,999,933,"1,457","1,515",852,"1,700","1,115","1,720","1,191","3,074"
2020년09월_여_70~79세,"9,847","1,258",510,718,488,761,872,564,919,626,"1,096",615,"1,420"
2020년09월_여_80~89세,"4,174",478,221,367,228,309,374,225,381,248,461,240,642
2020년09월_여_90~99세,641,83,29,60,44,32,66,30,52,25,61,41,118
2020년09월_여_100세 이상,66,1,7,5,1,6,5,4,4,6,10,5,12
