,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년09월_계_총인구수,"101,693","10,972","4,194","3,866","3,199","2,197","3,132","1,182","4,224","5,925","4,448","3,087","29,548","9,645","4,839","6,970","4,265"
2020년09월_계_연령구간인구수,"101,693","10,972","4,194","3,866","3,199","2,197","3,132","1,182","4,224","5,925","4,448","3,087","29,548","9,645","4,839","6,970","4,265"
2020년09월_계_0~9세,"5,809",407,111,109,64,66,69,18,122,272,80,86,"2,684",710,179,576,256
2020년09월_계_10~19세,"6,678",493,149,165,91,81,85,36,152,227,136,91,"2,982",934,277,569,210
2020년09월_계_20~29세,"10,157",986,318,239,180,109,182,69,268,924,267,214,"3,537","1,253",489,707,415
2020년09월_계_30~39세,"9,434",791,297,222,173,98,169,48,230,472,251,202,"3,721","1,059",395,847,459
2020년09월_계_40~49세,"12,788","1,285",382,346,291,171,248,65,397,502,406,259,"4,828","1,468",555,"1,064",521
2020년09월_계_50~59세,"18,322","2,278",783,663,571,408,596,267,710,892,797,572,"5,262","1,685",905,"1,132",801
2020년09월_계_60~69세,"18,308","2,249",998,941,761,548,814,283,964,"1,130","1,085",822,"3,710","1,272",962,"1,014",755
2020년09월_계_70~79세,"12,488","1,594",719,710,625,384,578,216,853,927,853,504,"1,786",827,692,701,519
2020년09월_계_80~89세,"6,874",805,383,420,396,294,343,158,467,519,505,299,938,387,348,328,284
2020년09월_계_90~99세,794,81,51,50,47,37,42,21,61,57,65,37,95,45,36,25,44
2020년09월_계_100세 이상,41,3,3,1,0,1,6,1,0,3,3,1,5,5,1,7,1
2020년09월_남_총인구수,"51,667","5,773","2,186","1,896","1,672","1,088","1,582",592,"2,154","3,250","2,292","1,626","14,603","4,792","2,384","3,468","2,309"
2020년09월_남_연령구간인구수,"51,667","5,773","2,186","1,896","1,672","1,088","1,582",592,"2,154","3,250","2,292","1,626","14,603","4,792","2,384","3,468","2,309"
2020년09월_남_0~9세,"2,932",212,61,62,33,39,31,11,61,145,36,47,"1,346",353,89,272,134
2020년09월_남_10~19세,"3,589",295,83,82,56,42,49,18,86,121,74,41,"1,594",474,144,321,109
2020년09월_남_20~29세,"6,002",567,192,148,131,63,105,38,165,726,161,128,"1,990",681,263,387,257
2020년09월_남_30~39세,"5,162",452,188,127,99,56,103,28,127,268,156,124,"1,948",552,223,434,277
2020년09월_남_40~49세,"7,030",757,247,193,182,101,154,38,247,312,245,176,"2,400",777,318,564,319
2020년09월_남_50~59세,"9,790","1,325",421,367,352,223,337,140,396,470,457,346,"2,588",821,481,577,489
2020년09월_남_60~69세,"9,141","1,138",509,469,409,283,406,163,478,602,573,422,"1,723",649,456,482,379
2020년09월_남_70~79세,"5,575",731,346,303,277,177,269,93,399,416,410,231,740,342,300,296,245
2020년09월_남_80~89세,"2,237",273,125,136,120,99,116,57,172,175,168,102,250,135,100,119,90
2020년09월_남_90~99세,196,22,13,9,13,5,11,6,23,14,11,8,23,7,10,11,10
2020년09월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년09월_여_총인구수,"50,026","5,199","2,008","1,970","1,527","1,109","1,550",590,"2,070","2,675","2,156","1,461","14,945","4,853","2,455","3,502","1,956"
2020년09월_여_연령구간인구수,"50,026","5,199","2,008","1,970","1,527","1,109","1,550",590,"2,070","2,675","2,156","1,461","14,945","4,853","2,455","3,502","1,956"
2020년09월_여_0~9세,"2,877",195,50,47,31,27,38,7,61,127,44,39,"1,338",357,90,304,122
2020년09월_여_10~19세,"3,089",198,66,83,35,39,36,18,66,106,62,50,"1,388",460,133,248,101
2020년09월_여_20~29세,"4,155",419,126,91,49,46,77,31,103,198,106,86,"1,547",572,226,320,158
2020년09월_여_30~39세,"4,272",339,109,95,74,42,66,20,103,204,95,78,"1,773",507,172,413,182
2020년09월_여_40~49세,"5,758",528,135,153,109,70,94,27,150,190,161,83,"2,428",691,237,500,202
2020년09월_여_50~59세,"8,532",953,362,296,219,185,259,127,314,422,340,226,"2,674",864,424,555,312
2020년09월_여_60~69세,"9,167","1,111",489,472,352,265,408,120,486,528,512,400,"1,987",623,506,532,376
2020년09월_여_70~79세,"6,913",863,373,407,348,207,309,123,454,511,443,273,"1,046",485,392,405,274
2020년09월_여_80~89세,"4,637",532,258,284,276,195,227,101,295,344,337,197,688,252,248,209,194
2020년09월_여_90~99세,598,59,38,41,34,32,31,15,38,43,54,29,72,38,26,14,34
2020년09월_여_100세 이상,28,2,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
