,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년06월_계_총인구수,"20,367","1,170",999,"5,188","1,229",238,"1,924","6,247",941,380,"2,051"
2020년06월_계_연령구간인구수,"20,367","1,170",999,"5,188","1,229",238,"1,924","6,247",941,380,"2,051"
2020년06월_계_0~9세,965,38,32,363,55,2,46,297,22,15,95
2020년06월_계_10~19세,"1,140",52,30,299,66,9,95,399,41,16,133
2020년06월_계_20~29세,"2,653",86,53,"1,033",185,43,135,558,81,24,455
2020년06월_계_30~39세,"1,928",84,58,622,121,19,87,628,45,23,241
2020년06월_계_40~49세,"2,424",112,129,660,114,16,192,802,100,36,263
2020년06월_계_50~59세,"3,650",213,208,725,238,31,365,"1,278",182,79,331
2020년06월_계_60~69세,"3,884",321,265,742,211,49,466,"1,234",221,84,291
2020년06월_계_70~79세,"2,351",157,147,430,162,52,329,722,152,61,139
2020년06월_계_80~89세,"1,124",92,57,245,68,14,168,275,84,35,86
2020년06월_계_90~99세,237,14,18,66,9,3,40,50,13,7,17
2020년06월_계_100세 이상,11,1,2,3,0,0,1,4,0,0,0
2020년06월_남_총인구수,"11,580",614,531,"3,080",707,151,"1,043","3,470",498,195,"1,291"
2020년06월_남_연령구간인구수,"11,580",614,531,"3,080",707,151,"1,043","3,470",498,195,"1,291"
2020년06월_남_0~9세,494,17,18,191,27,0,20,160,13,8,40
2020년06월_남_10~19세,630,27,19,145,37,8,52,231,22,8,81
2020년06월_남_20~29세,"1,927",47,29,817,132,37,81,366,46,10,362
2020년06월_남_30~39세,"1,196",45,33,383,79,16,52,382,27,15,164
2020년06월_남_40~49세,"1,543",64,79,438,79,12,123,484,64,20,180
2020년06월_남_50~59세,"2,101",128,124,409,129,22,231,695,108,48,207
2020년06월_남_60~69세,"2,078",169,132,396,121,28,265,660,114,41,152
2020년06월_남_70~79세,"1,158",81,79,203,68,22,151,381,70,36,67
2020년06월_남_80~89세,401,32,17,82,32,6,58,101,32,8,33
2020년06월_남_90~99세,48,3,0,15,3,0,10,9,2,1,5
2020년06월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년06월_여_총인구수,"8,787",556,468,"2,108",522,87,881,"2,777",443,185,760
2020년06월_여_연령구간인구수,"8,787",556,468,"2,108",522,87,881,"2,777",443,185,760
2020년06월_여_0~9세,471,21,14,172,28,2,26,137,9,7,55
2020년06월_여_10~19세,510,25,11,154,29,1,43,168,19,8,52
2020년06월_여_20~29세,726,39,24,216,53,6,54,192,35,14,93
2020년06월_여_30~39세,732,39,25,239,42,3,35,246,18,8,77
2020년06월_여_40~49세,881,48,50,222,35,4,69,318,36,16,83
2020년06월_여_50~59세,"1,549",85,84,316,109,9,134,583,74,31,124
2020년06월_여_60~69세,"1,806",152,133,346,90,21,201,574,107,43,139
2020년06월_여_70~79세,"1,193",76,68,227,94,30,178,341,82,25,72
2020년06월_여_80~89세,723,60,40,163,36,8,110,174,52,27,53
2020년06월_여_90~99세,189,11,18,51,6,3,30,41,11,6,12
2020년06월_여_100세 이상,7,0,1,2,0,0,1,3,0,0,0
