카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년08월_계_총인구수,"16,350","7,134","2,097","1,696","1,752","1,685","1,986"
2021년08월_계_연령구간인구수,"16,350","7,134","2,097","1,696","1,752","1,685","1,986"
2021년08월_계_0~9세,694,428,68,47,36,58,57
2021년08월_계_10~19세,905,534,74,47,79,101,70
2021년08월_계_20~29세,"1,090",621,97,70,108,93,101
2021년08월_계_30~39세,990,599,110,59,70,68,84
2021년08월_계_40~49세,"1,619",892,173,122,122,155,155
2021년08월_계_50~59세,"2,844","1,210",350,273,336,307,368
2021년08월_계_60~69세,"3,574","1,317",514,442,409,388,504
2021년08월_계_70~79세,"2,591",886,396,360,295,277,377
2021년08월_계_80~89세,"1,762",540,275,241,264,205,237
2021년08월_계_90~99세,265,106,39,32,32,28,28
2021년08월_계_100세 이상,16,1,1,3,1,5,5
2021년08월_남_총인구수,"8,155","3,540","1,018",867,874,852,"1,004"
2021년08월_남_연령구간인구수,"8,155","3,540","1,018",867,874,852,"1,004"
2021년08월_남_0~9세,364,234,32,26,16,33,23
2021년08월_남_10~19세,466,267,44,22,42,50,41
2021년08월_남_20~29세,638,363,54,41,62,59,59
2021년08월_남_30~39세,541,316,60,36,43,36,50
2021년08월_남_40~49세,963,500,117,85,68,95,98
2021년08월_남_50~59세,"1,592",643,193,173,193,180,210
2021년08월_남_60~69세,"1,813",651,257,218,214,199,274
2021년08월_남_70~79세,"1,129",374,163,177,133,120,162
2021년08월_남_80~89세,588,173,89,82,93,71,80
2021년08월_남_90~99세,59,19,8,7,10,9,6
2021년08월_남_100세 이상,2,0,1,0,0,0,1
2021년08월_여_총인구수,"8,195","3,594","1,079",829,878,833,982
2021년08월_여_연령구간인구수,"8,195","3,594","1,079",829,878,833,982
2021년08월_여_0~9세,330,194,36,21,20,25,34
2021년08월_여_10~19세,439,267,30,25,37,51,29
2021년08월_여_20~29세,452,258,43,29,46,34,42
2021년08월_여_30~39세,449,283,50,23,27,32,34
2021년08월_여_40~49세,656,392,56,37,54,60,57
2021년08월_여_50~59세,"1,252",567,157,100,143,127,158
2021년08월_여_60~69세,"1,761",666,257,224,195,189,230
2021년08월_여_70~79세,"1,462",512,233,183,162,157,215
2021년08월_여_80~89세,"1,174",367,186,159,171,134,157
2021년08월_여_90~99세,206,87,31,25,22,19,22
2021년08월_여_100세 이상,14,1,0,3,1,5,4
