,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년07월_계_총인구수,"145,692","12,035","9,376","2,484","9,679","18,177","8,275","10,122","4,179","7,204","5,121","7,310","16,463","4,964","8,037","6,706","5,923","9,637"
2021년07월_계_연령구간인구수,"145,692","12,035","9,376","2,484","9,679","18,177","8,275","10,122","4,179","7,204","5,121","7,310","16,463","4,964","8,037","6,706","5,923","9,637"
2021년07월_계_0~9세,"7,230",776,560,97,527,"1,154",675,842,183,186,103,228,633,133,216,368,278,271
2021년07월_계_10~19세,"10,622","1,144",667,178,875,"1,599",994,809,327,219,239,386,"1,315",224,463,493,354,336
2021년07월_계_20~29세,"23,039","1,573","1,244",314,"1,274","2,399",901,"1,231",489,926,"1,069","1,609","4,380",609,"1,148",939,781,"2,153"
2021년07월_계_30~39세,"19,584","1,600","1,470",323,"1,206","2,213",916,"1,605",558,920,735,"1,243","2,044",531,882,936,807,"1,595"
2021년07월_계_40~49세,"21,341","2,115","1,448",348,"1,600","2,693","1,421","1,797",711,936,569,916,"2,153",596,"1,017",912,880,"1,229"
2021년07월_계_50~59세,"24,890","1,912","1,508",387,"1,666","3,232","1,396","1,561",707,"1,317",903,"1,093","2,337","1,050","1,792","1,241","1,136","1,652"
2021년07월_계_60~69세,"20,221","1,384","1,209",414,"1,314","2,623","1,027","1,180",583,"1,409",760,927,"1,655","1,032","1,399","1,039",916,"1,350"
2021년07월_계_70~79세,"11,774",935,720,247,758,"1,322",586,723,393,832,495,561,"1,184",520,762,509,513,714
2021년07월_계_80~89세,"5,995",517,460,142,381,770,314,331,192,392,218,307,661,238,314,233,226,299
2021년07월_계_90~99세,943,72,85,28,74,164,41,41,34,62,30,38,98,31,41,35,32,37
2021년07월_계_100세 이상,53,7,5,6,4,8,4,2,2,5,0,2,3,0,3,1,0,1
2021년07월_남_총인구수,"70,810","5,581","4,221","1,181","4,625","8,470","3,856","4,668","1,930","4,288","2,733","3,461","7,955","2,664","4,130","3,292","2,862","4,893"
2021년07월_남_연령구간인구수,"70,810","5,581","4,221","1,181","4,625","8,470","3,856","4,668","1,930","4,288","2,733","3,461","7,955","2,664","4,130","3,292","2,862","4,893"
2021년07월_남_0~9세,"3,643",394,281,42,264,596,308,432,95,95,50,115,307,64,122,196,145,137
2021년07월_남_10~19세,"5,279",609,295,103,465,804,449,376,174,112,111,182,656,119,239,246,161,178
2021년07월_남_20~29세,"11,179",779,567,160,669,"1,195",420,576,219,462,524,753,"2,161",329,595,498,382,890
2021년07월_남_30~39세,"9,739",736,646,152,587,"1,020",418,714,261,532,423,618,"1,089",305,518,461,412,847
2021년07월_남_40~49세,"10,393",951,645,167,739,"1,214",667,843,341,565,337,457,"1,035",310,530,456,454,682
2021년07월_남_50~59세,"12,576",875,681,196,759,"1,479",730,761,330,920,518,544,"1,134",600,953,590,562,944
2021년07월_남_60~69세,"10,057",625,574,190,624,"1,220",474,534,267,912,435,437,800,581,709,518,435,722
2021년07월_남_70~79세,"5,212",374,296,111,342,591,248,286,158,481,229,235,481,260,323,227,216,354
2021년07월_남_80~89세,"2,424",213,201,48,155,306,128,134,77,188,99,105,262,85,124,83,87,129
2021년07월_남_90~99세,292,24,33,11,20,42,12,12,7,18,7,14,30,11,17,16,8,10
2021년07월_남_100세 이상,16,1,2,1,1,3,2,0,1,3,0,1,0,0,0,1,0,0
2021년07월_여_총인구수,"74,882","6,454","5,155","1,303","5,054","9,707","4,419","5,454","2,249","2,916","2,388","3,849","8,508","2,300","3,907","3,414","3,061","4,744"
2021년07월_여_연령구간인구수,"74,882","6,454","5,155","1,303","5,054","9,707","4,419","5,454","2,249","2,916","2,388","3,849","8,508","2,300","3,907","3,414","3,061","4,744"
2021년07월_여_0~9세,"3,587",382,279,55,263,558,367,410,88,91,53,113,326,69,94,172,133,134
2021년07월_여_10~19세,"5,343",535,372,75,410,795,545,433,153,107,128,204,659,105,224,247,193,158
2021년07월_여_20~29세,"11,860",794,677,154,605,"1,204",481,655,270,464,545,856,"2,219",280,553,441,399,"1,263"
2021년07월_여_30~39세,"9,845",864,824,171,619,"1,193",498,891,297,388,312,625,955,226,364,475,395,748
2021년07월_여_40~49세,"10,948","1,164",803,181,861,"1,479",754,954,370,371,232,459,"1,118",286,487,456,426,547
2021년07월_여_50~59세,"12,314","1,037",827,191,907,"1,753",666,800,377,397,385,549,"1,203",450,839,651,574,708
2021년07월_여_60~69세,"10,164",759,635,224,690,"1,403",553,646,316,497,325,490,855,451,690,521,481,628
2021년07월_여_70~79세,"6,562",561,424,136,416,731,338,437,235,351,266,326,703,260,439,282,297,360
2021년07월_여_80~89세,"3,571",304,259,94,226,464,186,197,115,204,119,202,399,153,190,150,139,170
2021년07월_여_90~99세,651,48,52,17,54,122,29,29,27,44,23,24,68,20,24,19,24,27
2021년07월_여_100세 이상,37,6,3,5,3,5,2,2,1,2,0,1,3,0,3,0,0,1
