,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년07월_계_총인구수,"96,160","6,465","1,389","3,838","2,961",981,"2,609","3,954","1,649","1,910","2,559","1,748",760,"1,943","2,774","1,213",330,"2,694","1,129",375,"2,118","2,021",813,"12,058","9,012","8,146","8,172","3,564","8,975"
2021년07월_계_연령구간인구수,"96,160","6,465","1,389","3,838","2,961",981,"2,609","3,954","1,649","1,910","2,559","1,748",760,"1,943","2,774","1,213",330,"2,694","1,129",375,"2,118","2,021",813,"12,058","9,012","8,146","8,172","3,564","8,975"
2021년07월_계_0~9세,"5,001",269,41,107,82,26,81,96,54,48,94,59,25,49,151,25,4,89,20,6,35,55,30,862,707,585,550,162,689
2021년07월_계_10~19세,"7,459",525,58,167,145,32,95,225,66,72,148,67,39,105,146,61,11,144,47,20,92,84,32,"1,313",827,831,743,330,"1,034"
2021년07월_계_20~29세,"7,832",382,65,189,163,51,135,184,72,93,155,95,31,88,135,63,13,118,36,10,93,92,47,"1,267",972,760,848,294,"1,381"
2021년07월_계_30~39세,"7,183",424,70,203,115,34,146,191,78,91,127,88,43,102,177,63,9,134,32,8,92,71,33,"1,218","1,008",824,728,249,825
2021년07월_계_40~49세,"11,119",694,103,326,225,71,189,295,133,129,248,147,58,155,250,115,24,278,76,21,166,184,64,"1,732","1,341","1,180","1,116",479,"1,320"
2021년07월_계_50~59세,"16,290","1,049",225,610,481,198,419,621,279,357,485,323,141,375,507,253,66,465,160,70,293,294,160,"2,050","1,535","1,387","1,495",605,"1,387"
2021년07월_계_60~69세,"18,960","1,379",316,903,670,235,646,"1,001",391,527,665,457,202,473,641,280,101,621,310,78,539,443,188,"1,904","1,474","1,258","1,327",666,"1,265"
2021년07월_계_70~79세,"12,394",942,291,652,545,147,460,738,295,319,378,276,114,339,409,188,53,446,246,70,406,408,140,"1,107",716,762,837,473,637
2021년07월_계_80~89세,"8,553",696,194,581,447,167,378,521,237,246,227,203,96,210,320,143,43,346,173,81,339,323,96,526,377,493,457,264,369
2021년07월_계_90~99세,"1,331",98,26,96,84,20,58,80,44,28,29,33,11,47,38,21,6,51,27,11,62,65,23,77,55,64,68,42,67
2021년07월_계_100세 이상,38,7,0,4,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,0,2,3,0,1
2021년07월_남_총인구수,"47,186","3,117",680,"1,878","1,448",484,"1,276","1,952",818,977,"1,294",889,367,975,"1,353",610,172,"1,272",523,198,"1,004",980,391,"5,909","4,515","3,874","3,964","1,744","4,522"
2021년07월_남_연령구간인구수,"47,186","3,117",680,"1,878","1,448",484,"1,276","1,952",818,977,"1,294",889,367,975,"1,353",610,172,"1,272",523,198,"1,004",980,391,"5,909","4,515","3,874","3,964","1,744","4,522"
2021년07월_남_0~9세,"2,604",150,27,56,43,13,45,48,27,20,52,27,15,26,82,16,1,36,9,0,13,36,15,439,356,293,296,97,366
2021년07월_남_10~19세,"3,942",246,27,106,73,14,61,135,41,45,76,35,20,54,67,28,6,76,26,14,44,39,16,751,447,413,358,178,546
2021년07월_남_20~29세,"4,530",223,39,119,97,32,93,115,41,54,101,69,17,49,75,29,9,67,16,7,62,56,18,713,540,426,474,179,810
2021년07월_남_30~39세,"3,848",244,41,117,76,21,83,110,39,56,65,57,21,56,94,42,5,75,17,6,61,40,12,636,518,440,374,131,411
2021년07월_남_40~49세,"5,904",364,74,212,138,43,122,192,92,73,148,88,37,97,140,64,15,157,48,12,106,106,38,830,678,597,524,259,650
2021년07월_남_50~59세,"8,643",565,137,351,267,120,227,339,165,197,255,185,68,212,263,145,41,254,91,48,157,175,93,"1,009",802,674,806,314,683
2021년07월_남_60~69세,"9,349",693,156,477,357,118,323,488,204,296,339,242,112,249,329,137,58,300,157,41,274,223,101,873,721,569,605,287,620
2021년07월_남_70~79세,"5,397",393,120,269,240,69,190,332,126,146,161,113,48,153,174,86,23,198,98,35,179,179,66,485,319,316,372,203,304
2021년07월_남_80~89세,"2,720",219,56,157,141,49,121,177,75,86,91,63,29,72,117,58,14,101,58,32,98,106,29,162,127,136,138,93,115
2021년07월_남_90~99세,246,19,3,14,16,5,11,16,8,4,6,10,0,7,12,5,0,8,3,3,10,20,3,11,7,10,16,3,16
2021년07월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년07월_여_총인구수,"48,974","3,348",709,"1,960","1,513",497,"1,333","2,002",831,933,"1,265",859,393,968,"1,421",603,158,"1,422",606,177,"1,114","1,041",422,"6,149","4,497","4,272","4,208","1,820","4,453"
2021년07월_여_연령구간인구수,"48,974","3,348",709,"1,960","1,513",497,"1,333","2,002",831,933,"1,265",859,393,968,"1,421",603,158,"1,422",606,177,"1,114","1,041",422,"6,149","4,497","4,272","4,208","1,820","4,453"
2021년07월_여_0~9세,"2,397",119,14,51,39,13,36,48,27,28,42,32,10,23,69,9,3,53,11,6,22,19,15,423,351,292,254,65,323
2021년07월_여_10~19세,"3,517",279,31,61,72,18,34,90,25,27,72,32,19,51,79,33,5,68,21,6,48,45,16,562,380,418,385,152,488
2021년07월_여_20~29세,"3,302",159,26,70,66,19,42,69,31,39,54,26,14,39,60,34,4,51,20,3,31,36,29,554,432,334,374,115,571
2021년07월_여_30~39세,"3,335",180,29,86,39,13,63,81,39,35,62,31,22,46,83,21,4,59,15,2,31,31,21,582,490,384,354,118,414
2021년07월_여_40~49세,"5,215",330,29,114,87,28,67,103,41,56,100,59,21,58,110,51,9,121,28,9,60,78,26,902,663,583,592,220,670
2021년07월_여_50~59세,"7,647",484,88,259,214,78,192,282,114,160,230,138,73,163,244,108,25,211,69,22,136,119,67,"1,041",733,713,689,291,704
2021년07월_여_60~69세,"9,611",686,160,426,313,117,323,513,187,231,326,215,90,224,312,143,43,321,153,37,265,220,87,"1,031",753,689,722,379,645
2021년07월_여_70~79세,"6,997",549,171,383,305,78,270,406,169,173,217,163,66,186,235,102,30,248,148,35,227,229,74,622,397,446,465,270,333
2021년07월_여_80~89세,"5,833",477,138,424,306,118,257,344,162,160,136,140,67,138,203,85,29,245,115,49,241,217,67,364,250,357,319,171,254
2021년07월_여_90~99세,"1,085",79,23,82,68,15,47,64,36,24,23,23,11,40,26,16,6,43,24,8,52,45,20,66,48,54,52,39,51
2021년07월_여_100세 이상,35,6,0,4,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,0,2,2,0,0
