,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년08월_계_총인구수,"8,976","6,363",878,437,"1,298"
2021년08월_계_연령구간인구수,"8,976","6,363",878,437,"1,298"
2021년08월_계_0~9세,383,280,39,15,49
2021년08월_계_10~19세,453,357,40,18,38
2021년08월_계_20~29세,833,626,69,23,115
2021년08월_계_30~39세,827,634,66,32,95
2021년08월_계_40~49세,"1,248",941,100,34,173
2021년08월_계_50~59세,"1,788","1,288",178,83,239
2021년08월_계_60~69세,"1,797","1,239",185,95,278
2021년08월_계_70~79세,"1,059",680,117,87,175
2021년08월_계_80~89세,502,276,77,34,115
2021년08월_계_90~99세,83,39,7,16,21
2021년08월_계_100세 이상,3,3,0,0,0
2021년08월_남_총인구수,"4,930","3,507",476,238,709
2021년08월_남_연령구간인구수,"4,930","3,507",476,238,709
2021년08월_남_0~9세,196,144,18,8,26
2021년08월_남_10~19세,230,173,26,12,19
2021년08월_남_20~29세,514,380,53,10,71
2021년08월_남_30~39세,492,380,37,19,56
2021년08월_남_40~49세,771,567,62,27,115
2021년08월_남_50~59세,"1,069",774,104,50,141
2021년08월_남_60~69세,942,648,101,47,146
2021년08월_남_70~79세,495,316,49,48,82
2021년08월_남_80~89세,200,116,24,12,48
2021년08월_남_90~99세,21,9,2,5,5
2021년08월_남_100세 이상,0,0,0,0,0
2021년08월_여_총인구수,"4,046","2,856",402,199,589
2021년08월_여_연령구간인구수,"4,046","2,856",402,199,589
2021년08월_여_0~9세,187,136,21,7,23
2021년08월_여_10~19세,223,184,14,6,19
2021년08월_여_20~29세,319,246,16,13,44
2021년08월_여_30~39세,335,254,29,13,39
2021년08월_여_40~49세,477,374,38,7,58
2021년08월_여_50~59세,719,514,74,33,98
2021년08월_여_60~69세,855,591,84,48,132
2021년08월_여_70~79세,564,364,68,39,93
2021년08월_여_80~89세,302,160,53,22,67
2021년08월_여_90~99세,62,30,5,11,16
2021년08월_여_100세 이상,3,3,0,0,0
