,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년06월_계_총인구수,"31,526","8,240","3,355","1,817","3,770","1,882","3,116","2,830","2,792","3,724"
2021년06월_계_연령구간인구수,"31,526","8,240","3,355","1,817","3,770","1,882","3,116","2,830","2,792","3,724"
2021년06월_계_0~9세,"1,278",493,129,61,127,47,92,98,90,141
2021년06월_계_10~19세,"2,044",767,181,63,208,82,259,126,130,228
2021년06월_계_20~29세,"2,395",746,184,111,259,132,241,195,239,288
2021년06월_계_30~39세,"1,950",643,162,111,211,96,171,171,181,204
2021년06월_계_40~49세,"3,353","1,106",350,163,355,163,266,259,286,405
2021년06월_계_50~59세,"5,343","1,342",554,285,638,335,572,466,512,639
2021년06월_계_60~69세,"6,103","1,317",658,427,788,390,578,665,575,705
2021년06월_계_70~79세,"5,008","1,019",657,312,630,333,512,461,433,651
2021년06월_계_80~89세,"3,528",699,433,246,480,263,366,341,296,404
2021년06월_계_90~99세,510,106,46,37,73,40,56,48,49,55
2021년06월_계_100세 이상,14,2,1,1,1,1,3,0,1,4
2021년06월_남_총인구수,"15,889","4,071","1,687",901,"1,897",916,"1,609","1,413","1,433","1,962"
2021년06월_남_연령구간인구수,"15,889","4,071","1,687",901,"1,897",916,"1,609","1,413","1,433","1,962"
2021년06월_남_0~9세,663,247,55,35,71,18,50,52,49,86
2021년06월_남_10~19세,"1,096",423,94,28,109,44,146,65,65,122
2021년06월_남_20~29세,"1,428",411,113,61,165,89,153,117,140,179
2021년06월_남_30~39세,"1,047",317,87,64,116,56,105,92,93,117
2021년06월_남_40~49세,"1,998",600,234,115,223,97,144,150,163,272
2021년06월_남_50~59세,"3,137",744,329,154,376,198,357,277,306,396
2021년06월_남_60~69세,"3,222",660,349,219,422,206,298,372,318,378
2021년06월_남_70~79세,"2,118",433,267,141,262,126,227,192,190,280
2021년06월_남_80~89세,"1,064",215,149,75,138,73,119,89,93,113
2021년06월_남_90~99세,116,21,10,9,15,9,10,7,16,19
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"15,637","4,169","1,668",916,"1,873",966,"1,507","1,417","1,359","1,762"
2021년06월_여_연령구간인구수,"15,637","4,169","1,668",916,"1,873",966,"1,507","1,417","1,359","1,762"
2021년06월_여_0~9세,615,246,74,26,56,29,42,46,41,55
2021년06월_여_10~19세,948,344,87,35,99,38,113,61,65,106
2021년06월_여_20~29세,967,335,71,50,94,43,88,78,99,109
2021년06월_여_30~39세,903,326,75,47,95,40,66,79,88,87
2021년06월_여_40~49세,"1,355",506,116,48,132,66,122,109,123,133
2021년06월_여_50~59세,"2,206",598,225,131,262,137,215,189,206,243
2021년06월_여_60~69세,"2,881",657,309,208,366,184,280,293,257,327
2021년06월_여_70~79세,"2,890",586,390,171,368,207,285,269,243,371
2021년06월_여_80~89세,"2,464",484,284,171,342,190,247,252,203,291
2021년06월_여_90~99세,394,85,36,28,58,31,46,41,33,36
2021년06월_여_100세 이상,14,2,1,1,1,1,3,0,1,4
