,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년01월_계_총인구수,"311,720","17,748","16,633","20,806","19,207","36,249","24,326","15,739","14,190","23,088","26,935","15,854","29,939","18,429","32,577"
2021년01월_계_연령구간인구수,"311,720","17,748","16,633","20,806","19,207","36,249","24,326","15,739","14,190","23,088","26,935","15,854","29,939","18,429","32,577"
2021년01월_계_0~9세,"20,039","1,261","1,424","1,223",709,"1,668","1,545",751,806,"1,506","1,268","2,127","2,642","1,428","1,681"
2021년01월_계_10~19세,"23,502","1,458","1,096","1,367",859,"2,455","1,888","1,116","1,076","1,784","2,168","1,452","2,411","1,957","2,415"
2021년01월_계_20~29세,"50,031","2,248","2,348","3,419","7,336","7,692","3,160","2,112","1,861","2,902","4,215","1,537","4,250","2,148","4,803"
2021년01월_계_30~39세,"45,057","2,419","2,906","3,287","3,318","5,621","3,444","1,962","1,898","3,013","3,485","2,456","4,579","2,394","4,275"
2021년01월_계_40~49세,"47,321","2,799","2,691","3,038","1,988","5,059","3,782","2,182","2,048","3,479","3,992","3,071","4,895","3,265","5,032"
2021년01월_계_50~59세,"49,362","3,014","2,777","3,369","1,996","5,256","4,091","2,704","2,573","3,978","4,590","2,151","4,414","3,013","5,436"
2021년01월_계_60~69세,"38,789","2,204","1,803","2,713","1,410","4,135","3,307","2,335","2,010","3,311","3,743","1,572","3,390","2,207","4,649"
2021년01월_계_70~79세,"24,317","1,431","1,029","1,478",980,"2,806","2,022","1,631","1,248","1,980","2,224",978,"2,215","1,341","2,954"
2021년01월_계_80~89세,"11,338",777,449,732,501,"1,321",940,837,577,971,"1,082",434,963,581,"1,173"
2021년01월_계_90~99세,"1,660",108,82,138,86,204,132,87,88,144,142,60,154,86,149
2021년01월_계_100세 이상,304,29,28,42,24,32,15,22,5,20,26,16,26,9,10
2021년01월_남_총인구수,"149,211","8,421","7,953","10,009","8,577","17,430","11,428","7,637","6,735","11,150","13,030","7,634","14,442","8,898","15,867"
2021년01월_남_연령구간인구수,"149,211","8,421","7,953","10,009","8,577","17,430","11,428","7,637","6,735","11,150","13,030","7,634","14,442","8,898","15,867"
2021년01월_남_0~9세,"10,186",633,740,612,382,841,773,377,427,763,638,"1,066","1,324",727,883
2021년01월_남_10~19세,"11,827",726,536,670,415,"1,251",923,603,544,895,"1,113",696,"1,187","1,039","1,229"
2021년01월_남_20~29세,"23,953","1,094","1,068","1,643","2,858","3,867","1,555","1,056",925,"1,462","2,131",744,"2,072","1,046","2,432"
2021년01월_남_30~39세,"22,343","1,181","1,430","1,624","1,652","2,816","1,663","1,031",935,"1,526","1,821","1,089","2,249","1,121","2,205"
2021년01월_남_40~49세,"23,368","1,356","1,359","1,529",969,"2,418","1,820","1,092",974,"1,703","1,970","1,615","2,470","1,634","2,459"
2021년01월_남_50~59세,"24,016","1,497","1,374","1,674","1,001","2,504","1,900","1,364","1,218","1,956","2,206","1,054","2,185","1,445","2,638"
2021년01월_남_60~69세,"18,211","1,051",837,"1,296",646,"1,931","1,525","1,078",963,"1,583","1,706",740,"1,591","1,047","2,217"
2021년01월_남_70~79세,"10,386",570,428,638,422,"1,177",867,681,504,857,987,424,948,583,"1,300"
2021년01월_남_80~89세,"4,368",272,152,276,199,538,364,315,216,358,423,185,371,236,463
2021년01월_남_90~99세,467,32,26,33,26,77,35,30,26,42,29,17,39,18,37
2021년01월_남_100세 이상,86,9,3,14,7,10,3,10,3,5,6,4,6,2,4
2021년01월_여_총인구수,"162,509","9,327","8,680","10,797","10,630","18,819","12,898","8,102","7,455","11,938","13,905","8,220","15,497","9,531","16,710"
2021년01월_여_연령구간인구수,"162,509","9,327","8,680","10,797","10,630","18,819","12,898","8,102","7,455","11,938","13,905","8,220","15,497","9,531","16,710"
2021년01월_여_0~9세,"9,853",628,684,611,327,827,772,374,379,743,630,"1,061","1,318",701,798
2021년01월_여_10~19세,"11,675",732,560,697,444,"1,204",965,513,532,889,"1,055",756,"1,224",918,"1,186"
2021년01월_여_20~29세,"26,078","1,154","1,280","1,776","4,478","3,825","1,605","1,056",936,"1,440","2,084",793,"2,178","1,102","2,371"
2021년01월_여_30~39세,"22,714","1,238","1,476","1,663","1,666","2,805","1,781",931,963,"1,487","1,664","1,367","2,330","1,273","2,070"
2021년01월_여_40~49세,"23,953","1,443","1,332","1,509","1,019","2,641","1,962","1,090","1,074","1,776","2,022","1,456","2,425","1,631","2,573"
2021년01월_여_50~59세,"25,346","1,517","1,403","1,695",995,"2,752","2,191","1,340","1,355","2,022","2,384","1,097","2,229","1,568","2,798"
2021년01월_여_60~69세,"20,578","1,153",966,"1,417",764,"2,204","1,782","1,257","1,047","1,728","2,037",832,"1,799","1,160","2,432"
2021년01월_여_70~79세,"13,931",861,601,840,558,"1,629","1,155",950,744,"1,123","1,237",554,"1,267",758,"1,654"
2021년01월_여_80~89세,"6,970",505,297,456,302,783,576,522,361,613,659,249,592,345,710
2021년01월_여_90~99세,"1,193",76,56,105,60,127,97,57,62,102,113,43,115,68,112
2021년01월_여_100세 이상,218,20,25,28,17,22,12,12,2,15,20,12,20,7,6
