카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년10월_계_총인구수,"241,879","8,075","3,070","1,575","7,221","2,860","11,912","1,087","8,079","3,498","1,068","3,095","1,382","5,990","9,177","26,955","7,322","25,960","20,769","34,577","34,431","23,776"
2021년10월_계_연령구간인구수,"241,879","8,075","3,070","1,575","7,221","2,860","11,912","1,087","8,079","3,498","1,068","3,095","1,382","5,990","9,177","26,955","7,322","25,960","20,769","34,577","34,431","23,776"
2021년10월_계_0~9세,"24,501",553,76,28,370,54,"1,291",31,436,166,29,64,43,353,483,"4,215",573,"2,283","1,549","3,160","5,369","3,375"
2021년10월_계_10~19세,"27,956",621,118,60,584,144,"1,156",45,649,256,26,103,70,623,911,"3,581",677,"2,989","2,209","4,201","5,136","3,797"
2021년10월_계_20~29세,"23,048",653,209,77,537,206,885,57,725,274,47,189,67,625,936,"2,254",812,"2,757","2,732","3,905","2,924","2,177"
2021년10월_계_30~39세,"33,521",834,203,81,568,135,"1,614",70,809,281,56,170,98,609,831,"5,404","1,027","3,343","3,228","4,600","6,140","3,420"
2021년10월_계_40~49세,"47,213","1,242",327,152,970,291,"2,208",107,"1,320",429,107,359,170,"1,131","1,569","6,229","1,332","4,923","4,341","6,768","7,723","5,515"
2021년10월_계_50~59세,"39,795","1,608",601,319,"1,285",539,"1,905",227,"1,684",644,192,556,261,"1,207","1,873","3,051","1,368","4,840","4,034","6,016","4,319","3,266"
2021년10월_계_60~69세,"28,557","1,521",756,402,"1,446",717,"1,586",304,"1,436",724,273,731,326,886,"1,693","1,606","1,082","3,508","1,984","4,150","1,930","1,496"
2021년10월_계_70~79세,"11,263",639,488,276,850,466,818,164,624,426,206,541,200,363,628,425,330,932,493,"1,269",637,488
2021년10월_계_80~89세,"5,169",345,254,157,510,261,392,69,337,250,109,328,125,175,225,164,105,335,168,441,210,209
2021년10월_계_90~99세,830,58,37,23,98,44,55,13,59,47,23,50,22,17,27,26,16,48,29,66,42,30
2021년10월_계_100세 이상,26,1,1,0,3,3,2,0,0,1,0,4,0,1,1,0,0,2,2,1,1,3
2021년10월_남_총인구수,"126,734","4,129","1,591",800,"3,582","1,485","6,188",553,"4,468","1,801",538,"1,582",689,"3,322","4,955","14,429","3,942","13,503","11,800","17,796","17,471","12,110"
2021년10월_남_연령구간인구수,"126,734","4,129","1,591",800,"3,582","1,485","6,188",553,"4,468","1,801",538,"1,582",689,"3,322","4,955","14,429","3,942","13,503","11,800","17,796","17,471","12,110"
2021년10월_남_0~9세,"12,703",282,45,14,194,30,660,16,240,85,17,38,24,192,273,"2,186",298,"1,162",819,"1,664","2,704","1,760"
2021년10월_남_10~19세,"14,583",320,65,34,287,79,603,27,350,144,13,59,33,328,493,"1,849",363,"1,599","1,168","2,159","2,621","1,989"
2021년10월_남_20~29세,"13,069",387,117,47,301,136,506,34,437,136,25,114,40,363,533,"1,258",490,"1,534","1,643","2,193","1,561","1,214"
2021년10월_남_30~39세,"17,519",422,129,46,299,84,810,46,468,160,30,102,51,372,464,"2,835",571,"1,731","2,010","2,380","2,956","1,553"
2021년10월_남_40~49세,"25,554",657,203,92,533,175,"1,229",60,791,253,70,234,99,672,885,"3,496",762,"2,634","2,545","3,472","3,986","2,706"
2021년10월_남_50~59세,"21,556",856,327,187,659,293,"1,043",122,978,350,118,311,153,706,"1,039","1,736",729,"2,463","2,302","3,094","2,297","1,793"
2021년10월_남_60~69세,"14,608",783,374,216,749,374,811,155,777,363,141,371,168,475,874,814,537,"1,798","1,005","2,075",964,784
2021년10월_남_70~79세,"5,395",310,233,114,388,221,404,74,308,218,91,246,79,164,310,211,161,470,256,597,303,237
2021년10월_남_80~89세,"1,616",104,93,46,162,84,110,14,106,88,32,99,40,48,78,40,28,109,47,148,74,66
2021년10월_남_90~99세,124,7,4,4,9,9,12,5,13,4,1,7,2,2,5,4,3,3,5,13,5,7
2021년10월_남_100세 이상,7,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
2021년10월_여_총인구수,"115,145","3,946","1,479",775,"3,639","1,375","5,724",534,"3,611","1,697",530,"1,513",693,"2,668","4,222","12,526","3,380","12,457","8,969","16,781","16,960","11,666"
2021년10월_여_연령구간인구수,"115,145","3,946","1,479",775,"3,639","1,375","5,724",534,"3,611","1,697",530,"1,513",693,"2,668","4,222","12,526","3,380","12,457","8,969","16,781","16,960","11,666"
2021년10월_여_0~9세,"11,798",271,31,14,176,24,631,15,196,81,12,26,19,161,210,"2,029",275,"1,121",730,"1,496","2,665","1,615"
2021년10월_여_10~19세,"13,373",301,53,26,297,65,553,18,299,112,13,44,37,295,418,"1,732",314,"1,390","1,041","2,042","2,515","1,808"
2021년10월_여_20~29세,"9,979",266,92,30,236,70,379,23,288,138,22,75,27,262,403,996,322,"1,223","1,089","1,712","1,363",963
2021년10월_여_30~39세,"16,002",412,74,35,269,51,804,24,341,121,26,68,47,237,367,"2,569",456,"1,612","1,218","2,220","3,184","1,867"
2021년10월_여_40~49세,"21,659",585,124,60,437,116,979,47,529,176,37,125,71,459,684,"2,733",570,"2,289","1,796","3,296","3,737","2,809"
2021년10월_여_50~59세,"18,239",752,274,132,626,246,862,105,706,294,74,245,108,501,834,"1,315",639,"2,377","1,732","2,922","2,022","1,473"
2021년10월_여_60~69세,"13,949",738,382,186,697,343,775,149,659,361,132,360,158,411,819,792,545,"1,710",979,"2,075",966,712
2021년10월_여_70~79세,"5,868",329,255,162,462,245,414,90,316,208,115,295,121,199,318,214,169,462,237,672,334,251
2021년10월_여_80~89세,"3,553",241,161,111,348,177,282,55,231,162,77,229,85,127,147,124,77,226,121,293,136,143
2021년10월_여_90~99세,706,51,33,19,89,35,43,8,46,43,22,43,20,15,22,22,13,45,24,53,37,23
2021년10월_여_100세 이상,19,0,0,0,2,3,2,0,0,1,0,3,0,1,0,0,0,2,2,0,1,2
