카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년02월_계_총인구수,"52,989","20,692","2,028","3,040","2,375","3,604","2,516","4,613","2,410","2,659","2,286","2,848","2,723","1,195"
2020년02월_계_연령구간인구수,"52,989","20,692","2,028","3,040","2,375","3,604","2,516","4,613","2,410","2,659","2,286","2,848","2,723","1,195"
2020년02월_계_0~9세,"2,711","1,653",52,91,99,123,57,220,85,51,83,76,90,31
2020년02월_계_10~19세,"3,888","2,399",68,121,142,161,82,303,126,106,96,128,119,37
2020년02월_계_20~29세,"4,473","2,176",123,222,195,234,157,387,160,166,166,206,209,72
2020년02월_계_30~39세,"4,139","2,059",124,189,199,262,119,389,162,125,142,164,136,69
2020년02월_계_40~49세,"6,358","3,092",170,287,259,383,200,563,237,256,204,289,295,123
2020년02월_계_50~59세,"9,188","3,445",337,530,427,580,469,896,440,433,421,472,508,230
2020년02월_계_60~69세,"9,361","2,771",452,571,420,776,555,855,571,531,446,568,565,280
2020년02월_계_70~79세,"7,641","1,937",378,566,345,717,502,630,400,529,412,544,471,210
2020년02월_계_80~89세,"4,626","1,046",281,412,248,336,331,325,196,414,284,353,279,121
2020년02월_계_90~99세,565,108,40,49,38,30,42,43,29,46,28,45,46,21
2020년02월_계_100세 이상,39,6,3,2,3,2,2,2,4,2,4,3,5,1
2020년02월_남_총인구수,"26,321","10,132",980,"1,552","1,218","1,825","1,240","2,346","1,222","1,312","1,119","1,403","1,340",632
2020년02월_남_연령구간인구수,"26,321","10,132",980,"1,552","1,218","1,825","1,240","2,346","1,222","1,312","1,119","1,403","1,340",632
2020년02월_남_0~9세,"1,414",867,23,56,42,54,29,121,49,27,43,41,48,14
2020년02월_남_10~19세,"2,061","1,258",43,62,73,80,48,161,77,48,52,70,72,17
2020년02월_남_20~29세,"2,462","1,158",67,133,110,133,83,211,94,96,85,112,135,45
2020년02월_남_30~39세,"2,239","1,001",70,111,125,164,75,219,88,88,85,96,72,45
2020년02월_남_40~49세,"3,585","1,541",108,198,168,250,129,350,138,159,120,169,175,80
2020년02월_남_50~59세,"4,969","1,713",190,308,241,338,258,481,230,257,253,282,271,147
2020년02월_남_60~69세,"4,682","1,389",221,294,225,356,289,420,288,265,234,281,269,151
2020년02월_남_70~79세,"3,295",829,158,248,153,322,211,286,188,221,165,215,211,88
2020년02월_남_80~89세,"1,486",350,93,130,71,120,110,90,62,138,77,125,79,41
2020년02월_남_90~99세,123,25,7,12,10,8,8,7,7,13,3,12,7,4
2020년02월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년02월_여_총인구수,"26,668","10,560","1,048","1,488","1,157","1,779","1,276","2,267","1,188","1,347","1,167","1,445","1,383",563
2020년02월_여_연령구간인구수,"26,668","10,560","1,048","1,488","1,157","1,779","1,276","2,267","1,188","1,347","1,167","1,445","1,383",563
2020년02월_여_0~9세,"1,297",786,29,35,57,69,28,99,36,24,40,35,42,17
2020년02월_여_10~19세,"1,827","1,141",25,59,69,81,34,142,49,58,44,58,47,20
2020년02월_여_20~29세,"2,011","1,018",56,89,85,101,74,176,66,70,81,94,74,27
2020년02월_여_30~39세,"1,900","1,058",54,78,74,98,44,170,74,37,57,68,64,24
2020년02월_여_40~49세,"2,773","1,551",62,89,91,133,71,213,99,97,84,120,120,43
2020년02월_여_50~59세,"4,219","1,732",147,222,186,242,211,415,210,176,168,190,237,83
2020년02월_여_60~69세,"4,679","1,382",231,277,195,420,266,435,283,266,212,287,296,129
2020년02월_여_70~79세,"4,346","1,108",220,318,192,395,291,344,212,308,247,329,260,122
2020년02월_여_80~89세,"3,140",696,188,282,177,216,221,235,134,276,207,228,200,80
2020년02월_여_90~99세,442,83,33,37,28,22,34,36,22,33,25,33,39,17
2020년02월_여_100세 이상,34,5,3,2,3,2,2,2,3,2,2,3,4,1
