,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년05월_계_총인구수,"117,456","30,588","10,170","4,636","13,254","7,784","9,546","3,880","3,725","4,565","6,799","17,389","5,120"
2020년05월_계_연령구간인구수,"117,456","30,588","10,170","4,636","13,254","7,784","9,546","3,880","3,725","4,565","6,799","17,389","5,120"
2020년05월_계_0~9세,"7,453","2,300",949,168,733,489,642,128,118,142,227,"1,329",228
2020년05월_계_10~19세,"9,679","3,306",893,251,"1,001",546,810,251,156,193,386,"1,547",339
2020년05월_계_20~29세,"10,449","3,532",785,320,"1,197",717,597,259,241,285,491,"1,620",405
2020년05월_계_30~39세,"10,978","3,290","1,230",379,"1,223",776,823,299,205,293,400,"1,660",400
2020년05월_계_40~49세,"16,367","4,857","1,632",511,"1,807","1,025","1,511",460,371,400,715,"2,470",608
2020년05월_계_50~59세,"20,955","5,423","1,682",909,"2,438","1,387","1,721",694,690,888,"1,288","2,900",935
2020년05월_계_60~69세,"21,693","4,214","1,641","1,156","2,546","1,576","1,976",903,920,"1,143","1,593","2,909","1,116"
2020년05월_계_70~79세,"12,801","2,372",893,680,"1,539",857,993,568,602,701,"1,012","1,877",707
2020년05월_계_80~89세,"6,083","1,137",401,218,654,354,398,284,370,437,578,913,339
2020년05월_계_90~99세,931,142,60,43,105,54,70,34,45,75,106,156,41
2020년05월_계_100세 이상,67,15,4,1,11,3,5,0,7,8,3,8,2
2020년05월_남_총인구수,"58,902","15,334","5,011","2,348","6,634","3,919","4,730","1,970","1,881","2,266","3,456","8,755","2,598"
2020년05월_남_연령구간인구수,"58,902","15,334","5,011","2,348","6,634","3,919","4,730","1,970","1,881","2,266","3,456","8,755","2,598"
2020년05월_남_0~9세,"3,810","1,188",473,94,372,238,308,65,63,79,136,686,108
2020년05월_남_10~19세,"5,119","1,723",449,146,522,287,437,132,89,100,220,823,191
2020년05월_남_20~29세,"5,748","1,911",423,185,638,420,328,143,125,163,288,895,229
2020년05월_남_30~39세,"5,546","1,655",589,198,640,401,390,180,112,160,205,809,207
2020년05월_남_40~49세,"8,407","2,379",819,269,930,549,757,250,216,226,398,"1,287",327
2020년05월_남_50~59세,"10,746","2,813",842,447,"1,247",695,842,342,363,469,660,"1,535",491
2020년05월_남_60~69세,"10,708","2,097",786,553,"1,221",759,966,471,467,559,846,"1,438",545
2020년05월_남_70~79세,"6,289","1,129",462,359,752,421,533,282,291,327,469,901,363
2020년05월_남_80~89세,"2,291",401,150,89,283,133,151,100,148,164,203,344,125
2020년05월_남_90~99세,224,35,18,7,24,16,17,5,6,18,31,36,11
2020년05월_남_100세 이상,14,3,0,1,5,0,1,0,1,1,0,1,1
2020년05월_여_총인구수,"58,554","15,254","5,159","2,288","6,620","3,865","4,816","1,910","1,844","2,299","3,343","8,634","2,522"
2020년05월_여_연령구간인구수,"58,554","15,254","5,159","2,288","6,620","3,865","4,816","1,910","1,844","2,299","3,343","8,634","2,522"
2020년05월_여_0~9세,"3,643","1,112",476,74,361,251,334,63,55,63,91,643,120
2020년05월_여_10~19세,"4,560","1,583",444,105,479,259,373,119,67,93,166,724,148
2020년05월_여_20~29세,"4,701","1,621",362,135,559,297,269,116,116,122,203,725,176
2020년05월_여_30~39세,"5,432","1,635",641,181,583,375,433,119,93,133,195,851,193
2020년05월_여_40~49세,"7,960","2,478",813,242,877,476,754,210,155,174,317,"1,183",281
2020년05월_여_50~59세,"10,209","2,610",840,462,"1,191",692,879,352,327,419,628,"1,365",444
2020년05월_여_60~69세,"10,985","2,117",855,603,"1,325",817,"1,010",432,453,584,747,"1,471",571
2020년05월_여_70~79세,"6,512","1,243",431,321,787,436,460,286,311,374,543,976,344
2020년05월_여_80~89세,"3,792",736,251,129,371,221,247,184,222,273,375,569,214
2020년05월_여_90~99세,707,107,42,36,81,38,53,29,39,57,75,120,30
2020년05월_여_100세 이상,53,12,4,0,6,3,4,0,6,7,3,7,1
