카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년12월_계_총인구수,"62,214","29,525","8,601","2,386","4,312","5,358","5,340","4,411","2,281"
2020년12월_계_연령구간인구수,"62,214","29,525","8,601","2,386","4,312","5,358","5,340","4,411","2,281"
2020년12월_계_0~9세,"3,103","2,209",320,69,118,118,102,123,44
2020년12월_계_10~19세,"4,424","2,925",547,135,169,196,186,168,98
2020년12월_계_20~29세,"5,037","2,982",572,97,424,280,254,308,120
2020년12월_계_30~39세,"5,117","3,238",557,126,243,317,250,267,119
2020년12월_계_40~49세,"7,660","4,474",999,243,390,470,506,397,181
2020년12월_계_50~59세,"10,903","4,990","1,546",443,759,"1,003",994,786,382
2020년12월_계_60~69세,"12,024","4,293","1,917",548,"1,007","1,375","1,339","1,005",540
2020년12월_계_70~79세,"8,829","2,903","1,431",445,732,"1,010","1,049",803,456
2020년12월_계_80~89세,"4,478","1,345",600,254,407,510,586,479,297
2020년12월_계_90~99세,613,161,101,26,61,76,73,73,42
2020년12월_계_100세 이상,26,5,11,0,2,3,1,2,2
2020년12월_남_총인구수,"31,371","14,915","4,266","1,144","2,230","2,759","2,642","2,259","1,156"
2020년12월_남_연령구간인구수,"31,371","14,915","4,266","1,144","2,230","2,759","2,642","2,259","1,156"
2020년12월_남_0~9세,"1,528","1,091",163,25,54,54,53,64,24
2020년12월_남_10~19세,"2,300","1,522",285,60,94,111,94,83,51
2020년12월_남_20~29세,"2,970","1,722",334,57,284,173,142,193,65
2020년12월_남_30~39세,"2,865","1,751",306,68,144,208,143,170,75
2020년12월_남_40~49세,"4,310","2,363",558,146,252,304,325,238,124
2020년12월_남_50~59세,"5,739","2,555",823,240,393,551,531,425,221
2020년12월_남_60~69세,"5,786","2,052",888,263,501,664,652,501,265
2020년12월_남_70~79세,"4,161","1,368",668,196,346,480,485,398,220
2020년12월_남_80~89세,"1,583",451,219,85,146,198,206,172,106
2020년12월_남_90~99세,124,40,20,4,14,16,11,14,5
2020년12월_남_100세 이상,5,0,2,0,2,0,0,1,0
2020년12월_여_총인구수,"30,843","14,610","4,335","1,242","2,082","2,599","2,698","2,152","1,125"
2020년12월_여_연령구간인구수,"30,843","14,610","4,335","1,242","2,082","2,599","2,698","2,152","1,125"
2020년12월_여_0~9세,"1,575","1,118",157,44,64,64,49,59,20
2020년12월_여_10~19세,"2,124","1,403",262,75,75,85,92,85,47
2020년12월_여_20~29세,"2,067","1,260",238,40,140,107,112,115,55
2020년12월_여_30~39세,"2,252","1,487",251,58,99,109,107,97,44
2020년12월_여_40~49세,"3,350","2,111",441,97,138,166,181,159,57
2020년12월_여_50~59세,"5,164","2,435",723,203,366,452,463,361,161
2020년12월_여_60~69세,"6,238","2,241","1,029",285,506,711,687,504,275
2020년12월_여_70~79세,"4,668","1,535",763,249,386,530,564,405,236
2020년12월_여_80~89세,"2,895",894,381,169,261,312,380,307,191
2020년12월_여_90~99세,489,121,81,22,47,60,62,59,37
2020년12월_여_100세 이상,21,5,9,0,0,3,1,1,2
