카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년02월_계_총인구수,"1,132,953","216,523","319,189","156,209","218,774","222,258"
2021년02월_계_연령구간인구수,"1,132,953","216,523","319,189","156,209","218,774","222,258"
2021년02월_계_0~9세,"97,069","16,337","23,595","14,603","24,976","17,558"
2021년02월_계_10~19세,"111,590","19,946","30,216","15,597","23,545","22,286"
2021년02월_계_20~29세,"143,223","26,376","45,421","17,576","27,437","26,413"
2021년02월_계_30~39세,"150,171","26,057","42,018","22,609","33,941","25,546"
2021년02월_계_40~49세,"187,255","34,090","51,309","26,095","38,715","37,046"
2021년02월_계_50~59세,"208,784","41,105","61,540","25,433","38,745","41,961"
2021년02월_계_60~69세,"147,840","32,285","42,016","23,003","20,417","30,119"
2021년02월_계_70~79세,"60,692","14,396","16,633","8,394","7,476","13,793"
2021년02월_계_80~89세,"23,025","5,231","5,721","2,515","3,058","6,500"
2021년02월_계_90~99세,"3,124",640,685,356,442,"1,001"
2021년02월_계_100세 이상,180,60,35,28,22,35
2021년02월_남_총인구수,"582,190","109,644","162,809","81,652","113,324","114,761"
2021년02월_남_연령구간인구수,"582,190","109,644","162,809","81,652","113,324","114,761"
2021년02월_남_0~9세,"49,895","8,436","12,137","7,484","12,816","9,022"
2021년02월_남_10~19세,"58,762","10,650","16,017","8,243","12,270","11,582"
2021년02월_남_20~29세,"80,445","14,669","25,280","9,882","15,593","15,021"
2021년02월_남_30~39세,"79,809","13,689","22,441","12,422","17,644","13,613"
2021년02월_남_40~49세,"95,488","17,406","25,069","14,205","19,872","18,936"
2021년02월_남_50~59세,"106,202","20,476","30,922","12,663","19,919","22,222"
2021년02월_남_60~69세,"74,454","15,733","20,856","11,549","10,740","15,576"
2021년02월_남_70~79세,"28,894","6,625","7,950","4,311","3,494","6,514"
2021년02월_남_80~89세,"7,660","1,837","2,002",838,906,"2,077"
2021년02월_남_90~99세,544,110,127,50,64,193
2021년02월_남_100세 이상,37,13,8,5,6,5
2021년02월_여_총인구수,"550,763","106,879","156,380","74,557","105,450","107,497"
2021년02월_여_연령구간인구수,"550,763","106,879","156,380","74,557","105,450","107,497"
2021년02월_여_0~9세,"47,174","7,901","11,458","7,119","12,160","8,536"
2021년02월_여_10~19세,"52,828","9,296","14,199","7,354","11,275","10,704"
2021년02월_여_20~29세,"62,778","11,707","20,141","7,694","11,844","11,392"
2021년02월_여_30~39세,"70,362","12,368","19,577","10,187","16,297","11,933"
2021년02월_여_40~49세,"91,767","16,684","26,240","11,890","18,843","18,110"
2021년02월_여_50~59세,"102,582","20,629","30,618","12,770","18,826","19,739"
2021년02월_여_60~69세,"73,386","16,552","21,160","11,454","9,677","14,543"
2021년02월_여_70~79세,"31,798","7,771","8,683","4,083","3,982","7,279"
2021년02월_여_80~89세,"15,365","3,394","3,719","1,677","2,152","4,423"
2021년02월_여_90~99세,"2,580",530,558,306,378,808
2021년02월_여_100세 이상,143,47,27,23,16,30
