,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년10월_계_총인구수,"37,447","9,980","2,071","1,878","2,315","3,096","2,161","5,066","3,390","2,710","2,053","2,727"
2020년10월_계_연령구간인구수,"37,447","9,980","2,071","1,878","2,315","3,096","2,161","5,066","3,390","2,710","2,053","2,727"
2020년10월_계_0~9세,"1,282",634,57,36,36,82,54,121,81,68,48,65
2020년10월_계_10~19세,"2,027",927,123,51,92,136,98,205,119,108,61,107
2020년10월_계_20~29세,"2,883","1,258",121,103,129,219,141,261,188,203,117,143
2020년10월_계_30~39세,"2,423","1,003",100,80,99,194,120,237,186,155,119,130
2020년10월_계_40~49세,"3,862","1,504",178,155,192,306,189,393,289,266,166,224
2020년10월_계_50~59세,"7,293","1,649",422,427,444,679,442,"1,085",690,520,398,537
2020년10월_계_60~69세,"8,474","1,471",523,497,634,692,520,"1,348",894,627,567,701
2020년10월_계_70~79세,"5,428",968,298,293,395,475,338,872,520,452,341,476
2020년10월_계_80~89세,"3,295",509,214,207,255,281,224,468,361,277,194,305
2020년10월_계_90~99세,450,53,35,28,36,30,33,70,58,32,39,36
2020년10월_계_100세 이상,30,4,0,1,3,2,2,6,4,2,3,3
2020년10월_남_총인구수,"19,186","5,102","1,087",958,"1,199","1,551","1,086","2,609","1,724","1,404","1,059","1,407"
2020년10월_남_연령구간인구수,"19,186","5,102","1,087",958,"1,199","1,551","1,086","2,609","1,724","1,404","1,059","1,407"
2020년10월_남_0~9세,649,329,30,18,15,30,26,59,40,39,25,38
2020년10월_남_10~19세,"1,056",481,65,25,56,70,43,109,63,49,34,61
2020년10월_남_20~29세,"1,711",720,76,63,79,119,86,160,123,127,68,90
2020년10월_남_30~39세,"1,354",523,61,47,62,113,67,133,102,92,79,75
2020년10월_남_40~49세,"2,218",808,111,85,114,182,111,228,170,160,106,143
2020년10월_남_50~59세,"3,953",896,234,245,234,370,235,599,376,287,200,277
2020년10월_남_60~69세,"4,448",722,280,271,346,368,266,714,471,339,304,367
2020년10월_남_70~79세,"2,524",421,138,125,188,212,175,423,245,204,170,223
2020년10월_남_80~89세,"1,160",187,83,74,96,79,71,169,116,97,63,125
2020년10월_남_90~99세,106,14,9,5,8,8,6,14,17,9,10,6
2020년10월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년10월_여_총인구수,"18,261","4,878",984,920,"1,116","1,545","1,075","2,457","1,666","1,306",994,"1,320"
2020년10월_여_연령구간인구수,"18,261","4,878",984,920,"1,116","1,545","1,075","2,457","1,666","1,306",994,"1,320"
2020년10월_여_0~9세,633,305,27,18,21,52,28,62,41,29,23,27
2020년10월_여_10~19세,971,446,58,26,36,66,55,96,56,59,27,46
2020년10월_여_20~29세,"1,172",538,45,40,50,100,55,101,65,76,49,53
2020년10월_여_30~39세,"1,069",480,39,33,37,81,53,104,84,63,40,55
2020년10월_여_40~49세,"1,644",696,67,70,78,124,78,165,119,106,60,81
2020년10월_여_50~59세,"3,340",753,188,182,210,309,207,486,314,233,198,260
2020년10월_여_60~69세,"4,026",749,243,226,288,324,254,634,423,288,263,334
2020년10월_여_70~79세,"2,904",547,160,168,207,263,163,449,275,248,171,253
2020년10월_여_80~89세,"2,135",322,131,133,159,202,153,299,245,180,131,180
2020년10월_여_90~99세,344,39,26,23,28,22,27,56,41,23,29,30
2020년10월_여_100세 이상,23,3,0,1,2,2,2,5,3,1,3,1
