카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년07월_계_총인구수,"63,952","9,601","3,254","1,722","5,104","1,298",718,"1,828",686,661,"7,555","14,491","9,062","7,972"
2021년07월_계_연령구간인구수,"63,952","9,601","3,254","1,722","5,104","1,298",718,"1,828",686,661,"7,555","14,491","9,062","7,972"
2021년07월_계_0~9세,"3,657",305,84,42,106,20,9,39,10,14,267,"1,621",629,511
2021년07월_계_10~19세,"5,018",757,130,65,198,37,10,68,26,12,482,"1,686",819,728
2021년07월_계_20~29세,"6,896","1,672",231,126,328,62,32,82,28,21,709,"1,839","1,012",754
2021년07월_계_30~39세,"5,407",494,204,84,270,68,21,80,20,32,581,"1,956",893,704
2021년07월_계_40~49세,"8,608","1,018",362,191,457,126,56,190,74,67,926,"2,503","1,477","1,161"
2021년07월_계_50~59세,"11,010","1,595",605,341,969,279,138,331,127,126,"1,371","2,293","1,530","1,305"
2021년07월_계_60~69세,"11,607","1,885",730,386,"1,235",387,200,456,183,176,"1,632","1,522","1,368","1,447"
2021년07월_계_70~79세,"7,056","1,204",506,296,807,176,135,319,127,120,"1,016",683,845,822
2021년07월_계_80~89세,"4,052",603,342,165,607,127,93,228,78,84,507,328,416,474
2021년07월_계_90~99세,614,65,52,26,122,16,24,35,13,9,61,58,68,65
2021년07월_계_100세 이상,27,3,8,0,5,0,0,0,0,0,3,2,5,1
2021년07월_남_총인구수,"32,305","4,754","1,707",865,"2,622",710,388,952,348,358,"3,709","7,363","4,598","3,931"
2021년07월_남_연령구간인구수,"32,305","4,754","1,707",865,"2,622",710,388,952,348,358,"3,709","7,363","4,598","3,931"
2021년07월_남_0~9세,"1,861",148,44,20,57,12,4,21,9,7,142,827,311,259
2021년07월_남_10~19세,"2,567",344,64,36,117,20,4,44,12,5,252,858,437,374
2021년07월_남_20~29세,"3,850",868,154,75,209,31,22,57,16,11,397,"1,031",563,416
2021년07월_남_30~39세,"2,917",261,137,54,170,48,13,41,8,19,326,"1,006",461,373
2021년07월_남_40~49세,"4,724",580,230,115,292,95,40,135,47,50,496,"1,238",800,606
2021년07월_남_50~59세,"5,953",862,365,185,582,148,89,191,78,77,676,"1,191",849,660
2021년07월_남_60~69세,"5,839",971,390,202,628,215,117,248,87,99,765,765,659,693
2021년07월_남_70~79세,"3,121",525,207,116,354,83,60,146,58,57,463,305,372,375
2021년07월_남_80~89세,"1,346",180,104,55,195,55,34,65,30,32,175,128,131,162
2021년07월_남_90~99세,123,15,9,7,18,3,5,4,3,1,17,14,14,13
2021년07월_남_100세 이상,4,0,3,0,0,0,0,0,0,0,0,0,1,0
2021년07월_여_총인구수,"31,647","4,847","1,547",857,"2,482",588,330,876,338,303,"3,846","7,128","4,464","4,041"
2021년07월_여_연령구간인구수,"31,647","4,847","1,547",857,"2,482",588,330,876,338,303,"3,846","7,128","4,464","4,041"
2021년07월_여_0~9세,"1,796",157,40,22,49,8,5,18,1,7,125,794,318,252
2021년07월_여_10~19세,"2,451",413,66,29,81,17,6,24,14,7,230,828,382,354
2021년07월_여_20~29세,"3,046",804,77,51,119,31,10,25,12,10,312,808,449,338
2021년07월_여_30~39세,"2,490",233,67,30,100,20,8,39,12,13,255,950,432,331
2021년07월_여_40~49세,"3,884",438,132,76,165,31,16,55,27,17,430,"1,265",677,555
2021년07월_여_50~59세,"5,057",733,240,156,387,131,49,140,49,49,695,"1,102",681,645
2021년07월_여_60~69세,"5,768",914,340,184,607,172,83,208,96,77,867,757,709,754
2021년07월_여_70~79세,"3,935",679,299,180,453,93,75,173,69,63,553,378,473,447
2021년07월_여_80~89세,"2,706",423,238,110,412,72,59,163,48,52,332,200,285,312
2021년07월_여_90~99세,491,50,43,19,104,13,19,31,10,8,44,44,54,52
2021년07월_여_100세 이상,23,3,5,0,5,0,0,0,0,0,3,2,4,1
