카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년11월_계_총인구수,"353,928","17,787","8,654","3,771","27,747","2,256","2,166","8,714","7,240","3,622","2,770","5,197","12,791","8,680","15,699","43,843","8,681","4,881","28,105","13,698","10,193","25,027","8,275","7,578","32,675","43,878"
2020년11월_계_연령구간인구수,"353,928","17,787","8,654","3,771","27,747","2,256","2,166","8,714","7,240","3,622","2,770","5,197","12,791","8,680","15,699","43,843","8,681","4,881","28,105","13,698","10,193","25,027","8,275","7,578","32,675","43,878"
2020년11월_계_0~9세,"28,339","1,175",370,109,"4,612",41,42,419,397,60,54,219,680,384,746,"3,409",416,168,"2,058","1,051",813,"1,788",280,467,"3,262","5,319"
2020년11월_계_10~19세,"35,970","1,630",555,156,"2,325",92,74,669,662,118,100,355,"1,314",787,"1,731","5,304",633,288,"2,413","1,224","1,171","2,680",702,862,"4,327","5,798"
2020년11월_계_20~29세,"45,391","2,092",969,324,"2,898",133,144,"1,416",983,212,191,749,"1,645","1,187","2,153","6,433","1,664",588,"4,383","2,017","1,062","3,031",950,940,"4,051","5,176"
2020년11월_계_30~39세,"45,234","1,848",709,248,"6,856",86,117,811,838,184,205,527,"1,223",788,"1,388","5,455",928,418,"3,974","1,658","1,116","2,789",656,680,"4,407","7,325"
2020년11월_계_40~49세,"57,317","2,909","1,000",339,"4,694",167,168,"1,189","1,144",297,284,652,"1,730","1,157","2,377","7,996","1,029",615,"4,043","2,135","1,765","4,217","1,077","1,197","6,299","8,837"
2020년11월_계_50~59세,"60,775","3,305","1,728",747,"3,067",399,447,"1,528","1,412",765,585,988,"2,445","1,746","3,144","7,635","1,435",953,"5,265","2,334","1,716","4,621","1,627","1,493","5,140","6,250"
2020년11월_계_60~69세,"45,320","2,505","1,813",912,"2,070",636,583,"1,500","1,025","1,009",653,898,"1,960","1,416","2,330","4,373","1,326",955,"3,734","1,850","1,390","3,319","1,524","1,084","3,275","3,180"
2020년11월_계_70~79세,"21,669","1,422",883,483,741,395,343,683,466,577,374,477,"1,095",763,"1,080","2,059",760,536,"1,389",916,737,"1,598",866,496,"1,254","1,276"
2020년11월_계_80~89세,"11,993",781,529,405,412,265,206,444,269,347,263,292,603,390,652,"1,034",413,307,718,437,382,868,505,297,550,624
2020년11월_계_90~99세,"1,808",112,94,47,67,40,39,52,43,52,56,36,90,58,96,137,70,50,120,72,36,113,79,57,104,88
2020년11월_계_100세 이상,112,8,4,1,5,2,3,3,1,1,5,4,6,4,2,8,7,3,8,4,5,3,9,5,6,5
2020년11월_남_총인구수,"175,624","9,080","4,525","1,979","13,695","1,148","1,107","4,596","3,813","1,858","1,479","2,504","6,139","4,186","7,603","21,545","4,250","2,439","13,644","7,193","5,120","12,473","4,089","3,757","16,040","21,362"
2020년11월_남_연령구간인구수,"175,624","9,080","4,525","1,979","13,695","1,148","1,107","4,596","3,813","1,858","1,479","2,504","6,139","4,186","7,603","21,545","4,250","2,439","13,644","7,193","5,120","12,473","4,089","3,757","16,040","21,362"
2020년11월_남_0~9세,"14,437",594,196,61,"2,297",18,24,215,198,30,30,111,335,180,346,"1,748",218,92,"1,100",544,423,932,144,244,"1,678","2,679"
2020년11월_남_10~19세,"18,630",831,279,87,"1,163",41,35,346,357,66,57,187,715,385,878,"2,758",364,165,"1,244",673,613,"1,395",381,438,"2,304","2,868"
2020년11월_남_20~29세,"24,186","1,181",598,197,"1,401",73,78,802,548,118,106,389,857,667,"1,149","3,497",799,327,"2,258","1,153",565,"1,627",523,518,"2,172","2,583"
2020년11월_남_30~39세,"22,982",994,400,139,"3,461",48,84,457,492,116,110,270,624,402,706,"2,754",509,225,"2,074",878,565,"1,443",395,346,"2,090","3,400"
2020년11월_남_40~49세,"28,230","1,514",540,207,"2,426",112,89,665,587,177,179,335,804,538,"1,133","3,762",527,340,"1,869","1,132",897,"2,129",545,553,"2,944","4,226"
2020년11월_남_50~59세,"30,548","1,752",914,416,"1,434",222,246,812,768,396,362,482,"1,178",843,"1,567","3,756",685,496,"2,411","1,241",901,"2,339",818,752,"2,511","3,246"
2020년11월_남_60~69세,"22,414","1,287",968,488,"1,032",335,310,803,542,529,368,417,911,680,"1,127","2,067",614,444,"1,796",973,694,"1,613",739,547,"1,568","1,562"
2020년11월_남_70~79세,"9,594",630,417,238,341,194,150,322,227,274,165,198,480,330,472,838,342,220,619,410,310,681,357,236,575,568
2020년11월_남_80~89세,"4,167",265,190,136,125,93,84,161,88,133,87,101,214,146,207,328,169,120,248,172,143,288,167,110,182,210
2020년11월_남_90~99세,408,29,21,10,15,12,6,11,6,19,15,12,21,13,17,34,21,10,24,16,8,25,17,12,15,19
2020년11월_남_100세 이상,28,3,2,0,0,0,1,2,0,0,0,2,0,2,1,3,2,0,1,1,1,1,3,1,1,1
2020년11월_여_총인구수,"178,304","8,707","4,129","1,792","14,052","1,108","1,059","4,118","3,427","1,764","1,291","2,693","6,652","4,494","8,096","22,298","4,431","2,442","14,461","6,505","5,073","12,554","4,186","3,821","16,635","22,516"
2020년11월_여_연령구간인구수,"178,304","8,707","4,129","1,792","14,052","1,108","1,059","4,118","3,427","1,764","1,291","2,693","6,652","4,494","8,096","22,298","4,431","2,442","14,461","6,505","5,073","12,554","4,186","3,821","16,635","22,516"
2020년11월_여_0~9세,"13,902",581,174,48,"2,315",23,18,204,199,30,24,108,345,204,400,"1,661",198,76,958,507,390,856,136,223,"1,584","2,640"
2020년11월_여_10~19세,"17,340",799,276,69,"1,162",51,39,323,305,52,43,168,599,402,853,"2,546",269,123,"1,169",551,558,"1,285",321,424,"2,023","2,930"
2020년11월_여_20~29세,"21,205",911,371,127,"1,497",60,66,614,435,94,85,360,788,520,"1,004","2,936",865,261,"2,125",864,497,"1,404",427,422,"1,879","2,593"
2020년11월_여_30~39세,"22,252",854,309,109,"3,395",38,33,354,346,68,95,257,599,386,682,"2,701",419,193,"1,900",780,551,"1,346",261,334,"2,317","3,925"
2020년11월_여_40~49세,"29,087","1,395",460,132,"2,268",55,79,524,557,120,105,317,926,619,"1,244","4,234",502,275,"2,174","1,003",868,"2,088",532,644,"3,355","4,611"
2020년11월_여_50~59세,"30,227","1,553",814,331,"1,633",177,201,716,644,369,223,506,"1,267",903,"1,577","3,879",750,457,"2,854","1,093",815,"2,282",809,741,"2,629","3,004"
2020년11월_여_60~69세,"22,906","1,218",845,424,"1,038",301,273,697,483,480,285,481,"1,049",736,"1,203","2,306",712,511,"1,938",877,696,"1,706",785,537,"1,707","1,618"
2020년11월_여_70~79세,"12,075",792,466,245,400,201,193,361,239,303,209,279,615,433,608,"1,221",418,316,770,506,427,917,509,260,679,708
2020년11월_여_80~89세,"7,826",516,339,269,287,172,122,283,181,214,176,191,389,244,445,706,244,187,470,265,239,580,338,187,368,414
2020년11월_여_90~99세,"1,400",83,73,37,52,28,33,41,37,33,41,24,69,45,79,103,49,40,96,56,28,88,62,45,89,69
2020년11월_여_100세 이상,84,5,2,1,5,2,2,1,1,1,5,2,6,2,1,5,5,3,7,3,4,2,6,4,5,4
