카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년10월_계_총인구수,"52,317","21,004","1,982","2,896","2,272","3,465","2,473","4,544","2,329","2,600","2,230","2,710","2,650","1,162"
2020년10월_계_연령구간인구수,"52,317","21,004","1,982","2,896","2,272","3,465","2,473","4,544","2,329","2,600","2,230","2,710","2,650","1,162"
2020년10월_계_0~9세,"2,598","1,676",47,57,77,105,51,216,73,53,67,65,85,26
2020년10월_계_10~19세,"3,740","2,350",70,115,124,147,81,283,117,102,92,112,115,32
2020년10월_계_20~29세,"4,330","2,203",120,206,180,212,132,390,148,140,161,189,183,66
2020년10월_계_30~39세,"3,947","2,080",115,163,175,233,110,360,141,110,127,136,129,68
2020년10월_계_40~49세,"6,201","3,125",153,262,242,383,196,542,216,248,180,262,275,117
2020년10월_계_50~59세,"8,896","3,445",315,494,405,522,454,867,423,422,413,450,474,212
2020년10월_계_60~69세,"9,585","2,929",446,563,440,768,562,883,571,536,457,577,570,283
2020년10월_계_70~79세,"7,715","1,988",385,574,344,713,502,625,416,527,412,523,492,214
2020년10월_계_80~89세,"4,646","1,077",284,400,241,341,343,333,193,408,284,347,273,122
2020년10월_계_90~99세,624,125,43,60,43,39,40,43,28,52,34,47,49,21
2020년10월_계_100세 이상,35,6,4,2,1,2,2,2,3,2,3,2,5,1
2020년10월_남_총인구수,"26,001","10,290",958,"1,465","1,172","1,750","1,230","2,319","1,184","1,281","1,096","1,335","1,299",622
2020년10월_남_연령구간인구수,"26,001","10,290",958,"1,465","1,172","1,750","1,230","2,319","1,184","1,281","1,096","1,335","1,299",622
2020년10월_남_0~9세,"1,358",870,25,37,29,45,26,120,41,27,39,37,49,13
2020년10월_남_10~19세,"1,982","1,235",42,63,67,73,49,147,70,53,47,57,64,15
2020년10월_남_20~29세,"2,418","1,197",68,118,96,115,76,218,93,82,85,109,121,40
2020년10월_남_30~39세,"2,143","1,029",70,95,108,149,66,201,77,73,84,77,68,46
2020년10월_남_40~49세,"3,475","1,549",97,182,155,248,133,334,125,157,102,152,163,78
2020년10월_남_50~59세,"4,842","1,703",179,287,240,308,251,471,231,254,242,275,259,142
2020년10월_남_60~69세,"4,797","1,462",219,300,244,361,288,438,276,263,247,286,265,148
2020년10월_남_70~79세,"3,340",855,154,241,149,315,218,289,204,220,170,208,223,94
2020년10월_남_80~89세,"1,509",362,97,127,75,124,114,94,61,136,76,122,80,41
2020년10월_남_90~99세,134,27,7,15,9,12,9,7,6,16,3,12,6,5
2020년10월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020년10월_여_총인구수,"26,316","10,714","1,024","1,431","1,100","1,715","1,243","2,225","1,145","1,319","1,134","1,375","1,351",540
2020년10월_여_연령구간인구수,"26,316","10,714","1,024","1,431","1,100","1,715","1,243","2,225","1,145","1,319","1,134","1,375","1,351",540
2020년10월_여_0~9세,"1,240",806,22,20,48,60,25,96,32,26,28,28,36,13
2020년10월_여_10~19세,"1,758","1,115",28,52,57,74,32,136,47,49,45,55,51,17
2020년10월_여_20~29세,"1,912","1,006",52,88,84,97,56,172,55,58,76,80,62,26
2020년10월_여_30~39세,"1,804","1,051",45,68,67,84,44,159,64,37,43,59,61,22
2020년10월_여_40~49세,"2,726","1,576",56,80,87,135,63,208,91,91,78,110,112,39
2020년10월_여_50~59세,"4,054","1,742",136,207,165,214,203,396,192,168,171,175,215,70
2020년10월_여_60~69세,"4,788","1,467",227,263,196,407,274,445,295,273,210,291,305,135
2020년10월_여_70~79세,"4,375","1,133",231,333,195,398,284,336,212,307,242,315,269,120
2020년10월_여_80~89세,"3,137",715,187,273,166,217,229,239,132,272,208,225,193,81
2020년10월_여_90~99세,490,98,36,45,34,27,31,36,22,36,31,35,43,16
2020년10월_여_100세 이상,32,5,4,2,1,2,2,2,3,2,2,2,4,1
