카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년09월_계_총인구수,"157,396","40,430","5,822","20,050","11,825","15,081","21,072","8,973","21,797","12,346"
2020년09월_계_연령구간인구수,"157,396","40,430","5,822","20,050","11,825","15,081","21,072","8,973","21,797","12,346"
2020년09월_계_0~9세,"15,232","3,737",243,"2,231",958,"1,396","2,151",725,"2,472","1,319"
2020년09월_계_10~19세,"15,554","4,105",358,"1,928","1,173","1,366","2,313",920,"2,120","1,271"
2020년09월_계_20~29세,"17,915","4,648",734,"2,041","1,551","1,946","2,435",922,"2,455","1,183"
2020년09월_계_30~39세,"23,541","6,059",791,"3,053","1,546","2,282","2,802","1,173","3,954","1,881"
2020년09월_계_40~49세,"25,913","7,237",834,"3,255","1,975","2,294","3,476","1,405","3,391","2,046"
2020년09월_계_50~59세,"26,001","6,670","1,074","3,268","2,304","2,402","3,850","1,465","3,076","1,892"
2020년09월_계_60~69세,"22,298","5,242","1,145","2,735","1,622","2,183","2,787","1,559","3,193","1,832"
2020년09월_계_70~79세,"8,112","1,986",488,"1,093",492,944,921,616,907,665
2020년09월_계_80~89세,"2,446",627,139,398,182,230,285,162,198,225
2020년09월_계_90~99세,358,112,15,44,20,34,50,25,29,29
2020년09월_계_100세 이상,26,7,1,4,2,4,2,1,2,3
2020년09월_남_총인구수,"82,303","21,672","3,144","10,344","6,198","7,822","10,766","4,583","11,513","6,261"
2020년09월_남_연령구간인구수,"82,303","21,672","3,144","10,344","6,198","7,822","10,766","4,583","11,513","6,261"
2020년09월_남_0~9세,"7,799","1,905",127,"1,135",488,736,"1,063",368,"1,293",684
2020년09월_남_10~19세,"8,210","2,184",188,"1,017",635,745,"1,187",470,"1,141",643
2020년09월_남_20~29세,"10,091","2,667",421,"1,134",848,"1,017","1,366",543,"1,442",653
2020년09월_남_30~39세,"12,995","3,508",500,"1,571",867,"1,266","1,449",622,"2,203","1,009"
2020년09월_남_40~49세,"14,044","4,113",490,"1,782","1,036","1,230","1,781",741,"1,816","1,055"
2020년09월_남_50~59세,"12,875","3,459",558,"1,667","1,156","1,169","1,898",692,"1,396",880
2020년09월_남_60~69세,"11,324","2,670",555,"1,382",853,"1,062","1,431",782,"1,637",952
2020년09월_남_70~79세,"4,127",968,252,537,246,507,486,311,506,314
2020년09월_남_80~89세,784,189,48,112,68,80,99,51,72,65
2020년09월_남_90~99세,49,9,5,7,1,7,5,3,6,6
2020년09월_남_100세 이상,5,0,0,0,0,3,1,0,1,0
2020년09월_여_총인구수,"75,093","18,758","2,678","9,706","5,627","7,259","10,306","4,390","10,284","6,085"
2020년09월_여_연령구간인구수,"75,093","18,758","2,678","9,706","5,627","7,259","10,306","4,390","10,284","6,085"
2020년09월_여_0~9세,"7,433","1,832",116,"1,096",470,660,"1,088",357,"1,179",635
2020년09월_여_10~19세,"7,344","1,921",170,911,538,621,"1,126",450,979,628
2020년09월_여_20~29세,"7,824","1,981",313,907,703,929,"1,069",379,"1,013",530
2020년09월_여_30~39세,"10,546","2,551",291,"1,482",679,"1,016","1,353",551,"1,751",872
2020년09월_여_40~49세,"11,869","3,124",344,"1,473",939,"1,064","1,695",664,"1,575",991
2020년09월_여_50~59세,"13,126","3,211",516,"1,601","1,148","1,233","1,952",773,"1,680","1,012"
2020년09월_여_60~69세,"10,974","2,572",590,"1,353",769,"1,121","1,356",777,"1,556",880
2020년09월_여_70~79세,"3,985","1,018",236,556,246,437,435,305,401,351
2020년09월_여_80~89세,"1,662",438,91,286,114,150,186,111,126,160
2020년09월_여_90~99세,309,103,10,37,19,27,45,22,23,23
2020년09월_여_100세 이상,21,7,1,4,2,1,1,1,1,3
