,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년11월_계_총인구수,"32,112","8,403","3,411","1,871","3,902","1,934","3,125","2,876","2,874","3,716"
2020년11월_계_연령구간인구수,"32,112","8,403","3,411","1,871","3,902","1,934","3,125","2,876","2,874","3,716"
2020년11월_계_0~9세,"1,388",541,139,66,138,46,100,101,100,157
2020년11월_계_10~19세,"2,067",763,184,63,229,88,234,139,134,233
2020년11월_계_20~29세,"2,527",791,192,137,270,144,253,202,258,280
2020년11월_계_30~39세,"2,133",706,178,117,234,100,197,183,186,232
2020년11월_계_40~49세,"3,500","1,141",349,183,384,174,291,257,318,403
2020년11월_계_50~59세,"5,510","1,359",577,289,661,365,581,502,526,650
2020년11월_계_60~69세,"5,904","1,268",660,418,784,369,548,631,569,657
2020년11월_계_70~79세,"5,165","1,053",660,328,667,348,522,476,444,667
2020년11월_계_80~89세,"3,401",681,423,231,463,262,347,331,286,377
2020년11월_계_90~99세,491,94,48,37,69,37,51,52,46,57
2020년11월_계_100세 이상,26,6,1,2,3,1,1,2,7,3
2020년11월_남_총인구수,"16,079","4,136","1,700",934,"1,942",931,"1,603","1,422","1,455","1,956"
2020년11월_남_연령구간인구수,"16,079","4,136","1,700",934,"1,942",931,"1,603","1,422","1,455","1,956"
2020년11월_남_0~9세,721,274,59,36,80,18,53,58,52,91
2020년11월_남_10~19세,"1,088",411,94,32,116,47,130,64,68,126
2020년11월_남_20~29세,"1,501",436,118,71,168,95,162,122,151,178
2020년11월_남_30~39세,"1,139",353,97,71,126,53,113,102,93,131
2020년11월_남_40~49세,"2,080",617,232,121,234,101,164,149,185,277
2020년11월_남_50~59세,"3,200",744,340,159,376,209,359,298,310,405
2020년11월_남_60~69세,"3,071",634,346,210,421,196,274,341,300,349
2020년11월_남_70~79세,"2,149",435,264,152,272,131,234,193,193,275
2020년11월_남_80~89세,"1,017",208,139,73,135,71,106,90,88,107
2020년11월_남_90~99세,111,22,11,9,14,10,8,5,15,17
2020년11월_남_100세 이상,2,2,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"16,033","4,267","1,711",937,"1,960","1,003","1,522","1,454","1,419","1,760"
2020년11월_여_연령구간인구수,"16,033","4,267","1,711",937,"1,960","1,003","1,522","1,454","1,419","1,760"
2020년11월_여_0~9세,667,267,80,30,58,28,47,43,48,66
2020년11월_여_10~19세,979,352,90,31,113,41,104,75,66,107
2020년11월_여_20~29세,"1,026",355,74,66,102,49,91,80,107,102
2020년11월_여_30~39세,994,353,81,46,108,47,84,81,93,101
2020년11월_여_40~49세,"1,420",524,117,62,150,73,127,108,133,126
2020년11월_여_50~59세,"2,310",615,237,130,285,156,222,204,216,245
2020년11월_여_60~69세,"2,833",634,314,208,363,173,274,290,269,308
2020년11월_여_70~79세,"3,016",618,396,176,395,217,288,283,251,392
2020년11월_여_80~89세,"2,384",473,284,158,328,191,241,241,198,270
2020년11월_여_90~99세,380,72,37,28,55,27,43,47,31,40
2020년11월_여_100세 이상,24,4,1,2,3,1,1,2,7,3
