카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년08월_계_총인구수,"114,392","12,200","2,709","3,010","1,493","2,373","2,527","3,636","1,983","4,734","4,435","3,478","1,926","4,319","7,805","2,787","5,119","9,046","3,428","3,526","33,858"
2020년08월_계_연령구간인구수,"114,392","12,200","2,709","3,010","1,493","2,373","2,527","3,636","1,983","4,734","4,435","3,478","1,926","4,319","7,805","2,787","5,119","9,046","3,428","3,526","33,858"
2020년08월_계_0~9세,"10,084","1,167",58,82,24,87,50,67,35,104,146,94,43,129,675,160,252,784,121,136,"5,870"
2020년08월_계_10~19세,"9,351",800,154,147,54,128,87,164,58,174,221,148,54,209,871,233,376,972,283,212,"4,006"
2020년08월_계_20~29세,"12,141","1,218",209,266,107,151,184,252,121,352,398,325,112,326,"1,170",360,553,"1,320",289,382,"4,046"
2020년08월_계_30~39세,"14,495","1,697",136,180,78,134,129,219,94,274,350,250,102,245,987,268,425,"1,018",241,301,"7,367"
2020년08월_계_40~49세,"16,263","1,723",227,266,123,237,195,308,163,427,450,382,164,390,"1,265",425,620,"1,391",335,445,"6,727"
2020년08월_계_50~59세,"17,201","1,982",492,562,265,386,407,634,354,899,790,697,392,732,"1,278",452,896,"1,473",649,622,"3,239"
2020년08월_계_60~69세,"15,782","1,857",568,617,329,507,568,803,432,"1,069",880,703,441,898,803,403,859,"1,015",638,661,"1,731"
2020년08월_계_70~79세,"11,518","1,114",500,507,278,421,522,661,385,802,755,516,361,831,460,301,751,707,531,484,631
2020년08월_계_80~89세,"6,514",558,307,338,201,289,344,452,294,531,373,310,227,484,262,155,335,313,295,231,215
2020년08월_계_90~99세,985,81,53,43,34,29,41,73,46,97,66,53,29,70,33,30,49,53,42,38,25
2020년08월_계_100세 이상,58,3,5,2,0,4,0,3,1,5,6,0,1,5,1,0,3,0,4,14,1
2020년08월_남_총인구수,"57,546","6,113","1,351","1,563",739,"1,182","1,244","1,822",967,"2,432","2,325","1,806","1,001","2,229","3,881","1,389","2,578","4,535","1,744","1,853","16,792"
2020년08월_남_연령구간인구수,"57,546","6,113","1,351","1,563",739,"1,182","1,244","1,822",967,"2,432","2,325","1,806","1,001","2,229","3,881","1,389","2,578","4,535","1,744","1,853","16,792"
2020년08월_남_0~9세,"5,153",600,28,38,11,41,23,36,16,64,79,45,26,65,344,77,146,406,71,63,"2,974"
2020년08월_남_10~19세,"4,822",410,81,82,29,67,51,101,32,82,122,76,25,121,445,125,223,519,126,104,"2,001"
2020년08월_남_20~29세,"6,400",644,118,150,70,86,112,145,71,194,223,191,67,182,634,204,304,731,157,217,"1,900"
2020년08월_남_30~39세,"7,542",865,76,119,53,76,76,146,55,172,219,148,57,136,523,140,230,506,139,182,"3,624"
2020년08월_남_40~49세,"9,109",974,154,177,79,148,131,201,112,289,286,244,110,257,643,240,336,711,208,282,"3,527"
2020년08월_남_50~59세,"9,384",986,293,348,152,231,230,353,209,524,467,415,237,458,653,238,468,769,387,376,"1,590"
2020년08월_남_60~69세,"8,008",946,300,328,161,269,311,415,227,570,467,362,244,474,382,188,420,469,333,340,802
2020년08월_남_70~79세,"4,986",511,213,222,127,172,202,280,147,353,330,224,160,364,177,123,321,319,218,217,306
2020년08월_남_80~89세,"1,926",155,83,95,50,85,97,133,88,166,118,87,67,153,70,50,118,95,92,61,63
2020년08월_남_90~99세,207,22,5,4,7,7,11,11,10,18,13,14,7,18,10,4,12,10,13,6,5
2020년08월_남_100세 이상,9,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,0
2020년08월_여_총인구수,"56,846","6,087","1,358","1,447",754,"1,191","1,283","1,814","1,016","2,302","2,110","1,672",925,"2,090","3,924","1,398","2,541","4,511","1,684","1,673","17,066"
2020년08월_여_연령구간인구수,"56,846","6,087","1,358","1,447",754,"1,191","1,283","1,814","1,016","2,302","2,110","1,672",925,"2,090","3,924","1,398","2,541","4,511","1,684","1,673","17,066"
2020년08월_여_0~9세,"4,931",567,30,44,13,46,27,31,19,40,67,49,17,64,331,83,106,378,50,73,"2,896"
2020년08월_여_10~19세,"4,529",390,73,65,25,61,36,63,26,92,99,72,29,88,426,108,153,453,157,108,"2,005"
2020년08월_여_20~29세,"5,741",574,91,116,37,65,72,107,50,158,175,134,45,144,536,156,249,589,132,165,"2,146"
2020년08월_여_30~39세,"6,953",832,60,61,25,58,53,73,39,102,131,102,45,109,464,128,195,512,102,119,"3,743"
2020년08월_여_40~49세,"7,154",749,73,89,44,89,64,107,51,138,164,138,54,133,622,185,284,680,127,163,"3,200"
2020년08월_여_50~59세,"7,817",996,199,214,113,155,177,281,145,375,323,282,155,274,625,214,428,704,262,246,"1,649"
2020년08월_여_60~69세,"7,774",911,268,289,168,238,257,388,205,499,413,341,197,424,421,215,439,546,305,321,929
2020년08월_여_70~79세,"6,532",603,287,285,151,249,320,381,238,449,425,292,201,467,283,178,430,388,313,267,325
2020년08월_여_80~89세,"4,588",403,224,243,151,204,247,319,206,365,255,223,160,331,192,105,217,218,203,170,152
2020년08월_여_90~99세,778,59,48,39,27,22,30,62,36,79,53,39,22,52,23,26,37,43,29,32,20
