카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년10월_계_총인구수,"512,129","21,687","26,751","29,996","36,857","38,851","26,725","22,097","24,139","26,997","20,029","34,480","38,290","20,026","26,307","24,050","32,808","22,735","20,584","18,720"
2021년10월_계_연령구간인구수,"512,129","21,687","26,751","29,996","36,857","38,851","26,725","22,097","24,139","26,997","20,029","34,480","38,290","20,026","26,307","24,050","32,808","22,735","20,584","18,720"
2021년10월_계_0~9세,"30,882","1,113","1,610","2,118","1,914","2,744","1,087","1,399","1,450","1,887","1,079","1,872","2,165",911,"1,333","1,026","2,284","2,323","1,259","1,308"
2021년10월_계_10~19세,"50,703","1,618","2,010","2,067","2,600","4,144","2,955","2,698","4,433","5,592","2,167","3,039","3,247","1,780","1,998","1,945","2,917","1,922","1,982","1,589"
2021년10월_계_20~29세,"70,528","3,723","3,124","3,471","6,538","6,568","4,399","2,946","3,087","2,906","2,486","4,126","5,114","3,169","3,142","3,329","4,425","2,696","2,695","2,584"
2021년10월_계_30~39세,"63,227","2,573","3,091","4,472","5,166","5,127","2,692","2,486","1,805","1,975","1,883","4,181","4,774","2,276","2,835","2,599","4,854","4,778","2,729","2,931"
2021년10월_계_40~49세,"82,087","3,287","4,105","4,496","5,330","6,226","3,997","3,841","4,808","6,302","3,343","5,466","5,514","2,895","3,737","3,472","5,259","3,804","3,307","2,898"
2021년10월_계_50~59세,"87,050","3,434","4,535","4,715","5,671","6,002","4,917","3,885","4,578","4,600","3,586","5,666","6,893","3,882","4,699","4,457","5,671","3,039","3,573","3,247"
2021년10월_계_60~69세,"70,484","3,155","4,490","4,724","5,585","4,670","3,720","2,675","2,320","2,189","2,674","4,954","6,175","2,986","4,454","3,816","4,170","2,346","2,879","2,502"
2021년10월_계_70~79세,"37,250","1,918","2,521","2,594","2,803","2,234","1,844","1,349","1,033",953,"1,872","3,283","2,902","1,408","2,708","2,247","1,998","1,180","1,362","1,041"
2021년10월_계_80~89세,"17,259",757,"1,074","1,186","1,078",991,974,713,551,516,800,"1,662","1,299",617,"1,260",989,"1,027",556,675,534
2021년10월_계_90~99세,"2,556",103,184,147,168,140,135,104,70,70,134,222,197,96,134,162,196,88,121,85
2021년10월_계_100세 이상,103,6,7,6,4,5,5,1,4,7,5,9,10,6,7,8,7,3,2,1
2021년10월_남_총인구수,"246,650","11,196","12,881","14,343","17,965","18,936","12,811","10,518","11,769","13,117","9,654","15,832","18,508","9,917","13,070","11,666","15,169","10,904","9,736","8,658"
2021년10월_남_연령구간인구수,"246,650","11,196","12,881","14,343","17,965","18,936","12,811","10,518","11,769","13,117","9,654","15,832","18,508","9,917","13,070","11,666","15,169","10,904","9,736","8,658"
2021년10월_남_0~9세,"15,919",566,821,"1,086",981,"1,431",585,730,778,"1,017",552,959,"1,099",444,680,519,"1,165","1,206",636,664
2021년10월_남_10~19세,"26,304",876,"1,036","1,101","1,337","2,139","1,645","1,385","2,223","2,924","1,185","1,470","1,690",895,"1,094","1,003","1,519",959,"1,026",797
2021년10월_남_20~29세,"36,039","2,157","1,659","1,722","3,216","3,247","2,347","1,490","1,595","1,502","1,299","2,075","2,581","1,617","1,666","1,752","2,128","1,351","1,403","1,232"
2021년10월_남_30~39세,"31,480","1,412","1,541","2,241","2,615","2,570","1,340","1,196",870,855,942,"2,029","2,391","1,190","1,503","1,371","2,280","2,337","1,370","1,427"
2021년10월_남_40~49세,"39,035","1,695","2,074","2,286","2,735","2,926","1,778","1,780","2,048","2,736","1,591","2,649","2,630","1,422","1,890","1,710","2,412","1,867","1,495","1,311"
2021년10월_남_50~59세,"42,183","1,738","2,200","2,185","2,749","2,950","2,379","1,859","2,376","2,438","1,777","2,670","3,271","1,938","2,370","2,156","2,568","1,446","1,652","1,461"
2021년10월_남_60~69세,"32,789","1,531","2,023","2,111","2,595","2,209","1,709","1,251","1,211","1,066","1,254","2,175","2,960","1,478","2,154","1,799","1,856","1,004","1,296","1,107"
2021년10월_남_70~79세,"16,201",879,"1,133","1,160","1,276","1,056",707,567,450,400,735,"1,225","1,328",674,"1,193",974,855,518,604,467
2021년10월_남_80~89세,"6,062",316,343,422,422,366,279,230,202,158,285,527,512,237,494,336,342,190,230,171
2021년10월_남_90~99세,624,25,50,29,38,41,42,30,16,18,34,53,43,21,24,46,44,26,23,21
2021년10월_남_100세 이상,14,1,1,0,1,1,0,0,0,3,0,0,3,1,2,0,0,0,1,0
2021년10월_여_총인구수,"265,479","10,491","13,870","15,653","18,892","19,915","13,914","11,579","12,370","13,880","10,375","18,648","19,782","10,109","13,237","12,384","17,639","11,831","10,848","10,062"
2021년10월_여_연령구간인구수,"265,479","10,491","13,870","15,653","18,892","19,915","13,914","11,579","12,370","13,880","10,375","18,648","19,782","10,109","13,237","12,384","17,639","11,831","10,848","10,062"
2021년10월_여_0~9세,"14,963",547,789,"1,032",933,"1,313",502,669,672,870,527,913,"1,066",467,653,507,"1,119","1,117",623,644
2021년10월_여_10~19세,"24,399",742,974,966,"1,263","2,005","1,310","1,313","2,210","2,668",982,"1,569","1,557",885,904,942,"1,398",963,956,792
2021년10월_여_20~29세,"34,489","1,566","1,465","1,749","3,322","3,321","2,052","1,456","1,492","1,404","1,187","2,051","2,533","1,552","1,476","1,577","2,297","1,345","1,292","1,352"
2021년10월_여_30~39세,"31,747","1,161","1,550","2,231","2,551","2,557","1,352","1,290",935,"1,120",941,"2,152","2,383","1,086","1,332","1,228","2,574","2,441","1,359","1,504"
2021년10월_여_40~49세,"43,052","1,592","2,031","2,210","2,595","3,300","2,219","2,061","2,760","3,566","1,752","2,817","2,884","1,473","1,847","1,762","2,847","1,937","1,812","1,587"
2021년10월_여_50~59세,"44,867","1,696","2,335","2,530","2,922","3,052","2,538","2,026","2,202","2,162","1,809","2,996","3,622","1,944","2,329","2,301","3,103","1,593","1,921","1,786"
2021년10월_여_60~69세,"37,695","1,624","2,467","2,613","2,990","2,461","2,011","1,424","1,109","1,123","1,420","2,779","3,215","1,508","2,300","2,017","2,314","1,342","1,583","1,395"
2021년10월_여_70~79세,"21,049","1,039","1,388","1,434","1,527","1,178","1,137",782,583,553,"1,137","2,058","1,574",734,"1,515","1,273","1,143",662,758,574
2021년10월_여_80~89세,"11,197",441,731,764,656,625,695,483,349,358,515,"1,135",787,380,766,653,685,366,445,363
2021년10월_여_90~99세,"1,932",78,134,118,130,99,93,74,54,52,100,169,154,75,110,116,152,62,98,64
2021년10월_여_100세 이상,89,5,6,6,3,4,5,1,4,4,5,9,7,5,5,8,7,3,1,1
