카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년08월_계_총인구수,"416,551","15,109","36,649","1,887","1,744","2,223","4,152","26,437","3,174","24,539","3,852","3,287","30,299","2,283","39,743","14,973","17,507","3,324","3,265","6,344","6,909","4,534","4,482","28,765","19,677","48,917","16,034","46,442"
2020년08월_계_연령구간인구수,"416,551","15,109","36,649","1,887","1,744","2,223","4,152","26,437","3,174","24,539","3,852","3,287","30,299","2,283","39,743","14,973","17,507","3,324","3,265","6,344","6,909","4,534","4,482","28,765","19,677","48,917","16,034","46,442"
2020년08월_계_0~9세,"42,112",917,"3,344",41,18,39,68,"5,618",77,"1,840",66,82,"2,479",82,"4,035","1,114",932,138,288,717,970,658,354,"2,620","2,339","5,158",959,"7,159"
2020년08월_계_10~19세,"45,393","1,182","3,895",61,62,132,160,"2,123",206,"2,554",114,152,"3,608",134,"5,140","1,730","2,076",198,231,478,656,206,355,"3,642","2,655","6,033","1,132","6,478"
2020년08월_계_20~29세,"56,681","1,522","4,729",110,98,146,302,"2,684",255,"3,479",523,342,"4,070",242,"5,266","2,067","2,824",600,427,987,943,710,668,"4,256","2,544","7,089","4,123","5,675"
2020년08월_계_30~39세,"66,411","1,346","4,480",92,78,102,221,"8,132",183,"3,398",539,273,"3,671",166,"5,236","1,730","1,746",493,554,"1,367","1,475","1,149",743,"3,904","3,146","8,956","4,154","9,077"
2020년08월_계_40~49세,"73,284","1,997","5,810",140,150,200,455,"4,145",375,"3,982",713,358,"5,139",296,"7,584","2,540","2,898",466,453,978,"1,153",704,775,"5,799","4,024","9,535","2,673","9,942"
2020년08월_계_50~59세,"69,490","3,030","7,710",362,327,391,820,"2,043",655,"4,539",853,697,"6,091",494,"7,126","3,054","3,961",643,637,"1,139","1,078",660,798,"5,489","3,205","6,868","1,720","5,100"
2020년08월_계_60~69세,"38,131","2,581","3,967",475,422,496,900,966,618,"3,214",634,751,"3,491",509,"3,575","1,786","2,155",461,393,443,468,345,475,"1,933","1,165","3,289",822,"1,797"
2020년08월_계_70~79세,"15,939","1,434","1,633",306,296,398,678,412,462,"1,126",290,442,"1,164",236,"1,204",658,647,239,179,163,118,79,229,746,391,"1,326",298,785
