카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년02월_계_총인구수,"81,322","10,868","6,624","5,690","33,509","3,161","6,446","4,778","2,077","5,120","3,049"
2020년02월_계_연령구간인구수,"81,322","10,868","6,624","5,690","33,509","3,161","6,446","4,778","2,077","5,120","3,049"
2020년02월_계_0~9세,"7,156",756,279,210,"5,205",47,235,129,68,134,93
2020년02월_계_10~19세,"8,821","1,172",405,324,"5,495",165,450,220,101,297,192
2020년02월_계_20~29세,"8,214","1,355",567,526,"3,642",247,702,355,171,392,257
2020년02월_계_30~39세,"9,325","1,032",434,380,"5,997",156,470,276,138,259,183
2020년02월_계_40~49세,"12,671","1,587",762,637,"7,158",282,734,455,210,541,305
2020년02월_계_50~59세,"12,481","1,879","1,200","1,206","3,594",603,"1,178",924,378,908,611
2020년02월_계_60~69세,"10,261","1,508","1,247","1,107","1,498",592,"1,190",986,475,"1,033",625
2020년02월_계_70~79세,"7,772","1,048","1,059",805,628,596,893,910,358,972,503
2020년02월_계_80~89세,"4,034",478,593,420,258,420,506,456,141,513,249
2020년02월_계_90~99세,553,51,78,70,32,51,72,66,35,70,28
2020년02월_계_100세 이상,34,2,0,5,2,2,16,1,2,1,3
2020년02월_남_총인구수,"40,776","5,409","3,350","2,991","16,503","1,557","3,317","2,407","1,072","2,597","1,573"
2020년02월_남_연령구간인구수,"40,776","5,409","3,350","2,991","16,503","1,557","3,317","2,407","1,072","2,597","1,573"
2020년02월_남_0~9세,"3,648",385,156,103,"2,635",19,125,70,39,73,43
2020년02월_남_10~19세,"4,520",618,211,156,"2,814",94,227,98,52,153,97
2020년02월_남_20~29세,"4,418",758,317,298,"1,796",134,424,203,95,255,138
2020년02월_남_30~39세,"4,781",556,261,228,"2,819",110,261,179,90,154,123
2020년02월_남_40~49세,"6,761",804,475,380,"3,503",173,448,311,137,340,190
2020년02월_남_50~59세,"6,837",975,676,705,"1,906",346,649,523,197,498,362
2020년02월_남_60~69세,"5,092",728,601,601,695,296,615,482,239,517,318
2020년02월_남_70~79세,"3,400",433,468,381,263,252,404,382,164,432,221
2020년02월_남_80~89세,"1,221",144,169,127,67,121,156,146,52,167,72
2020년02월_남_90~99세,94,8,16,11,4,12,8,13,7,8,7
2020년02월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년02월_여_총인구수,"40,546","5,459","3,274","2,699","17,006","1,604","3,129","2,371","1,005","2,523","1,476"
2020년02월_여_연령구간인구수,"40,546","5,459","3,274","2,699","17,006","1,604","3,129","2,371","1,005","2,523","1,476"
2020년02월_여_0~9세,"3,508",371,123,107,"2,570",28,110,59,29,61,50
2020년02월_여_10~19세,"4,301",554,194,168,"2,681",71,223,122,49,144,95
2020년02월_여_20~29세,"3,796",597,250,228,"1,846",113,278,152,76,137,119
2020년02월_여_30~39세,"4,544",476,173,152,"3,178",46,209,97,48,105,60
2020년02월_여_40~49세,"5,910",783,287,257,"3,655",109,286,144,73,201,115
2020년02월_여_50~59세,"5,644",904,524,501,"1,688",257,529,401,181,410,249
2020년02월_여_60~69세,"5,169",780,646,506,803,296,575,504,236,516,307
2020년02월_여_70~79세,"4,372",615,591,424,365,344,489,528,194,540,282
2020년02월_여_80~89세,"2,813",334,424,293,191,299,350,310,89,346,177
2020년02월_여_90~99세,459,43,62,59,28,39,64,53,28,62,21
2020년02월_여_100세 이상,30,2,0,4,1,2,16,1,2,1,1
