카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년05월_계_총인구수,"43,254","6,539","4,537","6,074","13,785","3,976","3,538","2,651","2,154"
2020년05월_계_연령구간인구수,"43,254","6,539","4,537","6,074","13,785","3,976","3,538","2,651","2,154"
2020년05월_계_0~9세,"2,733",513,201,411,"1,184",168,133,79,44
2020년05월_계_10~19세,"3,939",587,329,519,"1,694",277,234,189,110
2020년05월_계_20~29세,"3,677",616,348,394,"1,429",285,305,162,138
2020년05월_계_30~39세,"4,014",643,314,590,"1,615",294,273,159,126
2020년05월_계_40~49세,"6,558",957,616,933,"2,623",542,399,287,201
2020년05월_계_50~59세,"7,540","1,141",842,"1,001","2,182",778,764,444,388
2020년05월_계_60~69세,"7,535","1,091",982,"1,069","1,697",893,699,605,499
2020년05월_계_70~79세,"4,894",661,640,773,944,513,464,488,411
2020년05월_계_80~89세,"2,047",277,219,332,367,199,235,213,205
2020년05월_계_90~99세,255,39,38,44,42,22,25,21,24
2020년05월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년05월_남_총인구수,"21,847","3,244","2,326","3,054","6,977","1,999","1,750","1,381","1,116"
2020년05월_남_연령구간인구수,"21,847","3,244","2,326","3,054","6,977","1,999","1,750","1,381","1,116"
2020년05월_남_0~9세,"1,407",268,101,214,600,86,68,47,23
2020년05월_남_10~19세,"2,058",317,180,259,888,126,111,118,59
2020년05월_남_20~29세,"2,088",359,205,233,793,149,167,99,83
2020년05월_남_30~39세,"2,097",329,176,288,811,170,160,85,78
2020년05월_남_40~49세,"3,485",483,341,528,"1,342",293,208,176,114
2020년05월_남_50~59세,"4,015",565,458,565,"1,155",401,402,251,218
2020년05월_남_60~69세,"3,694",515,497,490,823,447,357,306,259
2020년05월_남_70~79세,"2,184",291,275,347,428,237,199,217,190
2020년05월_남_80~89세,739,101,83,117,125,85,74,75,79
2020년05월_남_90~99세,54,9,7,10,7,3,2,5,11
2020년05월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년05월_여_총인구수,"21,407","3,295","2,211","3,020","6,808","1,977","1,788","1,270","1,038"
2020년05월_여_연령구간인구수,"21,407","3,295","2,211","3,020","6,808","1,977","1,788","1,270","1,038"
2020년05월_여_0~9세,"1,326",245,100,197,584,82,65,32,21
2020년05월_여_10~19세,"1,881",270,149,260,806,151,123,71,51
2020년05월_여_20~29세,"1,589",257,143,161,636,136,138,63,55
2020년05월_여_30~39세,"1,917",314,138,302,804,124,113,74,48
2020년05월_여_40~49세,"3,073",474,275,405,"1,281",249,191,111,87
2020년05월_여_50~59세,"3,525",576,384,436,"1,027",377,362,193,170
2020년05월_여_60~69세,"3,841",576,485,579,874,446,342,299,240
2020년05월_여_70~79세,"2,710",370,365,426,516,276,265,271,221
2020년05월_여_80~89세,"1,308",176,136,215,242,114,161,138,126
2020년05월_여_90~99세,201,30,31,34,35,19,23,16,13
2020년05월_여_100세 이상,36,7,5,5,3,3,5,2,6
