,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년09월_계_총인구수,"878,879","84,427","17,506","87,801","43,069","6,978","5,792","7,048","10,973","7,225","10,079","10,311","4,025","11,563","23,832","43,732","36,033","24,045","32,049","13,542","23,060","51,089","35,386","42,014","52,780","43,989","35,878","85,733","28,920"
2021년09월_계_연령구간인구수,"878,879","84,427","17,506","87,801","43,069","6,978","5,792","7,048","10,973","7,225","10,079","10,311","4,025","11,563","23,832","43,732","36,033","24,045","32,049","13,542","23,060","51,089","35,386","42,014","52,780","43,989","35,878","85,733","28,920"
2021년09월_계_0~9세,"102,101","8,248",856,"10,320","4,065",244,216,238,432,175,306,359,92,384,"4,305","4,123","3,820","2,220","4,067","1,193","1,664","5,935","3,982","5,496","8,494","6,224","5,109","14,285","5,249"
2021년09월_계_10~19세,"99,903","10,040","1,429","10,333","3,692",444,313,393,777,289,455,576,159,728,"2,434","3,849","3,672","3,913","4,038","1,781","2,169","6,877","6,572","5,338","9,214","4,387","3,599","9,766","2,666"
2021년09월_계_20~29세,"108,368","10,654","1,782","10,651","5,870",794,563,761,"1,003",549,990,"1,045",414,"1,351","2,447","7,250","6,019","3,025","3,987","1,707","3,131","8,125","3,734","6,364","4,262","5,332","5,159","8,686","2,713"
2021년09월_계_30~39세,"150,979","11,873","1,595","15,483","7,305",614,501,790,900,536,"1,053",897,385,"1,200","5,088","8,589","6,441","2,862","5,593","1,469","2,878","9,413","3,907","8,170","8,386","10,674","8,113","18,790","7,474"
2021년09월_계_40~49세,"169,569","16,138","2,721","17,930","7,036",885,680,983,"1,397",802,"1,456","1,291",467,"1,578","4,689","7,814","6,291","5,202","6,066","2,605","3,907","10,118","8,650","8,407","13,384","8,538","6,993","17,934","5,607"
2021년09월_계_50~59세,"120,517","13,000","3,521","11,387","6,686","1,445","1,155","1,453","2,097","1,562","2,281","2,119",888,"2,438","2,972","6,052","4,939","3,435","4,474","2,318","4,121","6,674","4,920","4,385","5,794","4,500","4,015","9,158","2,728"
2021년09월_계_60~69세,"76,916","8,743","2,993","7,026","5,127","1,396","1,251","1,301","2,247","1,809","2,068","2,180",910,"2,161","1,441","3,749","2,946","1,844","2,699","1,448","3,162","2,525","2,158","2,186","2,177","2,747","1,912","4,971","1,739"
2021년09월_계_70~79세,"32,812","3,866","1,607","2,995","2,128",710,627,697,"1,220",863,859,"1,099",410,"1,020",283,"1,542","1,316","1,030",742,716,"1,358",972,"1,018","1,168",735,"1,095",677,"1,546",513
2021년09월_계_80~89세,"15,454","1,629",880,"1,489",979,398,402,371,756,552,526,679,266,605,148,678,516,459,336,271,586,401,407,443,282,421,256,514,204
2021년09월_계_90~99세,"2,180",223,119,179,175,48,83,57,137,86,82,65,33,90,24,84,72,54,47,34,77,47,37,56,51,69,44,80,27
2021년09월_계_100세 이상,80,13,3,8,6,0,1,4,7,2,3,1,1,8,1,2,1,1,0,0,7,2,1,1,1,2,1,3,0
2021년09월_남_총인구수,"456,841","42,884","9,571","47,130","23,545","3,693","3,304","4,236","5,946","3,989","6,092","5,976","2,487","6,715","11,938","23,714","18,556","11,705","16,203","6,927","12,200","26,356","17,426","21,679","26,254","22,116","18,597","43,033","14,569"
2021년09월_남_연령구간인구수,"456,841","42,884","9,571","47,130","23,545","3,693","3,304","4,236","5,946","3,989","6,092","5,976","2,487","6,715","11,938","23,714","18,556","11,705","16,203","6,927","12,200","26,356","17,426","21,679","26,254","22,116","18,597","43,033","14,569"
2021년09월_남_0~9세,"52,147","4,106",466,"5,330","2,110",130,125,136,221,84,158,195,60,197,"2,113","2,095","2,004","1,124","2,063",614,861,"2,995","2,041","2,824","4,304","3,189","2,627","7,299","2,676"
2021년09월_남_10~19세,"50,982","5,022",744,"5,302","1,901",242,166,218,414,155,236,315,83,398,"1,189","1,986","1,880","1,950","2,094",911,"1,138","3,505","3,288","2,779","4,655","2,236","1,853","4,978","1,344"
2021년09월_남_20~29세,"58,912","5,622","1,060","5,909","3,463",452,341,504,593,354,675,654,291,838,"1,260","4,287","3,357","1,559","2,096",943,"1,789","4,390","1,903","3,506","2,142","2,588","2,616","4,391","1,329"
2021년09월_남_30~39세,"79,007","6,086",974,"8,701","4,281",353,313,547,555,321,705,590,269,814,"2,496","4,903","3,404","1,407","2,783",760,"1,626","4,856","1,761","4,308","3,628","5,432","4,260","9,151","3,723"
2021년09월_남_40~49세,"90,193","8,352","1,618","10,047","3,999",505,437,675,812,502,974,847,331,"1,004","2,460","4,394","3,223","2,488","3,131","1,328","2,159","5,033","4,192","4,302","6,804","4,455","3,746","9,369","3,006"
2021년09월_남_50~59세,"64,801","6,891","2,016","6,349","3,673",803,691,909,"1,199",905,"1,491","1,336",585,"1,502","1,458","3,213","2,476","1,767","2,165","1,223","2,150","3,654","2,609","2,309","3,183","2,307","2,128","4,494","1,315"
