,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년12월_계_총인구수,"1,452,251","222,222","230,341","473,365","351,277","175,046"
2021년12월_계_연령구간인구수,"1,452,251","222,222","230,341","473,365","351,277","175,046"
2021년12월_계_0~9세,"107,548","14,156","13,883","35,861","33,129","10,519"
2021년12월_계_10~19세,"142,175","19,474","20,948","48,149","37,818","15,786"
2021년12월_계_20~29세,"209,397","30,090","30,051","72,847","52,312","24,097"
2021년12월_계_30~39세,"189,669","25,243","24,970","64,713","54,802","19,941"
2021년12월_계_40~49세,"231,018","33,446","35,204","76,261","59,950","26,157"
2021년12월_계_50~59세,"240,017","36,280","38,869","76,797","54,745","33,326"
2021년12월_계_60~69세,"190,514","34,291","34,798","58,390","36,673","26,362"
2021년12월_계_70~79세,"92,390","19,154","20,521","26,485","13,867","12,363"
2021년12월_계_80~89세,"43,199","8,880","9,735","12,047","6,816","5,721"
2021년12월_계_90~99세,"6,155","1,174","1,326","1,766","1,141",748
2021년12월_계_100세 이상,169,34,36,49,24,26
2021년12월_남_총인구수,"724,626","111,953","113,507","232,714","177,463","88,989"
2021년12월_남_연령구간인구수,"724,626","111,953","113,507","232,714","177,463","88,989"
2021년12월_남_0~9세,"55,295","7,348","7,099","18,470","17,061","5,317"
2021년12월_남_10~19세,"73,527","10,087","10,816","24,805","19,578","8,241"
2021년12월_남_20~29세,"109,664","15,862","15,297","37,149","28,055","13,301"
2021년12월_남_30~39세,"99,378","13,646","12,898","33,146","28,748","10,940"
2021년12월_남_40~49세,"115,072","17,511","17,799","36,910","29,452","13,400"
2021년12월_남_50~59세,"119,967","18,762","19,703","37,251","27,333","16,918"
2021년12월_남_60~69세,"92,406","16,588","16,646","27,998","18,166","13,008"
2021년12월_남_70~79세,"42,139","8,640","9,189","12,130","6,509","5,671"
2021년12월_남_80~89세,"15,747","3,215","3,740","4,451","2,308","2,033"
2021년12월_남_90~99세,"1,405",288,312,397,250,158
2021년12월_남_100세 이상,26,6,8,7,3,2
2021년12월_여_총인구수,"727,625","110,269","116,834","240,651","173,814","86,057"
2021년12월_여_연령구간인구수,"727,625","110,269","116,834","240,651","173,814","86,057"
2021년12월_여_0~9세,"52,253","6,808","6,784","17,391","16,068","5,202"
2021년12월_여_10~19세,"68,648","9,387","10,132","23,344","18,240","7,545"
2021년12월_여_20~29세,"99,733","14,228","14,754","35,698","24,257","10,796"
2021년12월_여_30~39세,"90,291","11,597","12,072","31,567","26,054","9,001"
2021년12월_여_40~49세,"115,946","15,935","17,405","39,351","30,498","12,757"
2021년12월_여_50~59세,"120,050","17,518","19,166","39,546","27,412","16,408"
2021년12월_여_60~69세,"98,108","17,703","18,152","30,392","18,507","13,354"
2021년12월_여_70~79세,"50,251","10,514","11,332","14,355","7,358","6,692"
2021년12월_여_80~89세,"27,452","5,665","5,995","7,596","4,508","3,688"
2021년12월_여_90~99세,"4,750",886,"1,014","1,369",891,590
2021년12월_여_100세 이상,143,28,28,42,21,24
