,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년12월_계_총인구수,"473,970","26,681","44,389","28,880","9,776","5,512","8,201","62,080","39,397","22,731","62,045","41,133","41,839","31,822","49,484"
2020년12월_계_연령구간인구수,"473,970","26,681","44,389","28,880","9,776","5,512","8,201","62,080","39,397","22,731","62,045","41,133","41,839","31,822","49,484"
2020년12월_계_0~9세,"55,253","1,686","5,962","2,335",325,151,268,"6,031","5,074","1,584","6,868","5,793","6,450","5,097","7,629"
2020년12월_계_10~19세,"47,723","2,300","4,180","2,469",545,251,453,"6,464","5,525","2,084","6,952","5,062","3,607","2,668","5,163"
2020년12월_계_20~29세,"52,038","3,221","4,231","2,976",910,518,809,"7,944","3,943","3,208","7,677","3,869","5,289","2,831","4,612"
2020년12월_계_30~39세,"76,392","2,935","8,167","3,866",856,401,658,"8,455","5,752","2,856","9,299","6,777","9,945","7,132","9,293"
2020년12월_계_40~49세,"88,432","4,023","8,231","4,819","1,265",594,882,"10,783","8,452","3,785","11,689","9,047","7,964","6,154","10,744"
2020년12월_계_50~59세,"66,885","5,161","5,746","4,997","2,176","1,189","1,708","10,527","4,991","4,186","8,910","4,780","3,882","3,055","5,577"
2020년12월_계_60~69세,"49,431","4,157","4,791","4,221","2,032","1,269","1,744","6,670","3,168","2,800","5,914","3,275","2,849","2,721","3,820"
2020년12월_계_70~79세,"25,784","2,015","2,134","2,141","1,077",705,"1,038","3,466","1,756","1,486","3,283","1,804","1,356","1,606","1,917"
2020년12월_계_80~89세,"10,443","1,033",796,893,510,354,562,"1,530",650,647,"1,291",639,430,475,633
2020년12월_계_90~99세,"1,516",146,137,155,78,75,73,199,83,88,154,86,65,81,96
2020년12월_계_100세 이상,73,4,14,8,2,5,6,11,3,7,8,1,2,2,0
2020년12월_남_총인구수,"237,507","14,230","22,166","15,241","5,704","3,027","4,467","30,624","19,227","11,373","30,393","20,254","20,847","15,758","24,196"
2020년12월_남_연령구간인구수,"237,507","14,230","22,166","15,241","5,704","3,027","4,467","30,624","19,227","11,373","30,393","20,254","20,847","15,758","24,196"
2020년12월_남_0~9세,"28,161",868,"3,096","1,168",177,72,145,"3,006","2,540",838,"3,493","2,980","3,283","2,596","3,899"
2020년12월_남_10~19세,"24,310","1,235","2,157","1,278",297,125,254,"3,314","2,790","1,093","3,556","2,491","1,767","1,325","2,628"
2020년12월_남_20~29세,"26,896","1,911","2,128","1,625",564,312,486,"4,240","1,987","1,704","3,762","2,009","2,553","1,376","2,239"
2020년12월_남_30~39세,"37,568","1,663","3,930","2,165",544,234,392,"4,087","2,663","1,457","4,460","3,188","5,007","3,558","4,220"
2020년12월_남_40~49세,"46,006","2,240","4,278","2,721",812,371,549,"5,284","4,167","1,934","5,776","4,630","4,317","3,317","5,610"
2020년12월_남_50~59세,"34,160","2,810","2,848","2,742","1,379",688,964,"5,223","2,536","2,081","4,429","2,432","1,850","1,458","2,720"
2020년12월_남_60~69세,"24,064","2,195","2,315","2,163","1,170",693,935,"3,325","1,453","1,350","2,818","1,482","1,272","1,177","1,716"
2020년12월_남_70~79세,"12,023",903,"1,082","1,012",537,385,496,"1,521",816,660,"1,552",795,621,756,887
2020년12월_남_80~89세,"3,940",362,299,332,203,132,222,568,254,240,508,232,164,172,252
2020년12월_남_90~99세,360,41,31,32,21,14,22,53,19,16,37,15,12,22,25
2020년12월_남_100세 이상,19,2,2,3,0,1,2,3,2,0,2,0,1,1,0
2020년12월_여_총인구수,"236,463","12,451","22,223","13,639","4,072","2,485","3,734","31,456","20,170","11,358","31,652","20,879","20,992","16,064","25,288"
2020년12월_여_연령구간인구수,"236,463","12,451","22,223","13,639","4,072","2,485","3,734","31,456","20,170","11,358","31,652","20,879","20,992","16,064","25,288"
2020년12월_여_0~9세,"27,092",818,"2,866","1,167",148,79,123,"3,025","2,534",746,"3,375","2,813","3,167","2,501","3,730"
2020년12월_여_10~19세,"23,413","1,065","2,023","1,191",248,126,199,"3,150","2,735",991,"3,396","2,571","1,840","1,343","2,535"
2020년12월_여_20~29세,"25,142","1,310","2,103","1,351",346,206,323,"3,704","1,956","1,504","3,915","1,860","2,736","1,455","2,373"
2020년12월_여_30~39세,"38,824","1,272","4,237","1,701",312,167,266,"4,368","3,089","1,399","4,839","3,589","4,938","3,574","5,073"
2020년12월_여_40~49세,"42,426","1,783","3,953","2,098",453,223,333,"5,499","4,285","1,851","5,913","4,417","3,647","2,837","5,134"
2020년12월_여_50~59세,"32,725","2,351","2,898","2,255",797,501,744,"5,304","2,455","2,105","4,481","2,348","2,032","1,597","2,857"
2020년12월_여_60~69세,"25,367","1,962","2,476","2,058",862,576,809,"3,345","1,715","1,450","3,096","1,793","1,577","1,544","2,104"
2020년12월_여_70~79세,"13,761","1,112","1,052","1,129",540,320,542,"1,945",940,826,"1,731","1,009",735,850,"1,030"
2020년12월_여_80~89세,"6,503",671,497,561,307,222,340,962,396,407,783,407,266,303,381
2020년12월_여_90~99세,"1,156",105,106,123,57,61,51,146,64,72,117,71,53,59,71
2020년12월_여_100세 이상,54,2,12,5,2,4,4,8,1,7,6,1,1,1,0
