카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년03월_계_총인구수,"720,282","61,734","92,897","104,062","14,813","24,044","53,525","29,517","19,740","8,973","4,181","56,075","36,571","18,744","4,509","80,129","36,061","74,707"
2021년03월_계_연령구간인구수,"720,282","61,734","92,897","104,062","14,813","24,044","53,525","29,517","19,740","8,973","4,181","56,075","36,571","18,744","4,509","80,129","36,061","74,707"
2021년03월_계_0~9세,"64,864","3,966","8,138","8,651","1,624",993,"3,899","1,713","1,200",334,196,"6,271","3,222",699,158,"10,533","4,766","8,501"
2021년03월_계_10~19세,"77,688","7,313","11,381","11,473","1,321","1,876","6,577","2,554","1,925",529,244,"7,113","4,935","1,180",187,"8,423","3,765","6,892"
2021년03월_계_20~29세,"85,568","7,757","10,628","12,252","1,602","3,263","6,729","4,055","2,510",812,408,"6,001","4,560","2,452",519,"9,204","3,799","9,017"
2021년03월_계_30~39세,"89,817","5,928","10,141","12,286","2,182","2,305","5,363","3,313","1,803",742,423,"7,345","4,276","2,081",482,"13,396","5,744","12,007"
2021년03월_계_40~49세,"131,124","10,897","17,299","19,687","2,540","3,266","10,131","4,238","3,251","1,037",505,"11,728","7,346","2,241",468,"15,730","7,304","13,456"
2021년03월_계_50~59세,"118,456","11,122","15,215","17,631","2,329","5,131","9,672","5,676","3,628","1,779",780,"8,140","5,868","3,839",892,"10,542","5,157","11,055"
2021년03월_계_60~69세,"85,661","7,746","11,217","12,180","1,925","4,132","5,873","4,625","2,787","1,957",876,"5,050","3,490","3,618","1,071","7,188","3,468","8,458"
2021년03월_계_70~79세,"45,120","4,742","5,965","6,831",847,"1,971","3,516","2,234","1,729","1,129",482,"3,065","1,900","1,633",480,"3,503","1,414","3,679"
2021년03월_계_80~89세,"19,150","1,968","2,584","2,687",384,968,"1,565",989,782,517,226,"1,163",864,870,226,"1,401",553,"1,403"
2021년03월_계_90~99세,"2,702",283,317,371,58,136,196,111,105,130,38,191,108,126,22,201,88,221
2021년03월_계_100세 이상,132,12,12,13,1,3,4,9,20,7,3,8,2,5,4,8,3,18
