카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년06월_계_총인구수,"35,952","10,514","4,430","4,712","1,815","1,581","3,233","2,533","3,495","1,652","1,987"
2021년06월_계_연령구간인구수,"35,952","10,514","4,430","4,712","1,815","1,581","3,233","2,533","3,495","1,652","1,987"
2021년06월_계_0~9세,"1,700",621,271,278,64,40,145,97,95,43,46
2021년06월_계_10~19세,"2,457",972,234,361,123,99,180,168,149,87,84
2021년06월_계_20~29세,"2,700",967,321,396,114,117,207,176,175,109,118
2021년06월_계_30~39세,"2,907",900,675,430,95,88,266,138,163,58,94
2021년06월_계_40~49세,"4,744","1,611",683,736,202,156,427,287,290,168,184
2021년06월_계_50~59세,"6,767","1,875",728,898,353,318,626,486,737,373,373
2021년06월_계_60~69세,"7,694","1,838",831,943,439,364,811,564,912,433,559
2021년06월_계_70~79세,"4,406","1,086",499,478,262,256,372,346,550,240,317
2021년06월_계_80~89세,"2,243",542,171,174,151,125,180,228,369,120,183
2021년06월_계_90~99세,316,98,17,13,12,14,18,42,53,21,28
2021년06월_계_100세 이상,18,4,0,5,0,4,1,1,2,0,1
2021년06월_남_총인구수,"18,715","5,391","2,323","2,483",933,797,"1,724","1,285","1,846",889,"1,044"
2021년06월_남_연령구간인구수,"18,715","5,391","2,323","2,483",933,797,"1,724","1,285","1,846",889,"1,044"
2021년06월_남_0~9세,876,328,139,143,33,16,74,50,43,23,27
2021년06월_남_10~19세,"1,270",512,104,185,58,56,91,84,79,50,51
2021년06월_남_20~29세,"1,567",570,173,236,71,68,120,111,95,67,56
2021년06월_남_30~39세,"1,614",461,394,223,52,58,161,78,104,29,54
2021년06월_남_40~49세,"2,752",848,424,416,121,97,265,160,189,103,129
2021년06월_남_50~59세,"3,755","1,014",407,507,200,180,336,270,413,227,201
2021년06월_남_60~69세,"4,065",978,394,484,241,183,445,287,504,241,308
2021년06월_남_70~79세,"1,974",481,225,217,100,98,169,158,265,108,153
2021년06월_남_80~89세,777,181,60,68,54,35,60,79,141,39,60
2021년06월_남_90~99세,57,17,3,0,3,3,3,8,13,2,5
2021년06월_남_100세 이상,8,1,0,4,0,3,0,0,0,0,0
2021년06월_여_총인구수,"17,237","5,123","2,107","2,229",882,784,"1,509","1,248","1,649",763,943
2021년06월_여_연령구간인구수,"17,237","5,123","2,107","2,229",882,784,"1,509","1,248","1,649",763,943
2021년06월_여_0~9세,824,293,132,135,31,24,71,47,52,20,19
2021년06월_여_10~19세,"1,187",460,130,176,65,43,89,84,70,37,33
2021년06월_여_20~29세,"1,133",397,148,160,43,49,87,65,80,42,62
2021년06월_여_30~39세,"1,293",439,281,207,43,30,105,60,59,29,40
2021년06월_여_40~49세,"1,992",763,259,320,81,59,162,127,101,65,55
2021년06월_여_50~59세,"3,012",861,321,391,153,138,290,216,324,146,172
2021년06월_여_60~69세,"3,629",860,437,459,198,181,366,277,408,192,251
2021년06월_여_70~79세,"2,432",605,274,261,162,158,203,188,285,132,164
2021년06월_여_80~89세,"1,466",361,111,106,97,90,120,149,228,81,123
2021년06월_여_90~99세,259,81,14,13,9,11,15,34,40,19,23
2021년06월_여_100세 이상,10,3,0,1,0,1,1,1,2,0,1
