카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면
2020년02월_계_총인구수,"222,560","20,455","28,507","28,770","71,217","19,310","8,479","7,802","4,189","3,128","7,928","20,958","1,817"
2020년02월_계_연령구간인구수,"222,560","20,455","28,507","28,770","71,217","19,310","8,479","7,802","4,189","3,128","7,928","20,958","1,817"
2020년02월_계_0~9세,"18,783","1,593","2,515","2,786","7,148","1,848",538,305,132,65,293,"1,517",43
2020년02월_계_10~19세,"23,143","1,671","2,903","3,349","10,237","1,620",538,434,205,122,429,"1,566",69
2020년02월_계_20~29세,"26,478","2,566","3,588","3,303","9,130","2,316",776,867,305,179,740,"2,585",123
2020년02월_계_30~39세,"26,852","2,925","3,338","3,787","8,140","2,935",940,670,297,210,605,"2,897",108
2020년02월_계_40~49세,"38,130","3,764","4,676","5,430","14,231","3,028","1,170",839,463,271,948,"3,130",180
2020년02월_계_50~59세,"41,403","3,957","5,263","5,049","12,615","3,443","1,664","1,734",907,569,"1,735","4,097",370
2020년02월_계_60~69세,"27,573","2,405","3,602","2,934","6,138","2,460","1,537","1,565","1,007",779,"1,688","2,998",460
2020년02월_계_70~79세,"13,124","1,049","1,688","1,389","2,447","1,092",875,894,517,536,926,"1,437",274
2020년02월_계_80~89세,"6,112",454,811,662,994,483,387,427,295,332,478,627,162
2020년02월_계_90~99세,929,61,117,80,135,82,52,67,58,65,84,101,27
2020년02월_계_100세 이상,33,10,6,1,2,3,2,0,3,0,2,3,1
2020년02월_남_총인구수,"114,844","11,642","14,290","14,974","35,883","9,949","4,560","4,052","2,176","1,552","4,030","10,777",959
2020년02월_남_연령구간인구수,"114,844","11,642","14,290","14,974","35,883","9,949","4,560","4,052","2,176","1,552","4,030","10,777",959
2020년02월_남_0~9세,"9,625",826,"1,252","1,419","3,691",931,270,156,67,34,164,797,18
2020년02월_남_10~19세,"12,155",876,"1,497","1,757","5,397",808,297,243,115,60,243,819,43
2020년02월_남_20~29세,"14,974","1,601","2,024","1,825","5,034","1,243",465,519,180,114,429,"1,467",73
2020년02월_남_30~39세,"14,184","1,810","1,708","2,000","3,894","1,614",517,377,166,117,340,"1,580",61
2020년02월_남_40~49세,"19,535","2,306","2,317","2,851","6,626","1,562",735,466,271,163,493,"1,634",111
2020년02월_남_50~59세,"21,983","2,339","2,643","2,726","6,614","1,817",947,924,508,311,892,"2,045",217
2020년02월_남_60~69세,"14,230","1,261","1,794","1,569","3,186","1,292",757,803,523,410,857,"1,527",251
2020년02월_남_70~79세,"6,069",467,784,626,"1,116",506,427,417,246,237,447,669,127
2020년02월_남_80~89세,"1,927",143,256,187,304,163,135,130,88,97,151,217,56
2020년02월_남_90~99세,158,10,15,14,21,13,9,17,12,9,14,22,2
2020년02월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0,0,0
2020년02월_여_총인구수,"107,716","8,813","14,217","13,796","35,334","9,361","3,919","3,750","2,013","1,576","3,898","10,181",858
2020년02월_여_연령구간인구수,"107,716","8,813","14,217","13,796","35,334","9,361","3,919","3,750","2,013","1,576","3,898","10,181",858
2020년02월_여_0~9세,"9,158",767,"1,263","1,367","3,457",917,268,149,65,31,129,720,25
2020년02월_여_10~19세,"10,988",795,"1,406","1,592","4,840",812,241,191,90,62,186,747,26
2020년02월_여_20~29세,"11,504",965,"1,564","1,478","4,096","1,073",311,348,125,65,311,"1,118",50
2020년02월_여_30~39세,"12,668","1,115","1,630","1,787","4,246","1,321",423,293,131,93,265,"1,317",47
2020년02월_여_40~49세,"18,595","1,458","2,359","2,579","7,605","1,466",435,373,192,108,455,"1,496",69
2020년02월_여_50~59세,"19,420","1,618","2,620","2,323","6,001","1,626",717,810,399,258,843,"2,052",153
2020년02월_여_60~69세,"13,343","1,144","1,808","1,365","2,952","1,168",780,762,484,369,831,"1,471",209
2020년02월_여_70~79세,"7,055",582,904,763,"1,331",586,448,477,271,299,479,768,147
2020년02월_여_80~89세,"4,185",311,555,475,690,320,252,297,207,235,327,410,106
2020년02월_여_90~99세,771,51,102,66,114,69,43,50,46,56,70,79,25
2020년02월_여_100세 이상,29,7,6,1,2,3,1,0,3,0,2,3,1
