카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년09월_계_총인구수,"45,132","10,084","3,116","3,534","1,961","1,889","2,307","3,501","6,103","1,776","1,773","1,561","4,365","3,162"
2020년09월_계_연령구간인구수,"45,132","10,084","3,116","3,534","1,961","1,889","2,307","3,501","6,103","1,776","1,773","1,561","4,365","3,162"
2020년09월_계_0~9세,"1,943",594,95,105,55,55,82,102,376,26,70,78,175,130
2020년09월_계_10~19세,"2,912",905,220,186,87,68,119,130,471,71,92,163,230,170
2020년09월_계_20~29세,"3,526","1,035",231,210,136,119,158,292,481,97,91,83,276,317
2020년09월_계_30~39세,"2,839",855,128,154,94,100,124,188,453,71,108,83,240,241
2020년09월_계_40~49세,"5,089","1,391",375,353,187,162,228,341,819,143,157,138,403,392
2020년09월_계_50~59세,"8,553","1,850",714,732,358,366,398,678,"1,090",308,300,266,854,639
2020년09월_계_60~69세,"8,767","1,627",597,748,425,413,493,745,"1,069",384,378,387,951,550
2020년09월_계_70~79세,"6,399","1,137",464,590,308,298,360,575,740,343,301,217,643,423
2020년09월_계_80~89세,"4,361",603,248,383,274,264,287,385,512,283,237,122,500,263
2020년09월_계_90~99세,720,85,42,70,37,43,57,63,89,47,37,23,90,37
2020년09월_계_100세 이상,23,2,2,3,0,1,1,2,3,3,2,1,3,0
2020년09월_남_총인구수,"22,512","4,974","1,582","1,746",955,920,"1,139","1,786","3,024",865,861,823,"2,178","1,659"
2020년09월_남_연령구간인구수,"22,512","4,974","1,582","1,746",955,920,"1,139","1,786","3,024",865,861,823,"2,178","1,659"
2020년09월_남_0~9세,"1,020",308,48,64,33,25,48,54,177,13,28,51,96,75
2020년09월_남_10~19세,"1,547",451,117,107,55,37,56,65,249,28,54,110,124,94
2020년09월_남_20~29세,"2,108",588,130,134,80,70,103,194,288,65,49,48,157,202
2020년09월_남_30~39세,"1,572",447,71,82,49,55,77,126,237,44,61,44,129,150
2020년09월_남_40~49세,"2,849",737,197,197,105,100,130,202,454,79,92,79,240,237
2020년09월_남_50~59세,"4,664",963,407,396,194,189,226,392,583,174,171,140,467,362
2020년09월_남_60~69세,"4,533",806,319,389,222,217,255,363,543,202,209,208,511,289
2020년09월_남_70~79세,"2,744",477,193,245,123,137,152,251,323,161,120,107,284,171
2020년09월_남_80~89세,"1,323",181,91,125,80,76,83,129,157,84,66,32,151,68
2020년09월_남_90~99세,148,16,8,7,14,13,9,10,13,14,10,4,19,11
2020년09월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년09월_여_총인구수,"22,620","5,110","1,534","1,788","1,006",969,"1,168","1,715","3,079",911,912,738,"2,187","1,503"
2020년09월_여_연령구간인구수,"22,620","5,110","1,534","1,788","1,006",969,"1,168","1,715","3,079",911,912,738,"2,187","1,503"
2020년09월_여_0~9세,923,286,47,41,22,30,34,48,199,13,42,27,79,55
2020년09월_여_10~19세,"1,365",454,103,79,32,31,63,65,222,43,38,53,106,76
2020년09월_여_20~29세,"1,418",447,101,76,56,49,55,98,193,32,42,35,119,115
2020년09월_여_30~39세,"1,267",408,57,72,45,45,47,62,216,27,47,39,111,91
2020년09월_여_40~49세,"2,240",654,178,156,82,62,98,139,365,64,65,59,163,155
2020년09월_여_50~59세,"3,889",887,307,336,164,177,172,286,507,134,129,126,387,277
2020년09월_여_60~69세,"4,234",821,278,359,203,196,238,382,526,182,169,179,440,261
2020년09월_여_70~79세,"3,655",660,271,345,185,161,208,324,417,182,181,110,359,252
2020년09월_여_80~89세,"3,038",422,157,258,194,188,204,256,355,199,171,90,349,195
2020년09월_여_90~99세,572,69,34,63,23,30,48,53,76,33,27,19,71,26
2020년09월_여_100세 이상,19,2,1,3,0,0,1,2,3,2,1,1,3,0
