카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년02월_계_총인구수,"214,579","7,305","6,967","9,171","13,894","29,233","5,424","7,405","8,825","6,528","12,439","6,545","19,502","8,318","46,103","20,589","6,331"
2021년02월_계_연령구간인구수,"214,579","7,305","6,967","9,171","13,894","29,233","5,424","7,405","8,825","6,528","12,439","6,545","19,502","8,318","46,103","20,589","6,331"
2021년02월_계_0~9세,"17,257",487,532,478,853,"2,995",285,366,364,246,990,470,"1,363",491,"3,837","3,088",412
2021년02월_계_10~19세,"22,709",748,671,765,"1,325","4,936",281,406,579,355,"1,130",454,"1,996",579,"5,987","2,101",396
2021년02월_계_20~29세,"27,765",821,872,"1,246","1,984","3,298",667,850,"1,193",969,"1,498",976,"2,826","1,132","6,450","2,433",550
2021년02월_계_30~39세,"25,387",702,870,900,"1,585","2,849",652,802,"1,050",734,"1,468",930,"2,205",926,"5,290","3,835",589
2021년02월_계_40~49세,"34,178","1,078","1,111","1,237","2,144","5,648",747,990,"1,207",834,"1,930",911,"3,030","1,117","7,820","3,561",813
2021년02월_계_50~59세,"32,950","1,150","1,002","1,525","2,181","4,293",908,"1,226","1,511","1,178","1,884",952,"3,271","1,432","6,873","2,584",980
2021년02월_계_60~69세,"28,241","1,024",934,"1,436","1,956","2,930",851,"1,187","1,546","1,223","1,859",913,"2,651","1,398","5,322","1,846","1,165"
2021년02월_계_70~79세,"17,514",880,667,"1,050","1,167","1,458",706,"1,078",965,698,"1,124",648,"1,537",891,"3,078",745,822
2021년02월_계_80~89세,"7,347",348,270,452,593,696,278,421,364,253,475,249,545,308,"1,245",322,528
2021년02월_계_90~99세,"1,137",59,31,73,103,126,35,73,44,35,79,33,73,39,193,71,70
2021년02월_계_100세 이상,94,8,7,9,3,4,14,6,2,3,2,9,5,5,8,3,6
2021년02월_남_총인구수,"103,263","3,329","3,321","4,317","6,567","13,725","2,782","3,793","4,529","3,280","5,895","3,216","9,454","4,142","21,759","10,021","3,133"
2021년02월_남_연령구간인구수,"103,263","3,329","3,321","4,317","6,567","13,725","2,782","3,793","4,529","3,280","5,895","3,216","9,454","4,142","21,759","10,021","3,133"
2021년02월_남_0~9세,"8,836",249,271,236,454,"1,492",138,187,189,127,519,252,703,244,"1,925","1,617",233
2021년02월_남_10~19세,"11,349",368,328,395,661,"2,504",158,212,311,185,546,219,"1,025",298,"2,880","1,072",187
2021년02월_남_20~29세,"14,308",400,455,626,"1,013","1,711",351,489,651,525,775,446,"1,443",613,"3,273","1,228",309
2021년02월_남_30~39세,"12,601",338,423,475,806,"1,253",358,443,596,414,724,492,"1,111",504,"2,489","1,850",325
2021년02월_남_40~49세,"16,843",527,554,609,"1,035","2,557",422,598,695,485,949,495,"1,486",574,"3,639","1,763",455
2021년02월_남_50~59세,"15,593",508,484,701,988,"1,985",503,650,759,560,867,472,"1,535",673,"3,189","1,210",509
2021년02월_남_60~69세,"12,971",426,401,632,890,"1,313",406,569,736,576,830,424,"1,238",674,"2,428",833,595
2021년02월_남_70~79세,"7,823",367,293,465,494,636,320,475,447,313,474,299,698,423,"1,420",346,353
2021년02월_남_80~89세,"2,674",130,100,162,200,246,115,153,132,87,189,107,207,127,468,93,158
2021년02월_남_90~99세,252,15,10,16,25,27,8,17,13,7,22,8,7,12,48,9,8
2021년02월_남_100세 이상,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1
2021년02월_여_총인구수,"111,316","3,976","3,646","4,854","7,327","15,508","2,642","3,612","4,296","3,248","6,544","3,329","10,048","4,176","24,344","10,568","3,198"
2021년02월_여_연령구간인구수,"111,316","3,976","3,646","4,854","7,327","15,508","2,642","3,612","4,296","3,248","6,544","3,329","10,048","4,176","24,344","10,568","3,198"
2021년02월_여_0~9세,"8,421",238,261,242,399,"1,503",147,179,175,119,471,218,660,247,"1,912","1,471",179
2021년02월_여_10~19세,"11,360",380,343,370,664,"2,432",123,194,268,170,584,235,971,281,"3,107","1,029",209
2021년02월_여_20~29세,"13,457",421,417,620,971,"1,587",316,361,542,444,723,530,"1,383",519,"3,177","1,205",241
2021년02월_여_30~39세,"12,786",364,447,425,779,"1,596",294,359,454,320,744,438,"1,094",422,"2,801","1,985",264
2021년02월_여_40~49세,"17,335",551,557,628,"1,109","3,091",325,392,512,349,981,416,"1,544",543,"4,181","1,798",358
2021년02월_여_50~59세,"17,357",642,518,824,"1,193","2,308",405,576,752,618,"1,017",480,"1,736",759,"3,684","1,374",471
2021년02월_여_60~69세,"15,270",598,533,804,"1,066","1,617",445,618,810,647,"1,029",489,"1,413",724,"2,894","1,013",570
2021년02월_여_70~79세,"9,691",513,374,585,673,822,386,603,518,385,650,349,839,468,"1,658",399,469
2021년02월_여_80~89세,"4,673",218,170,290,393,450,163,268,232,166,286,142,338,181,777,229,370
2021년02월_여_90~99세,885,44,21,57,78,99,27,56,31,28,57,25,66,27,145,62,62
2021년02월_여_100세 이상,81,7,5,9,2,3,11,6,2,2,2,7,4,5,8,3,5
