,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년08월_계_총인구수,"45,257","10,102","3,121","3,546","1,963","1,894","2,310","3,526","6,128","1,774","1,772","1,568","4,380","3,173"
2020년08월_계_연령구간인구수,"45,257","10,102","3,121","3,546","1,963","1,894","2,310","3,526","6,128","1,774","1,772","1,568","4,380","3,173"
2020년08월_계_0~9세,"1,969",610,98,106,55,55,83,100,378,25,70,83,175,131
2020년08월_계_10~19세,"2,914",899,221,185,88,70,116,135,470,71,92,164,233,170
2020년08월_계_20~29세,"3,583","1,039",235,215,134,125,164,298,488,99,90,86,281,329
2020년08월_계_30~39세,"2,866",861,132,155,95,101,123,187,462,71,109,84,244,242
2020년08월_계_40~49세,"5,150","1,405",380,361,193,167,232,346,821,144,161,135,410,395
2020년08월_계_50~59세,"8,563","1,843",713,734,356,368,397,687,"1,090",313,301,273,856,632
2020년08월_계_60~69세,"8,713","1,619",591,740,423,404,494,744,"1,075",374,372,382,944,551
2020년08월_계_70~79세,"6,417","1,139",467,592,311,299,361,580,735,345,302,213,648,425
2020년08월_계_80~89세,"4,351",601,240,384,272,263,283,384,519,282,239,124,499,261
2020년08월_계_90~99세,707,84,42,71,36,41,55,63,87,47,34,23,87,37
2020년08월_계_100세 이상,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020년08월_남_총인구수,"22,558","4,979","1,584","1,752",956,920,"1,141","1,800","3,036",858,855,821,"2,189","1,667"
2020년08월_남_연령구간인구수,"22,558","4,979","1,584","1,752",956,920,"1,141","1,800","3,036",858,855,821,"2,189","1,667"
2020년08월_남_0~9세,"1,039",315,50,64,34,25,49,53,180,12,28,55,97,77
2020년08월_남_10~19세,"1,546",447,119,107,55,37,55,67,246,28,53,109,127,96
2020년08월_남_20~29세,"2,138",590,130,137,78,74,106,198,294,67,47,49,159,209
2020년08월_남_30~39세,"1,590",456,71,83,49,55,77,126,243,43,61,45,129,152
2020년08월_남_40~49세,"2,875",741,201,201,109,102,131,205,454,80,93,78,244,236
2020년08월_남_50~59세,"4,659",953,409,393,193,192,225,397,579,173,172,143,472,358
2020년08월_남_60~69세,"4,496",807,312,387,220,209,256,361,547,197,205,200,506,289
2020년08월_남_70~79세,"2,740",472,193,247,124,137,151,254,319,162,120,106,285,170
2020년08월_남_80~89세,"1,326",182,90,126,81,76,82,129,161,81,66,32,151,69
2020년08월_남_90~99세,145,16,8,7,13,12,9,10,13,14,9,4,19,11
2020년08월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년08월_여_총인구수,"22,699","5,123","1,537","1,794","1,007",974,"1,169","1,726","3,092",916,917,747,"2,191","1,506"
2020년08월_여_연령구간인구수,"22,699","5,123","1,537","1,794","1,007",974,"1,169","1,726","3,092",916,917,747,"2,191","1,506"
2020년08월_여_0~9세,930,295,48,42,21,30,34,47,198,13,42,28,78,54
2020년08월_여_10~19세,"1,368",452,102,78,33,33,61,68,224,43,39,55,106,74
2020년08월_여_20~29세,"1,445",449,105,78,56,51,58,100,194,32,43,37,122,120
2020년08월_여_30~39세,"1,276",405,61,72,46,46,46,61,219,28,48,39,115,90
2020년08월_여_40~49세,"2,275",664,179,160,84,65,101,141,367,64,68,57,166,159
2020년08월_여_50~59세,"3,904",890,304,341,163,176,172,290,511,140,129,130,384,274
2020년08월_여_60~69세,"4,217",812,279,353,203,195,238,383,528,177,167,182,438,262
2020년08월_여_70~79세,"3,677",667,274,345,187,162,210,326,416,183,182,107,363,255
2020년08월_여_80~89세,"3,025",419,150,258,191,187,201,255,358,201,173,92,348,192
2020년08월_여_90~99세,562,68,34,64,23,29,46,53,74,33,25,19,68,26
2020년08월_여_100세 이상,20,2,1,3,0,0,2,2,3,2,1,1,3,0
