카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년05월_계_총인구수,"212,929","16,290","3,402","1,605","4,102","4,365","3,604","4,510","6,625","15,436","5,116","3,388","26,116","7,904","10,565","13,297","4,863","8,975","16,840","18,337","28,905","8,684"
2020년05월_계_연령구간인구수,"212,929","16,290","3,402","1,605","4,102","4,365","3,604","4,510","6,625","15,436","5,116","3,388","26,116","7,904","10,565","13,297","4,863","8,975","16,840","18,337","28,905","8,684"
2020년05월_계_0~9세,"13,819",611,127,31,202,105,123,200,396,"1,436",188,103,"1,862",393,460,617,306,787,"1,513","1,000","2,617",742
2020년05월_계_10~19세,"19,592","1,011",190,44,279,208,168,225,498,"1,537",307,175,"3,203",653,790,"1,265",422,942,"1,643","1,664","3,588",780
2020년05월_계_20~29세,"25,082","1,453",304,100,349,423,263,427,504,"1,801",610,308,"3,514",917,"1,311","1,707",585,"1,021","2,635","2,022","3,428","1,400"
2020년05월_계_30~39세,"21,971","1,166",200,74,328,299,241,387,601,"2,130",461,292,"2,654",764,933,"1,292",541,"1,142","2,266","1,711","3,452","1,037"
2020년05월_계_40~49세,"32,537","2,016",400,121,480,453,334,578,977,"2,653",642,426,"4,620","1,079","1,454","1,978",741,"1,486","2,676","2,684","5,329","1,410"
2020년05월_계_50~59세,"36,745","3,058",699,340,736,803,721,844,"1,168","2,388",817,610,"4,454","1,446","2,029","2,537",964,"1,480","2,520","3,212","4,585","1,334"
2020년05월_계_60~69세,"32,465","3,363",676,449,853,935,829,943,"1,284","1,859",991,685,"3,054","1,411","1,908","2,241",698,"1,226","2,030","2,824","3,162","1,044"
2020년05월_계_70~79세,"19,428","2,261",443,285,512,667,567,535,753,"1,059",676,546,"1,771",812,"1,145","1,084",357,554,992,"2,073","1,731",605
2020년05월_계_80~89세,"9,606","1,129",308,140,293,392,315,310,385,495,334,216,852,364,464,490,213,284,489,991,874,268
2020년05월_계_90~99세,"1,580",199,50,21,64,73,40,58,55,74,85,27,125,57,66,86,35,52,74,143,132,64
2020년05월_계_100세 이상,104,23,5,0,6,7,3,3,4,4,5,0,7,8,5,0,1,1,2,13,7,0
2020년05월_남_총인구수,"105,604","7,992","1,741",861,"2,100","2,295","1,838","2,330","3,307","7,558","2,422","1,734","12,793","3,936","5,224","6,545","2,389","4,361","8,350","9,162","14,269","4,397"
2020년05월_남_연령구간인구수,"105,604","7,992","1,741",861,"2,100","2,295","1,838","2,330","3,307","7,558","2,422","1,734","12,793","3,936","5,224","6,545","2,389","4,361","8,350","9,162","14,269","4,397"
2020년05월_남_0~9세,"7,131",324,71,23,112,57,65,105,194,750,91,54,974,196,241,318,128,388,774,481,"1,394",391
2020년05월_남_10~19세,"10,290",539,101,21,153,112,100,124,265,787,144,101,"1,647",342,415,683,225,496,833,903,"1,902",397
2020년05월_남_20~29세,"13,705",828,193,58,218,266,156,256,274,923,310,172,"1,901",494,703,906,349,560,"1,411","1,141","1,841",745
2020년05월_남_30~39세,"11,492",644,113,54,169,194,146,209,319,"1,084",256,167,"1,338",428,520,706,286,556,"1,125",935,"1,708",535
2020년05월_남_40~49세,"16,618","1,120",232,77,275,303,198,324,534,"1,278",329,255,"2,138",539,766,999,351,720,"1,373","1,437","2,638",732
2020년05월_남_50~59세,"18,358","1,545",356,186,391,448,403,443,567,"1,175",425,331,"2,238",739,993,"1,206",468,674,"1,205","1,626","2,255",684
2020년05월_남_60~69세,"15,569","1,580",359,235,431,470,422,486,627,893,444,309,"1,432",665,857,"1,049",344,611,"1,000","1,333","1,523",499
2020년05월_남_70~79세,"8,676",967,213,145,241,287,243,255,370,471,291,246,758,381,518,502,155,242,446,913,721,311
2020년05월_남_80~89세,"3,414",394,95,58,96,132,96,118,139,180,111,96,343,139,194,166,75,101,170,358,262,91
2020년05월_남_90~99세,324,47,7,4,12,22,9,9,15,16,20,3,24,11,17,10,8,13,13,31,21,12
2020년05월_남_100세 이상,27,4,1,0,2,4,0,1,3,1,1,0,0,2,0,0,0,0,0,4,4,0
2020년05월_여_총인구수,"107,325","8,298","1,661",744,"2,002","2,070","1,766","2,180","3,318","7,878","2,694","1,654","13,323","3,968","5,341","6,752","2,474","4,614","8,490","9,175","14,636","4,287"
2020년05월_여_연령구간인구수,"107,325","8,298","1,661",744,"2,002","2,070","1,766","2,180","3,318","7,878","2,694","1,654","13,323","3,968","5,341","6,752","2,474","4,614","8,490","9,175","14,636","4,287"
2020년05월_여_0~9세,"6,688",287,56,8,90,48,58,95,202,686,97,49,888,197,219,299,178,399,739,519,"1,223",351
2020년05월_여_10~19세,"9,302",472,89,23,126,96,68,101,233,750,163,74,"1,556",311,375,582,197,446,810,761,"1,686",383
2020년05월_여_20~29세,"11,377",625,111,42,131,157,107,171,230,878,300,136,"1,613",423,608,801,236,461,"1,224",881,"1,587",655
2020년05월_여_30~39세,"10,479",522,87,20,159,105,95,178,282,"1,046",205,125,"1,316",336,413,586,255,586,"1,141",776,"1,744",502
2020년05월_여_40~49세,"15,919",896,168,44,205,150,136,254,443,"1,375",313,171,"2,482",540,688,979,390,766,"1,303","1,247","2,691",678
2020년05월_여_50~59세,"18,387","1,513",343,154,345,355,318,401,601,"1,213",392,279,"2,216",707,"1,036","1,331",496,806,"1,315","1,586","2,330",650
2020년05월_여_60~69세,"16,896","1,783",317,214,422,465,407,457,657,966,547,376,"1,622",746,"1,051","1,192",354,615,"1,030","1,491","1,639",545
2020년05월_여_70~79세,"10,752","1,294",230,140,271,380,324,280,383,588,385,300,"1,013",431,627,582,202,312,546,"1,160","1,010",294
2020년05월_여_80~89세,"6,192",735,213,82,197,260,219,192,246,315,223,120,509,225,270,324,138,183,319,633,612,177
