카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년05월_계_총인구수,"229,704","5,563","9,425","11,358","8,048","8,487","16,637","16,050","13,022","17,970","27,148","2,348","9,844","29,221","19,875","33,644","1,064"
2021년05월_계_연령구간인구수,"229,704","5,563","9,425","11,358","8,048","8,487","16,637","16,050","13,022","17,970","27,148","2,348","9,844","29,221","19,875","33,644","1,064"
2021년05월_계_0~9세,"12,637",100,313,333,255,300,856,"1,121",513,876,"2,635",69,500,"1,171","1,330","2,196",69
2021년05월_계_10~19세,"17,357",254,458,544,351,431,"1,407","1,331",789,"1,208","2,477",98,678,"2,012","1,951","3,252",116
2021년05월_계_20~29세,"32,664",526,"1,103","1,240",799,885,"2,444","2,255","1,548","5,780","3,367",211,"1,054","4,433","2,535","4,403",81
2021년05월_계_30~39세,"24,565",441,929,"1,085",781,815,"1,750","1,940","1,410","1,974","3,684",205,926,"2,947","2,207","3,392",79
2021년05월_계_40~49세,"31,618",723,"1,120","1,335",956,"1,093","2,373","2,272","1,746","2,187","4,723",240,"1,196","3,593","3,017","4,881",163
2021년05월_계_50~59세,"39,586","1,078","1,865","2,228","1,538","1,420","2,903","2,767","2,256","2,226","3,732",458,"1,751","5,494","3,650","6,059",161
2021년05월_계_60~69세,"39,385","1,291","2,168","2,510","1,952","1,780","2,740","2,512","2,638","1,986","3,437",551,"1,943","5,213","3,013","5,426",225
2021년05월_계_70~79세,"21,642",772,"1,055","1,458","1,033","1,219","1,432","1,170","1,543","1,160","2,044",330,"1,204","2,975","1,463","2,676",108
2021년05월_계_80~89세,"9,031",334,380,563,345,488,645,591,518,507,882,164,527,"1,235",635,"1,167",50
2021년05월_계_90~99세,"1,154",32,33,53,34,55,85,88,58,65,157,21,63,145,72,182,11
2021년05월_계_100세 이상,65,12,1,9,4,1,2,3,3,1,10,1,2,3,2,10,1
2021년05월_남_총인구수,"112,308","2,857","4,701","5,698","4,260","4,062","7,984","7,699","6,258","9,314","13,075","1,259","4,838","14,272","9,447","16,070",514
2021년05월_남_연령구간인구수,"112,308","2,857","4,701","5,698","4,260","4,062","7,984","7,699","6,258","9,314","13,075","1,259","4,838","14,272","9,447","16,070",514
2021년05월_남_0~9세,"6,487",52,159,180,147,159,458,572,259,416,"1,389",41,264,597,681,"1,079",34
2021년05월_남_10~19세,"8,957",143,229,266,184,215,734,676,432,607,"1,362",57,361,"1,021",952,"1,658",60
2021년05월_남_20~29세,"17,683",297,609,694,454,478,"1,259","1,171",824,"3,374","1,737",117,607,"2,407","1,306","2,300",49
2021년05월_남_30~39세,"12,792",278,496,614,452,441,892,"1,006",745,"1,094","1,750",130,478,"1,615","1,096","1,668",37
2021년05월_남_40~49세,"15,749",432,616,740,581,607,"1,128","1,076",906,"1,131","2,328",131,572,"1,777","1,409","2,236",79
2021년05월_남_50~59세,"18,832",572,927,"1,127",799,679,"1,354","1,293","1,035","1,084","1,715",246,837,"2,592","1,682","2,810",80
2021년05월_남_60~69세,"18,369",609,"1,020","1,203",993,793,"1,266","1,146","1,164",883,"1,533",309,888,"2,451","1,414","2,586",111
2021년05월_남_70~79세,"9,862",347,507,645,516,514,633,537,696,513,914,159,586,"1,313",679,"1,255",48
2021년05월_남_80~89세,"3,307",122,131,221,127,160,236,202,187,197,321,63,220,466,215,427,12
2021년05월_남_90~99세,261,3,7,8,6,15,24,19,10,15,25,6,25,32,13,50,3
2021년05월_남_100세 이상,9,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
2021년05월_여_총인구수,"117,396","2,706","4,724","5,660","3,788","4,425","8,653","8,351","6,764","8,656","14,073","1,089","5,006","14,949","10,428","17,574",550
2021년05월_여_연령구간인구수,"117,396","2,706","4,724","5,660","3,788","4,425","8,653","8,351","6,764","8,656","14,073","1,089","5,006","14,949","10,428","17,574",550
2021년05월_여_0~9세,"6,150",48,154,153,108,141,398,549,254,460,"1,246",28,236,574,649,"1,117",35
2021년05월_여_10~19세,"8,400",111,229,278,167,216,673,655,357,601,"1,115",41,317,991,999,"1,594",56
