카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년04월_계_총인구수,"347,578","8,455","4,189","7,354","2,293","1,963","2,672","1,634","1,526","1,498","3,320","21,582","4,818","1,663","4,151","1,105","2,251","28,249","10,993","11,641","14,629","20,541","25,712","12,092","27,186","28,502","12,158","12,488","21,905","25,668","25,340"
2020년04월_계_연령구간인구수,"347,578","8,455","4,189","7,354","2,293","1,963","2,672","1,634","1,526","1,498","3,320","21,582","4,818","1,663","4,151","1,105","2,251","28,249","10,993","11,641","14,629","20,541","25,712","12,092","27,186","28,502","12,158","12,488","21,905","25,668","25,340"
2020년04월_계_0~9세,"29,152",672,400,836,46,46,106,28,34,37,70,"2,333",276,20,159,27,58,"1,696",516,403,684,"1,169","1,549",831,"3,527","2,291",695,761,"2,705","2,358","4,819"
2020년04월_계_10~19세,"35,905",692,469,453,122,63,197,55,52,76,163,"2,901",421,65,214,50,112,"2,665",766,700,"1,157","1,734","2,744","1,138","4,076","3,739","1,206","1,354","3,036","2,710","2,775"
2020년04월_계_20~29세,"44,845",855,414,934,172,138,226,75,81,112,233,"2,310",451,95,376,112,145,"4,277","1,446","1,160","1,908","3,000","3,930","1,554","3,362","4,234","1,724","1,661","2,424","4,699","2,737"
2020년04월_계_30~39세,"42,245",995,444,"1,386",141,130,203,76,82,71,183,"2,596",418,62,259,56,112,"2,821","1,339",937,"1,405","2,300","2,801","1,478","3,895","3,118","1,243","1,162","2,840","3,871","5,821"
2020년04월_계_40~49세,"54,820","1,106",689,"1,008",186,164,312,120,155,162,307,"3,976",672,134,450,101,236,"4,153","1,611","1,477","2,035","3,008","3,957","1,850","5,343","4,989","1,689","1,881","4,191","4,097","4,761"
2020년04월_계_50~59세,"57,842","1,464",683,"1,141",410,372,495,297,234,256,596,"3,375",889,306,801,203,420,"4,674","1,849","2,100","2,748","3,810","5,165","2,153","3,981","5,265","2,186","2,440","3,231","3,751","2,547"
2020년04월_계_60~69세,"43,677","1,340",554,868,455,458,491,388,337,294,662,"2,265",781,356,929,236,473,"3,916","1,837","2,381","2,419","3,069","3,378","1,815","1,784","2,672","1,896","1,808","2,069","2,461","1,285"
2020년04월_계_70~79세,"25,293",803,331,446,422,304,367,325,312,260,609,"1,167",544,335,582,164,378,"2,712","1,082","1,708","1,531","1,754","1,493",911,803,"1,376",997,985,967,"1,211",414
2020년04월_계_80~89세,"12,026",450,179,232,289,253,246,236,215,189,427,580,318,255,331,130,289,"1,158",470,672,663,631,613,314,364,711,457,370,391,443,150
2020년04월_계_90~99세,"1,682",75,23,46,50,33,28,34,24,40,67,77,46,34,48,25,27,161,70,88,77,65,79,45,44,107,64,61,49,65,30
2020년04월_계_100세 이상,91,3,3,4,0,2,1,0,0,1,3,2,2,1,2,1,1,16,7,15,2,1,3,3,7,0,1,5,2,2,1
2020년04월_남_총인구수,"172,050","4,277","2,089","3,760","1,086",954,"1,300",821,757,751,"1,642","10,830","2,409",809,"2,060",529,"1,088","13,887","5,423","5,670","7,165","10,210","12,876","6,150","13,790","13,730","5,821","6,169","10,493","12,913","12,591"
2020년04월_남_연령구간인구수,"172,050","4,277","2,089","3,760","1,086",954,"1,300",821,757,751,"1,642","10,830","2,409",809,"2,060",529,"1,088","13,887","5,423","5,670","7,165","10,210","12,876","6,150","13,790","13,730","5,821","6,169","10,493","12,913","12,591"
2020년04월_남_0~9세,"15,176",364,218,426,22,23,53,19,16,16,41,"1,223",139,9,80,11,32,877,276,225,388,609,815,393,"1,910","1,172",370,409,"1,378","1,233","2,429"
2020년04월_남_10~19세,"18,949",369,229,246,66,31,102,37,30,35,91,"1,535",219,39,113,25,63,"1,483",413,388,612,885,"1,450",575,"2,289","1,940",628,751,"1,471","1,392","1,442"
2020년04월_남_20~29세,"24,764",486,222,519,101,76,138,50,50,72,151,"1,338",260,57,203,65,72,"2,351",756,668,"1,004","1,666","2,214",883,"1,875","2,267",906,963,"1,282","2,698","1,371"
2020년04월_남_30~39세,"21,456",518,212,736,85,74,97,48,47,45,99,"1,272",212,38,147,26,57,"1,481",724,545,747,"1,227","1,547",785,"1,811","1,525",643,578,"1,294","2,039","2,797"
2020년04월_남_40~49세,"27,349",593,339,552,118,101,183,77,113,108,199,"1,959",367,87,250,60,157,"2,060",848,826,"1,079","1,524","1,878",983,"2,498","2,207",803,881,"2,006","2,004","2,489"
2020년04월_남_50~59세,"28,474",766,365,542,220,203,260,178,129,149,337,"1,672",487,172,420,111,237,"2,271",886,"1,038","1,334","1,805","2,442","1,083","2,029","2,535",999,"1,177","1,599","1,803","1,225"
2020년04월_남_60~69세,"20,929",710,291,468,231,230,252,209,172,145,325,"1,105",400,199,480,129,246,"1,742",842,"1,051","1,118","1,418","1,655",890,914,"1,296",852,849,965,"1,136",609
2020년04월_남_70~79세,"10,987",338,160,203,155,130,150,130,137,128,265,530,222,137,257,67,140,"1,191",497,711,658,820,687,427,351,540,448,450,383,480,195
2020년04월_남_80~89세,"3,633",119,49,62,81,77,59,66,59,47,118,184,96,64,100,31,78,388,168,194,215,241,173,120,100,227,158,99,108,120,32
2020년04월_남_90~99세,312,14,3,6,7,9,5,7,4,6,15,12,7,7,9,4,6,37,12,22,10,15,13,11,10,21,13,11,7,7,2
2020년04월_남_100세 이상,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020년04월_여_총인구수,"175,528","4,178","2,100","3,594","1,207","1,009","1,372",813,769,747,"1,678","10,752","2,409",854,"2,091",576,"1,163","14,362","5,570","5,971","7,464","10,331","12,836","5,942","13,396","14,772","6,337","6,319","11,412","12,755","12,749"
