카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년07월_계_총인구수,"31,526","9,287",503,"4,079","8,360","5,081","2,693","1,523"
2020년07월_계_연령구간인구수,"31,526","9,287",503,"4,079","8,360","5,081","2,693","1,523"
2020년07월_계_0~9세,"2,539",807,16,366,642,412,249,47
2020년07월_계_10~19세,"2,304",812,25,276,632,328,143,88
2020년07월_계_20~29세,"4,067","1,172",39,540,"1,071",580,540,125
2020년07월_계_30~39세,"3,870","1,190",28,585,917,660,407,83
2020년07월_계_40~49세,"3,990","1,324",61,420,"1,133",634,262,156
2020년07월_계_50~59세,"5,320","1,499",116,616,"1,508",905,348,328
2020년07월_계_60~69세,"4,979","1,317",108,693,"1,289",829,374,369
2020년07월_계_70~79세,"2,741",725,76,324,723,440,240,213
2020년07월_계_80~89세,"1,458",376,31,222,376,247,114,92
2020년07월_계_90~99세,244,58,3,37,65,44,16,21
2020년07월_계_100세 이상,14,7,0,0,4,2,0,1
2020년07월_남_총인구수,"17,022","4,893",269,"2,200","4,516","2,742","1,570",832
2020년07월_남_연령구간인구수,"17,022","4,893",269,"2,200","4,516","2,742","1,570",832
2020년07월_남_0~9세,"1,311",419,7,190,318,213,137,27
2020년07월_남_10~19세,"1,191",436,14,132,333,158,72,46
2020년07월_남_20~29세,"2,695",717,24,363,712,375,414,90
2020년07월_남_30~39세,"2,216",645,20,344,511,388,251,57
2020년07월_남_40~49세,"2,219",714,35,235,634,357,155,89
2020년07월_남_50~59세,"2,824",787,63,324,814,465,196,175
2020년07월_남_60~69세,"2,687",679,55,378,711,472,188,204
2020년07월_남_70~79세,"1,301",352,39,151,327,216,112,104
2020년07월_남_80~89세,505,128,11,71,135,87,41,32
2020년07월_남_90~99세,68,14,1,12,19,10,4,8
2020년07월_남_100세 이상,5,2,0,0,2,1,0,0
2020년07월_여_총인구수,"14,504","4,394",234,"1,879","3,844","2,339","1,123",691
2020년07월_여_연령구간인구수,"14,504","4,394",234,"1,879","3,844","2,339","1,123",691
2020년07월_여_0~9세,"1,228",388,9,176,324,199,112,20
2020년07월_여_10~19세,"1,113",376,11,144,299,170,71,42
2020년07월_여_20~29세,"1,372",455,15,177,359,205,126,35
2020년07월_여_30~39세,"1,654",545,8,241,406,272,156,26
2020년07월_여_40~49세,"1,771",610,26,185,499,277,107,67
2020년07월_여_50~59세,"2,496",712,53,292,694,440,152,153
2020년07월_여_60~69세,"2,292",638,53,315,578,357,186,165
2020년07월_여_70~79세,"1,440",373,37,173,396,224,128,109
2020년07월_여_80~89세,953,248,20,151,241,160,73,60
2020년07월_여_90~99세,176,44,2,25,46,34,12,13
2020년07월_여_100세 이상,9,5,0,0,2,1,0,1
