,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년04월_계_총인구수,"372,225","21,753","27,076","34,360","20,935","35,875","18,462","32,058","17,713","22,451","17,582","17,158","8,863","10,965","17,967","20,367","12,771","12,510","23,359"
2020년04월_계_연령구간인구수,"372,225","21,753","27,076","34,360","20,935","35,875","18,462","32,058","17,713","22,451","17,582","17,158","8,863","10,965","17,967","20,367","12,771","12,510","23,359"
2020년04월_계_0~9세,"25,557","1,518","1,220","3,068","1,222","2,647","1,062","3,255","1,309","1,761",653,"1,235",316,810,"1,043","2,143",503,509,"1,283"
2020년04월_계_10~19세,"24,590","1,374",907,"2,903","1,054","2,253",979,"2,941","1,031","1,681",941,"1,199",615,749,"1,145","1,789",820,631,"1,578"
2020년04월_계_20~29세,"57,867","2,814","6,185","3,999","3,610","7,189","2,720","3,685","2,732","3,639","3,364","2,204","1,297","1,401","3,044","2,854","2,001","1,912","3,217"
2020년04월_계_30~39세,"67,056","3,385","6,502","5,415","4,211","7,772","3,354","5,898","4,302","5,052","2,977","2,555","1,073","1,579","2,914","3,527","1,468","1,699","3,373"
2020년04월_계_40~49세,"55,908","3,236","3,499","5,537","2,990","4,978","2,828","5,780","2,854","3,457","2,480","2,589","1,224","1,635","2,512","3,367","1,810","1,736","3,396"
2020년04월_계_50~59세,"56,469","3,722","3,609","5,109","3,118","4,605","3,011","4,072","2,106","3,082","2,631","2,980","1,653","1,917","2,802","3,123","2,330","2,250","4,349"
2020년04월_계_60~69세,"45,441","3,129","2,946","4,051","2,584","3,551","2,267","3,471","1,754","2,156","2,256","2,416","1,439","1,626","2,489","2,055","1,963","1,841","3,447"
2020년04월_계_70~79세,"26,656","1,794","1,531","2,658","1,437","1,871","1,523","2,005","1,105","1,086","1,530","1,391",838,869,"1,377","1,012","1,341","1,378","1,910"
2020년04월_계_80~89세,"10,896",659,562,"1,396",616,850,627,804,439,470,644,510,342,321,551,431,458,497,719
2020년04월_계_90~99세,"1,511",108,91,200,78,129,74,121,72,61,84,71,52,43,76,55,62,51,83
2020년04월_계_100세 이상,274,14,24,24,15,30,17,26,9,6,22,8,14,15,14,11,15,6,4
2020년04월_남_총인구수,"184,446","11,129","14,676","16,151","10,300","16,790","9,318","15,792","8,772","11,179","8,922","8,482","4,445","5,316","8,820","10,151","6,372","6,104","11,727"
2020년04월_남_연령구간인구수,"184,446","11,129","14,676","16,151","10,300","16,790","9,318","15,792","8,772","11,179","8,922","8,482","4,445","5,316","8,820","10,151","6,372","6,104","11,727"
2020년04월_남_0~9세,"12,992",755,599,"1,535",620,"1,333",570,"1,666",695,893,322,651,148,401,519,"1,147",265,259,614
2020년04월_남_10~19세,"12,867",731,497,"1,445",533,"1,140",509,"1,518",523,882,497,627,338,367,651,945,469,319,876
2020년04월_남_20~29세,"27,331","1,493","2,743","1,868","1,644","2,962","1,316","1,759","1,216","1,664","1,643","1,082",692,704,"1,478","1,443","1,000",967,"1,657"
2020년04월_남_30~39세,"34,583","1,785","3,654","2,452","2,198","3,732","1,777","2,858","2,253","2,627","1,709","1,333",586,840,"1,490","1,740",821,904,"1,824"
2020년04월_남_40~49세,"28,734","1,697","2,090","2,618","1,557","2,453","1,510","2,946","1,519","1,744","1,339","1,338",639,822,"1,269","1,693",924,873,"1,703"
2020년04월_남_50~59세,"28,692","1,921","2,254","2,469","1,566","2,186","1,577","2,065","1,074","1,594","1,384","1,490",823,927,"1,366","1,544","1,169","1,107","2,176"
2020년04월_남_60~69세,"22,079","1,592","1,789","1,894","1,230","1,722","1,098","1,641",801,"1,093","1,084","1,134",719,739,"1,164",979,911,823,"1,666"
2020년04월_남_70~79세,"12,291",846,782,"1,196",667,874,690,942,510,481,659,623,351,398,641,484,616,627,904
2020년04월_남_80~89세,"4,386",270,236,601,261,337,243,343,161,182,261,186,131,107,221,159,181,216,290
2020년04월_남_90~99세,424,37,28,70,21,43,21,44,19,17,20,15,13,7,16,16,13,7,17
2020년04월_남_100세 이상,67,2,4,3,3,8,7,10,1,2,4,3,5,4,5,1,3,2,0
2020년04월_여_총인구수,"187,779","10,624","12,400","18,209","10,635","19,085","9,144","16,266","8,941","11,272","8,660","8,676","4,418","5,649","9,147","10,216","6,399","6,406","11,632"
2020년04월_여_연령구간인구수,"187,779","10,624","12,400","18,209","10,635","19,085","9,144","16,266","8,941","11,272","8,660","8,676","4,418","5,649","9,147","10,216","6,399","6,406","11,632"
2020년04월_여_0~9세,"12,565",763,621,"1,533",602,"1,314",492,"1,589",614,868,331,584,168,409,524,996,238,250,669
2020년04월_여_10~19세,"11,723",643,410,"1,458",521,"1,113",470,"1,423",508,799,444,572,277,382,494,844,351,312,702
2020년04월_여_20~29세,"30,536","1,321","3,442","2,131","1,966","4,227","1,404","1,926","1,516","1,975","1,721","1,122",605,697,"1,566","1,411","1,001",945,"1,560"
2020년04월_여_30~39세,"32,473","1,600","2,848","2,963","2,013","4,040","1,577","3,040","2,049","2,425","1,268","1,222",487,739,"1,424","1,787",647,795,"1,549"
2020년04월_여_40~49세,"27,174","1,539","1,409","2,919","1,433","2,525","1,318","2,834","1,335","1,713","1,141","1,251",585,813,"1,243","1,674",886,863,"1,693"
2020년04월_여_50~59세,"27,777","1,801","1,355","2,640","1,552","2,419","1,434","2,007","1,032","1,488","1,247","1,490",830,990,"1,436","1,579","1,161","1,143","2,173"
2020년04월_여_60~69세,"23,362","1,537","1,157","2,157","1,354","1,829","1,169","1,830",953,"1,063","1,172","1,282",720,887,"1,325","1,076","1,052","1,018","1,781"
2020년04월_여_70~79세,"14,365",948,749,"1,462",770,997,833,"1,063",595,605,871,768,487,471,736,528,725,751,"1,006"
2020년04월_여_80~89세,"6,510",389,326,795,355,513,384,461,278,288,383,324,211,214,330,272,277,281,429
2020년04월_여_90~99세,"1,087",71,63,130,57,86,53,77,53,44,64,56,39,36,60,39,49,44,66
2020년04월_여_100세 이상,207,12,20,21,12,22,10,16,8,4,18,5,9,11,9,10,12,4,4
