,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년04월_계_총인구수,"49,604","18,147","3,751","4,380",782,"3,218","3,425","4,246","2,368","2,076",219,"2,503",989,"2,682",818
2021년04월_계_연령구간인구수,"49,604","18,147","3,751","4,380",782,"3,218","3,425","4,246","2,368","2,076",219,"2,503",989,"2,682",818
2021년04월_계_0~9세,"3,074","1,428",207,316,50,91,132,181,116,67,7,144,42,250,43
2021년04월_계_10~19세,"3,571","1,711",193,386,48,127,205,268,99,94,8,136,52,218,26
2021년04월_계_20~29세,"3,770","1,846",231,284,43,181,209,266,130,137,10,141,63,164,65
2021년04월_계_30~39세,"3,873","1,739",290,366,73,169,207,239,123,129,6,171,63,244,54
2021년04월_계_40~49세,"6,153","2,669",420,589,117,324,373,433,206,176,27,286,100,342,91
2021년04월_계_50~59세,"8,015","3,088",585,646,124,532,579,626,397,351,32,343,162,413,137
2021년04월_계_60~69세,"8,678","2,857",754,643,158,719,652,706,496,427,35,455,172,450,154
2021년04월_계_70~79세,"7,379","1,822",622,653,131,633,593,892,477,365,45,474,175,349,148
2021년04월_계_80~89세,"4,482",863,403,443,35,391,425,558,284,280,41,310,143,221,85
2021년04월_계_90~99세,592,119,46,53,2,51,49,74,39,49,7,42,16,31,14
2021년04월_계_100세 이상,17,5,0,1,1,0,1,3,1,1,1,1,1,0,1
2021년04월_남_총인구수,"24,960","9,149","1,904","2,191",434,"1,612","1,749","2,080","1,199","1,016",114,"1,226",494,"1,360",432
2021년04월_남_연령구간인구수,"24,960","9,149","1,904","2,191",434,"1,612","1,749","2,080","1,199","1,016",114,"1,226",494,"1,360",432
2021년04월_남_0~9세,"1,573",759,100,151,22,54,58,86,72,31,5,67,19,129,20
2021년04월_남_10~19세,"1,856",878,96,209,28,63,105,139,47,52,3,69,33,116,18
2021년04월_남_20~29세,"2,209","1,075",139,164,27,96,137,157,79,77,10,84,34,91,39
2021년04월_남_30~39세,"2,115",881,170,214,51,109,114,132,66,82,3,96,35,129,33
2021년04월_남_40~49세,"3,579","1,384",279,345,84,201,235,256,138,105,19,190,65,209,69
2021년04월_남_50~59세,"4,498","1,644",338,358,70,311,343,372,233,210,21,195,95,227,81
2021년04월_남_60~69세,"4,326","1,396",388,330,74,355,336,342,247,219,21,219,92,233,74
2021년04월_남_70~79세,"3,271",833,269,275,67,300,258,383,217,147,22,187,78,163,72
2021년04월_남_80~89세,"1,420",278,117,139,11,117,151,197,91,81,10,108,39,57,24
2021년04월_남_90~99세,111,21,8,6,0,6,12,16,9,11,0,10,4,6,2
2021년04월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년04월_여_총인구수,"24,644","8,998","1,847","2,189",348,"1,606","1,676","2,166","1,169","1,060",105,"1,277",495,"1,322",386
2021년04월_여_연령구간인구수,"24,644","8,998","1,847","2,189",348,"1,606","1,676","2,166","1,169","1,060",105,"1,277",495,"1,322",386
2021년04월_여_0~9세,"1,501",669,107,165,28,37,74,95,44,36,2,77,23,121,23
2021년04월_여_10~19세,"1,715",833,97,177,20,64,100,129,52,42,5,67,19,102,8
2021년04월_여_20~29세,"1,561",771,92,120,16,85,72,109,51,60,0,57,29,73,26
2021년04월_여_30~39세,"1,758",858,120,152,22,60,93,107,57,47,3,75,28,115,21
2021년04월_여_40~49세,"2,574","1,285",141,244,33,123,138,177,68,71,8,96,35,133,22
2021년04월_여_50~59세,"3,517","1,444",247,288,54,221,236,254,164,141,11,148,67,186,56
2021년04월_여_60~69세,"4,352","1,461",366,313,84,364,316,364,249,208,14,236,80,217,80
2021년04월_여_70~79세,"4,108",989,353,378,64,333,335,509,260,218,23,287,97,186,76
2021년04월_여_80~89세,"3,062",585,286,304,24,274,274,361,193,199,31,202,104,164,61
2021년04월_여_90~99세,481,98,38,47,2,45,37,58,30,38,7,32,12,25,12
2021년04월_여_100세 이상,15,5,0,1,1,0,1,3,1,0,1,0,1,0,1
