,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년12월_남_연령구간인구수,"528,480","235,773","7,771","11,400","22,117","10,897","5,569","5,685","11,114","10,552","15,312","18,650","8,052","18,525","16,241","9,965","10,810","15,930","22,381","13,386","1,416","145,874","17,440","22,922","11,459","18,904","14,707","10,100","11,760","7,873","5,565","13,064","12,080","146,833","13,423","9,292","17,534","25,561","13,154","13,751","17,683","10,774","25,661"
2020년12월_남_0~9세,"41,892","19,688",312,"1,551","2,736",667,322,807,"1,132","1,336","1,160","1,101",492,"1,034","1,359",385,748,"1,162","1,405","1,936",43,"10,656","1,783","1,733",649,"1,633","1,038",432,719,638,729,580,722,"11,548",988,450,"1,390","2,377",968,"1,061","1,147",814,"2,353"
2020년12월_남_10~19세,"53,819","21,230",657,950,"1,979",997,550,389,777,778,"1,658","1,486",650,"1,932","1,953",646,"1,008","1,468","2,456",823,73,"15,305","2,461","2,382","1,042","2,343","1,422",703,"1,682","1,139",489,812,830,"17,284","1,348",796,"3,011","2,881","1,633","1,611","1,647","1,167","3,190"
2020년12월_남_20~29세,"77,295","32,510","1,190","1,145","2,528","1,584",799,678,"1,285","1,157","1,929","2,409","1,189","3,127","2,360","1,547","1,604","2,620","3,633","1,493",233,"22,710","2,435","3,696","2,111","2,740","2,457","1,612","1,917","1,146",609,"2,321","1,666","22,075","2,089","1,470","2,474","3,897","1,925","1,931","3,038","1,714","3,537"
2020년12월_남_30~39세,"70,826","34,281",871,"1,858","3,631","1,324",651,"1,193","2,248","2,332","1,721","2,208",955,"2,200","2,121","1,307","1,444","2,503","2,583","2,968",163,"18,760","1,803","2,694","1,510","2,284","2,227","1,652","1,045",688,798,"2,444","1,615","17,785","1,629",989,"1,701","3,484","1,520","1,595","2,734","1,397","2,736"
2020년12월_남_40~49세,"88,281","39,508","1,121","2,213","4,365","1,781",833,"1,019","1,906","1,888","2,698","3,052","1,149","2,779","2,916","1,497","1,713","2,381","3,571","2,461",165,"24,287","3,296","3,508","1,686","3,218","2,333","1,832","1,892","1,297","1,018","2,321","1,886","24,486","2,058","1,284","3,207","4,430","2,083","2,228","2,716","1,761","4,719"
2020년12월_남_50~59세,"95,784","41,159","1,666","1,560","3,101","2,162","1,010",770,"1,509","1,336","2,663","3,569","1,618","3,706","2,839","2,163","2,053","2,934","4,543","1,666",291,"27,309","3,219","4,299","2,081","3,336","2,700","1,977","2,364","1,541",971,"2,386","2,435","27,316","2,524","2,088","3,183","4,690","2,347","2,406","3,277","1,980","4,821"
2020년12월_남_60~69세,"60,842","28,219","1,194","1,295","2,231","1,419",793,495,"1,299","1,054","1,947","2,849","1,202","2,069","1,592","1,529","1,415","1,743","2,574","1,248",271,"16,620","1,600","2,817","1,443","2,062","1,621","1,168","1,347",794,644,"1,316","1,808","16,003","1,637","1,414","1,659","2,351","1,517","1,608","1,946","1,166","2,705"
2020년12월_남_70~79세,"26,460","13,118",532,621,"1,141",641,395,232,704,495,"1,072","1,409",556,"1,001",670,611,531,742,"1,075",567,123,"6,704",574,"1,172",637,853,593,489,508,348,235,514,781,"6,638",771,525,572,917,672,750,811,508,"1,112"
2020년12월_남_80~89세,"11,961","5,484",206,187,370,301,201,75,235,153,420,513,223,614,395,261,273,342,480,187,48,"3,147",238,545,265,389,288,212,251,242,66,340,311,"3,330",343,250,298,479,435,493,331,249,452
