카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년08월_계_총인구수,"55,457","14,892","2,356","2,687","1,712","18,759","2,545","2,471","1,541","2,748","3,199","1,173","1,374"
2020년08월_계_연령구간인구수,"55,457","14,892","2,356","2,687","1,712","18,759","2,545","2,471","1,541","2,748","3,199","1,173","1,374"
2020년08월_계_0~9세,"4,643",805,78,64,57,"3,247",150,52,21,54,55,22,38
2020년08월_계_10~19세,"4,366","1,246",115,85,60,"2,260",106,93,47,84,130,63,77
2020년08월_계_20~29세,"4,069","1,322",96,150,58,"1,646",222,118,53,91,200,45,68
2020년08월_계_30~39세,"5,542","1,183",84,119,83,"3,357",223,112,48,117,119,38,59
2020년08월_계_40~49세,"7,086","1,934",188,173,123,"3,473",231,204,105,210,248,87,110
2020년08월_계_50~59세,"8,087","2,522",357,426,264,"2,169",334,378,224,436,511,244,222
2020년08월_계_60~69세,"9,186","2,835",498,672,404,"1,344",443,567,385,674,725,329,310
2020년08월_계_70~79세,"6,928","1,840",504,515,344,733,427,534,353,583,649,175,271
2020년08월_계_80~89세,"4,871","1,038",390,426,288,459,351,363,276,444,502,145,189
2020년08월_계_90~99세,646,161,42,53,31,68,57,46,28,51,58,24,27
2020년08월_계_100세 이상,33,6,4,4,0,3,1,4,1,4,2,1,3
2020년08월_남_총인구수,"27,288","7,363","1,170","1,331",842,"9,238","1,253","1,197",743,"1,351","1,538",576,686
2020년08월_남_연령구간인구수,"27,288","7,363","1,170","1,331",842,"9,238","1,253","1,197",743,"1,351","1,538",576,686
2020년08월_남_0~9세,"2,373",398,44,36,29,"1,659",81,25,7,30,32,11,21
2020년08월_남_10~19세,"2,331",710,67,42,37,"1,162",58,48,28,43,65,35,36
2020년08월_남_20~29세,"2,295",772,55,101,33,856,141,65,34,51,122,23,42
2020년08월_남_30~39세,"2,788",609,47,68,42,"1,587",122,71,29,77,82,16,38
2020년08월_남_40~49세,"3,887","1,057",119,116,87,"1,741",154,138,71,144,144,53,63
2020년08월_남_50~59세,"4,238","1,240",210,232,160,"1,092",196,198,132,248,281,121,128
2020년08월_남_60~69세,"4,537","1,343",263,348,210,660,197,275,196,341,358,186,160
2020년08월_남_70~79세,"3,077",837,221,220,145,328,187,237,153,270,273,86,120
2020년08월_남_80~89세,"1,642",367,134,155,91,143,105,133,91,139,174,38,72
2020년08월_남_90~99세,116,29,9,12,8,10,12,7,2,7,7,7,6
2020년08월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년08월_여_총인구수,"28,169","7,529","1,186","1,356",870,"9,521","1,292","1,274",798,"1,397","1,661",597,688
2020년08월_여_연령구간인구수,"28,169","7,529","1,186","1,356",870,"9,521","1,292","1,274",798,"1,397","1,661",597,688
2020년08월_여_0~9세,"2,270",407,34,28,28,"1,588",69,27,14,24,23,11,17
2020년08월_여_10~19세,"2,035",536,48,43,23,"1,098",48,45,19,41,65,28,41
2020년08월_여_20~29세,"1,774",550,41,49,25,790,81,53,19,40,78,22,26
2020년08월_여_30~39세,"2,754",574,37,51,41,"1,770",101,41,19,40,37,22,21
2020년08월_여_40~49세,"3,199",877,69,57,36,"1,732",77,66,34,66,104,34,47
2020년08월_여_50~59세,"3,849","1,282",147,194,104,"1,077",138,180,92,188,230,123,94
2020년08월_여_60~69세,"4,649","1,492",235,324,194,684,246,292,189,333,367,143,150
2020년08월_여_70~79세,"3,851","1,003",283,295,199,405,240,297,200,313,376,89,151
2020년08월_여_80~89세,"3,229",671,256,271,197,316,246,230,185,305,328,107,117
2020년08월_여_90~99세,530,132,33,41,23,58,45,39,26,44,51,17,21
2020년08월_여_100세 이상,29,5,3,3,0,3,1,4,1,3,2,1,3
