,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년11월_계_총인구수,"480,617","37,430","39,772","28,506","23,219","28,945","32,840","27,280","30,901","27,590","25,276","46,713","27,615","20,902","15,384","11,175","57,069"
2020년11월_계_연령구간인구수,"480,617","37,430","39,772","28,506","23,219","28,945","32,840","27,280","30,901","27,590","25,276","46,713","27,615","20,902","15,384","11,175","57,069"
2020년11월_계_0~9세,"29,988","2,511","2,416","1,167","1,004","1,591","1,829","1,200","2,266","3,272","1,000","2,736","1,640","1,108",756,684,"4,808"
2020년11월_계_10~19세,"38,854","2,342","2,697","1,824","1,615","2,488","2,884","1,665","2,639","2,275","1,650","3,558","2,137","1,697","1,206",770,"7,407"
2020년11월_계_20~29세,"67,013","5,065","5,477","4,326","3,754","4,370","4,447","4,876","4,175","2,771","3,645","6,540","3,915","2,959","2,095","1,482","7,116"
2020년11월_계_30~39세,"68,802","6,095","5,450","3,894","3,075","3,954","4,132","4,228","5,130","5,082","3,386","6,736","4,123","2,812","2,045","1,716","6,944"
2020년11월_계_40~49세,"76,959","5,856","6,068","3,982","3,349","4,728","5,164","4,109","5,247","5,179","3,636","7,653","4,219","3,196","2,267","1,532","10,774"
2020년11월_계_50~59세,"77,363","5,890","6,765","4,957","4,014","4,817","5,659","4,154","4,560","3,610","4,254","7,680","4,526","3,511","2,574","1,971","8,421"
2020년11월_계_60~69세,"64,271","5,069","5,595","4,389","3,474","3,672","4,637","3,528","3,616","2,894","3,768","6,245","3,836","3,170","2,425","1,695","6,258"
2020년11월_계_70~79세,"39,081","3,156","3,514","2,759","2,104","2,294","2,769","2,395","2,252","1,703","2,621","3,881","2,257","1,649","1,416",879,"3,432"
