,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년11월_계_총인구수,"658,841","12,923","24,904","12,556","18,730","18,971","18,772","15,721","26,631","18,018","38,626","23,885","19,183","31,611","30,340","26,286","27,309","32,352","20,046","28,944","29,553","38,427","27,952","35,105","34,343","21,309","16,777","9,567"
2021년11월_계_연령구간인구수,"658,841","12,923","24,904","12,556","18,730","18,971","18,772","15,721","26,631","18,018","38,626","23,885","19,183","31,611","30,340","26,286","27,309","32,352","20,046","28,944","29,553","38,427","27,952","35,105","34,343","21,309","16,777","9,567"
2021년11월_계_0~9세,"48,537",624,"1,847",590,"1,245",832,784,992,"1,120","1,178","2,666","1,109","1,496","1,453","1,426","1,570","3,076","2,426","1,240","1,562","2,279","6,461","1,183","3,810","3,029","2,599","1,389",551
2021년11월_계_10~19세,"57,694",811,"1,979",923,"1,439","1,543","1,258","1,601","1,213","2,622","3,066","1,289","1,793","1,848","1,924","1,765","2,315","3,404","1,447","1,420","2,619","4,841","1,681","5,744","4,017","2,444","1,726",962
2021년11월_계_20~29세,"90,706","1,557","3,704","1,789","2,160","2,256","2,352","2,380","5,429","2,108","5,295","4,368","2,616","5,362","5,121","3,934","3,124","4,441","3,077","5,100","3,970","3,511","4,988","3,270","3,688","1,945","1,928","1,233"
2021년11월_계_30~39세,"106,869","1,782","4,079","1,719","2,661","2,129","2,160","2,226","6,242","1,656","5,458","5,298","2,746","6,808","6,385","4,588","4,838","4,672","3,435","7,284","4,623","6,774","5,984","3,566","3,948","2,736","2,126",946
2021년11월_계_40~49세,"107,206","1,827","3,978","1,778","2,878","2,642","2,599","2,484","3,638","3,146","5,638","3,366","3,005","4,797","4,976","3,768","4,499","5,475","2,828","4,355","4,627","7,554","4,346","8,359","6,170","4,394","2,771","1,308"
2021년11월_계_50~59세,"101,643","2,211","3,632","2,259","3,228","3,507","3,534","2,679","3,602","3,122","6,799","3,316","3,130","4,628","4,356","4,574","3,959","5,227","3,302","3,515","4,802","4,550","4,029","5,114","5,241","3,003","2,661","1,663"
2021년11월_계_60~69세,"87,451","2,443","3,358","1,992","2,859","3,311","3,527","2,065","3,265","2,616","5,886","3,079","2,733","3,972","3,722","3,833","3,605","4,229","3,012","3,239","4,002","2,928","3,505","2,980","4,783","2,535","2,478","1,494"
2021년11월_계_70~79세,"41,198","1,146","1,641","1,052","1,576","1,888","1,740",862,"1,533","1,102","2,558","1,477","1,162","1,979","1,746","1,543","1,478","1,701","1,201","1,660","1,791","1,261","1,623","1,664","2,563","1,197","1,149",905
2021년11월_계_80~89세,"14,894",460,597,395,587,758,714,363,513,372,"1,047",500,418,669,572,613,347,663,423,682,687,439,529,527,763,378,452,426
2021년11월_계_90~99세,"2,543",60,87,57,94,102,102,65,75,95,207,83,80,89,108,95,66,109,77,121,143,103,80,66,137,76,91,75
2021년11월_계_100세 이상,100,2,2,2,3,3,2,4,1,1,6,0,4,6,4,3,2,5,4,6,10,5,4,5,4,2,6,4
2021년11월_남_총인구수,"317,596","6,328","11,832","6,344","9,213","9,687","9,557","7,579","12,372","8,817","18,730","11,151","9,234","15,083","14,281","13,008","13,238","15,894","9,937","13,296","14,299","18,701","13,250","16,802","16,334","10,219","7,943","4,467"
2021년11월_남_연령구간인구수,"317,596","6,328","11,832","6,344","9,213","9,687","9,557","7,579","12,372","8,817","18,730","11,151","9,234","15,083","14,281","13,008","13,238","15,894","9,937","13,296","14,299","18,701","13,250","16,802","16,334","10,219","7,943","4,467"
2021년11월_남_0~9세,"24,982",352,943,312,648,437,388,484,607,635,"1,374",565,773,736,726,806,"1,638","1,255",642,781,"1,159","3,303",588,"1,951","1,577","1,322",695,285
2021년11월_남_10~19세,"29,520",414,999,473,776,803,646,813,658,"1,440","1,649",625,885,924,"1,007",910,"1,143","1,811",754,723,"1,358","2,414",832,"2,884","2,033","1,279",870,397
2021년11월_남_20~29세,"43,098",818,"1,639",944,"1,110","1,173","1,282","1,215","2,185","1,123","2,744","1,941","1,215","2,473","2,325","1,915","1,546","2,220","1,542","1,958","1,973","1,716","2,210","1,546","1,781",957,934,613
2021년11월_남_30~39세,"51,019",920,"1,919",913,"1,361","1,169","1,180","1,088","2,973",682,"2,688","2,608","1,313","3,272","3,056","2,327","2,253","2,263","1,787","3,297","2,326","3,142","2,944","1,418","1,671","1,116",926,407
2021년11월_남_40~49세,"51,872",921,"1,934",883,"1,435","1,382","1,378","1,138","1,818","1,390","2,680","1,575","1,446","2,372","2,408","1,881","2,179","2,639","1,394","2,084","2,293","3,802","2,115","3,887","2,845","2,128","1,283",582
2021년11월_남_50~59세,"49,313","1,069","1,751","1,151","1,569","1,856","1,829","1,255","1,681","1,539","3,144","1,491","1,507","2,259","2,045","2,232","1,862","2,551","1,549","1,713","2,216","2,252","1,934","2,761","2,584","1,477","1,237",799
2021년11월_남_60~69세,"41,100","1,119","1,588",973,"1,337","1,665","1,755",973,"1,481","1,223","2,775","1,396","1,293","1,814","1,652","1,891","1,717","2,007","1,476","1,532","1,888","1,319","1,622","1,339","2,209","1,169","1,190",697
2021년11월_남_70~79세,"20,105",525,802,527,741,891,794,458,736,610,"1,266",697,618,909,842,760,741,860,603,846,834,605,764,780,"1,267",598,576,455
2021년11월_남_80~89세,"5,959",169,236,155,220,280,291,138,212,153,367,230,167,298,199,256,144,258,173,314,230,138,217,220,335,153,194,212
2021년11월_남_90~99세,610,20,20,12,16,31,14,17,21,22,42,23,17,25,21,28,15,29,17,44,22,10,23,16,30,20,35,20
2021년11월_남_100세 이상,18,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,4,0,0,1,0,2,0,3,0
2021년11월_여_총인구수,"341,245","6,595","13,072","6,212","9,517","9,284","9,215","8,142","14,259","9,201","19,896","12,734","9,949","16,528","16,059","13,278","14,071","16,458","10,109","15,648","15,254","19,726","14,702","18,303","18,009","11,090","8,834","5,100"
2021년11월_여_연령구간인구수,"341,245","6,595","13,072","6,212","9,517","9,284","9,215","8,142","14,259","9,201","19,896","12,734","9,949","16,528","16,059","13,278","14,071","16,458","10,109","15,648","15,254","19,726","14,702","18,303","18,009","11,090","8,834","5,100"
