카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년07월_계_총인구수,"77,062","8,701","6,726","5,042","4,610","5,230","8,213","5,082","4,211","7,090","12,015","7,656","2,486"
2020년07월_계_연령구간인구수,"77,062","8,701","6,726","5,042","4,610","5,230","8,213","5,082","4,211","7,090","12,015","7,656","2,486"
2020년07월_계_0~9세,"5,331",345,490,167,129,576,908,274,237,611,959,556,79
2020년07월_계_10~19세,"5,109",492,378,241,199,235,564,312,284,526,"1,090",626,162
2020년07월_계_20~29세,"11,933","1,507","1,857","1,422",850,651,838,840,636,724,"1,349","1,003",256
2020년07월_계_30~39세,"11,018","1,165","1,245",761,537,"1,052","1,447",676,589,986,"1,412",937,211
2020년07월_계_40~49세,"10,807","1,140",878,565,495,704,"1,172",659,579,"1,134","1,923","1,182",376
2020년07월_계_50~59세,"11,436","1,349",708,625,757,740,"1,240",811,662,"1,105","1,823","1,202",414
2020년07월_계_60~69세,"10,135","1,240",576,580,792,658,"1,070",700,525,953,"1,693",946,402
2020년07월_계_70~79세,"7,379",955,376,438,566,412,652,545,445,701,"1,137",744,408
2020년07월_계_80~89세,"3,337",428,180,195,230,169,274,245,206,307,556,397,150
2020년07월_계_90~99세,476,68,30,41,41,28,37,18,34,38,64,55,22
2020년07월_계_100세 이상,101,12,8,7,14,5,11,2,14,5,9,8,6
2020년07월_남_총인구수,"37,082","4,317","3,184","2,395","2,335","2,616","3,994","2,442","2,026","3,291","5,667","3,603","1,212"
2020년07월_남_연령구간인구수,"37,082","4,317","3,184","2,395","2,335","2,616","3,994","2,442","2,026","3,291","5,667","3,603","1,212"
2020년07월_남_0~9세,"2,754",166,244,88,71,286,437,150,117,339,514,301,41
2020년07월_남_10~19세,"2,612",244,185,115,99,125,310,150,144,267,581,299,93
2020년07월_남_20~29세,"5,722",739,828,585,411,323,445,399,307,343,703,505,134
2020년07월_남_30~39세,"5,692",647,642,436,324,537,704,330,311,493,700,453,115
2020년07월_남_40~49세,"5,508",621,468,286,271,377,608,352,285,554,926,567,193
2020년07월_남_50~59세,"5,638",707,334,344,396,375,593,408,343,512,844,570,212
2020년07월_남_60~69세,"4,686",608,245,288,407,330,514,330,238,389,718,432,187
2020년07월_남_70~79세,"3,111",405,160,173,255,198,267,237,195,281,479,288,173
2020년07월_남_80~89세,"1,224",162,71,64,90,56,107,80,79,103,185,168,59
2020년07월_남_90~99세,114,16,6,12,8,8,8,5,4,10,14,18,5
2020년07월_남_100세 이상,21,2,1,4,3,1,1,1,3,0,3,2,0
2020년07월_여_총인구수,"39,980","4,384","3,542","2,647","2,275","2,614","4,219","2,640","2,185","3,799","6,348","4,053","1,274"
2020년07월_여_연령구간인구수,"39,980","4,384","3,542","2,647","2,275","2,614","4,219","2,640","2,185","3,799","6,348","4,053","1,274"
2020년07월_여_0~9세,"2,577",179,246,79,58,290,471,124,120,272,445,255,38
2020년07월_여_10~19세,"2,497",248,193,126,100,110,254,162,140,259,509,327,69
2020년07월_여_20~29세,"6,211",768,"1,029",837,439,328,393,441,329,381,646,498,122
2020년07월_여_30~39세,"5,326",518,603,325,213,515,743,346,278,493,712,484,96
2020년07월_여_40~49세,"5,299",519,410,279,224,327,564,307,294,580,997,615,183
2020년07월_여_50~59세,"5,798",642,374,281,361,365,647,403,319,593,979,632,202
2020년07월_여_60~69세,"5,449",632,331,292,385,328,556,370,287,564,975,514,215
2020년07월_여_70~79세,"4,268",550,216,265,311,214,385,308,250,420,658,456,235
2020년07월_여_80~89세,"2,113",266,109,131,140,113,167,165,127,204,371,229,91
2020년07월_여_90~99세,362,52,24,29,33,20,29,13,30,28,50,37,17
2020년07월_여_100세 이상,80,10,7,3,11,4,10,1,11,5,6,6,6
