카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년07월_계_총인구수,"29,337","10,703","5,452","2,495","2,112","3,336","1,940","1,541","1,758"
2020년07월_계_연령구간인구수,"29,337","10,703","5,452","2,495","2,112","3,336","1,940","1,541","1,758"
2020년07월_계_0~9세,"1,229",657,266,62,59,85,48,20,32
2020년07월_계_10~19세,"2,041",973,424,100,143,179,79,35,108
2020년07월_계_20~29세,"2,302","1,148",496,121,105,153,96,79,104
2020년07월_계_30~39세,"2,073","1,060",421,107,92,154,81,72,86
2020년07월_계_40~49세,"3,388","1,516",715,195,193,343,154,126,146
2020년07월_계_50~59세,"5,768","2,022",997,538,410,708,414,314,365
2020년07월_계_60~69세,"6,191","1,773",995,633,543,815,542,431,459
2020년07월_계_70~79세,"3,936",983,744,443,371,550,316,267,262
2020년07월_계_80~89세,"2,117",499,354,247,174,309,190,172,172
2020년07월_계_90~99세,271,70,39,43,19,39,19,25,17
2020년07월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년07월_남_총인구수,"14,857","5,371","2,818","1,236","1,138","1,608","1,048",777,861
2020년07월_남_연령구간인구수,"14,857","5,371","2,818","1,236","1,138","1,608","1,048",777,861
2020년07월_남_0~9세,638,337,142,31,38,40,24,10,16
2020년07월_남_10~19세,"1,087",496,224,55,99,100,52,14,47
2020년07월_남_20~29세,"1,332",636,307,59,61,93,67,43,66
2020년07월_남_30~39세,"1,107",556,230,54,54,85,45,42,41
2020년07월_남_40~49세,"1,868",802,417,111,112,172,96,78,80
2020년07월_남_50~59세,"3,077","1,072",539,295,222,365,219,173,192
2020년07월_남_60~69세,"3,182",868,494,334,280,390,321,242,253
2020년07월_남_70~79세,"1,752",419,319,191,199,249,149,118,108
2020년07월_남_80~89세,739,171,135,93,68,106,65,50,51
2020년07월_남_90~99세,67,12,10,11,5,7,9,7,6
2020년07월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년07월_여_총인구수,"14,480","5,332","2,634","1,259",974,"1,728",892,764,897
2020년07월_여_연령구간인구수,"14,480","5,332","2,634","1,259",974,"1,728",892,764,897
2020년07월_여_0~9세,591,320,124,31,21,45,24,10,16
2020년07월_여_10~19세,954,477,200,45,44,79,27,21,61
2020년07월_여_20~29세,970,512,189,62,44,60,29,36,38
2020년07월_여_30~39세,966,504,191,53,38,69,36,30,45
2020년07월_여_40~49세,"1,520",714,298,84,81,171,58,48,66
2020년07월_여_50~59세,"2,691",950,458,243,188,343,195,141,173
2020년07월_여_60~69세,"3,009",905,501,299,263,425,221,189,206
2020년07월_여_70~79세,"2,184",564,425,252,172,301,167,149,154
2020년07월_여_80~89세,"1,378",328,219,154,106,203,125,122,121
2020년07월_여_90~99세,204,58,29,32,14,32,10,18,11
2020년07월_여_100세 이상,13,0,0,4,3,0,0,0,6
