,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년01월_계_총인구수,"50,468","28,971","3,224","1,418","1,931","2,338","3,031","4,238","2,280","3,037"
2021년01월_계_연령구간인구수,"50,468","28,971","3,224","1,418","1,931","2,338","3,031","4,238","2,280","3,037"
2021년01월_계_0~9세,"2,564","2,101",82,37,32,26,52,107,58,69
2021년01월_계_10~19세,"3,887","3,040",130,68,76,57,141,186,76,113
2021년01월_계_20~29세,"4,348","3,112",221,60,95,84,139,271,165,201
2021년01월_계_30~39세,"3,866","2,759",179,76,79,81,122,264,126,180
2021년01월_계_40~49세,"6,213","4,458",287,100,159,126,220,389,174,300
2021년01월_계_50~59세,"8,940","4,987",618,271,319,450,513,770,415,597
2021년01월_계_60~69세,"9,933","4,380",837,352,515,653,820,"1,004",580,792
2021년01월_계_70~79세,"6,359","2,675",479,249,344,430,593,725,395,469
2021년01월_계_80~89세,"3,757","1,267",335,170,264,373,380,443,258,267
2021년01월_계_90~99세,574,186,55,35,40,54,48,77,33,46
2021년01월_계_100세 이상,27,6,1,0,8,4,3,2,0,3
2021년01월_남_총인구수,"25,447","14,496","1,666",713,985,"1,173","1,470","2,173","1,194","1,577"
2021년01월_남_연령구간인구수,"25,447","14,496","1,666",713,985,"1,173","1,470","2,173","1,194","1,577"
2021년01월_남_0~9세,"1,334","1,092",45,20,16,14,22,53,34,38
2021년01월_남_10~19세,"2,065","1,608",67,38,39,33,75,103,37,65
2021년01월_남_20~29세,"2,478","1,730",147,38,57,55,83,158,96,114
2021년01월_남_30~39세,"2,012","1,385",98,46,51,45,60,155,70,102
2021년01월_남_40~49세,"3,339","2,265",167,66,100,85,130,250,111,165
2021년01월_남_50~59세,"4,782","2,574",337,140,189,250,293,421,243,335
2021년01월_남_60~69세,"5,072","2,146",448,189,268,356,408,520,314,423
2021년01월_남_70~79세,"2,933","1,185",229,118,164,202,270,357,188,220
2021년01월_남_80~89세,"1,279",469,109,50,86,115,115,137,93,105
2021년01월_남_90~99세,147,41,19,8,12,18,13,18,8,10
2021년01월_남_100세 이상,6,1,0,0,3,0,1,1,0,0
2021년01월_여_총인구수,"25,021","14,475","1,558",705,946,"1,165","1,561","2,065","1,086","1,460"
2021년01월_여_연령구간인구수,"25,021","14,475","1,558",705,946,"1,165","1,561","2,065","1,086","1,460"
2021년01월_여_0~9세,"1,230","1,009",37,17,16,12,30,54,24,31
2021년01월_여_10~19세,"1,822","1,432",63,30,37,24,66,83,39,48
2021년01월_여_20~29세,"1,870","1,382",74,22,38,29,56,113,69,87
2021년01월_여_30~39세,"1,854","1,374",81,30,28,36,62,109,56,78
2021년01월_여_40~49세,"2,874","2,193",120,34,59,41,90,139,63,135
2021년01월_여_50~59세,"4,158","2,413",281,131,130,200,220,349,172,262
2021년01월_여_60~69세,"4,861","2,234",389,163,247,297,412,484,266,369
2021년01월_여_70~79세,"3,426","1,490",250,131,180,228,323,368,207,249
2021년01월_여_80~89세,"2,478",798,226,120,178,258,265,306,165,162
2021년01월_여_90~99세,427,145,36,27,28,36,35,59,25,36
2021년01월_여_100세 이상,21,5,1,0,5,4,2,1,0,3
