,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년11월_계_총인구수,"9,679,771","149,549","125,505","230,151","294,272","347,285","343,377","395,194","438,051","308,569","326,082","523,708","480,617","312,325","372,320","455,058","581,909","405,194","232,003","378,276","391,896","496,059","425,431","539,838","668,498","458,604"
2020년11월_계_연령구간인구수,"9,679,771","149,549","125,505","230,151","294,272","347,285","343,377","395,194","438,051","308,569","326,082","523,708","480,617","312,325","372,320","455,058","581,909","405,194","232,003","378,276","391,896","496,059","425,431","539,838","668,498","458,604"
2020년11월_계_0~9세,"627,357","7,590","6,886","13,570","20,585","19,699","20,916","23,221","29,035","15,862","18,941","33,311","29,988","20,220","25,086","31,741","39,975","28,470","12,692","25,757","24,743","22,611","34,016","36,885","50,930","34,627"
2020년11월_계_10~19세,"785,233","11,066","6,854","15,705","19,970","26,132","23,758","26,942","37,306","22,203","25,824","53,482","38,854","23,717","28,419","50,988","44,994","30,290","14,761","24,312","28,006","28,766","45,318","59,356","59,193","39,017"
2020년11월_계_20~29세,"1,461,133","23,386","18,634","33,428","45,145","62,813","56,374","56,133","66,978","42,855","43,572","73,401","67,013","50,391","61,920","59,949","87,160","55,482","37,047","58,736","66,657","109,232","55,230","74,139","94,136","61,322"
2020년11월_계_30~39세,"1,478,727","19,982","20,117","38,103","49,138","56,116","50,251","58,262","60,104","38,851","41,166","64,855","68,802","45,139","64,657","58,110","99,381","63,390","35,558","68,970","62,289","87,131","63,451","82,137","110,988","71,779"
2020년11월_계_40~49세,"1,531,956","22,245","18,119","35,740","45,229","52,718","50,836","58,028","70,104","46,964","48,735","86,485","76,959","47,528","61,088","79,161","91,271","63,477","33,056","56,366","58,998","68,757","77,452","99,315","109,461","73,864"
2020년11월_계_50~59세,"1,526,471","25,511","20,744","37,057","47,347","54,742","53,377","69,716","69,508","52,711","57,209","87,964","77,363","49,468","54,265","76,713","86,567","63,519","40,431","56,873","58,488","68,259","63,166","80,358","102,816","72,299"
2020년11월_계_60~69세,"1,239,857","19,938","17,512","28,754","36,393","42,335","46,345","58,020","54,785","45,810","49,573","67,545","64,271","38,374","39,448","57,301","76,219","55,769","32,946","46,822","49,034","59,105","47,671","59,298","83,842","62,747"
2020년11월_계_70~79세,"703,243","12,513","10,728","17,248","20,587","22,419","28,155","31,383","33,628","30,097","27,661","37,512","39,081","24,366","24,336","28,528","38,910","31,723","18,031","27,272","29,726","37,113","27,358","34,097","40,281","30,490"
