카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년10월_계_총인구수,"463,155","48,514","13,227","10,873","30,050","9,054","13,359","11,483","3,908","7,619",0,556,0,160,0,"22,391","33,087","27,229","41,817","45,529","62,347","81,952"
2020년10월_계_연령구간인구수,"463,155","48,514","13,227","10,873","30,050","9,054","13,359","11,483","3,908","7,619",0,556,0,160,0,"22,391","33,087","27,229","41,817","45,529","62,347","81,952"
2020년10월_계_0~9세,"44,524","4,976",584,351,"1,775",198,667,499,97,597,0,21,0,5,0,"1,169","3,364","2,320","3,919","5,070","8,917","9,995"
2020년10월_계_10~19세,"48,794","4,765",792,758,"2,765",287,"1,014",657,194,530,0,35,0,12,0,"1,508","4,251","2,772","5,586","5,809","7,489","9,570"
2020년10월_계_20~29세,"56,514","5,818","1,475","1,310","3,792","2,057","1,483","1,269",410,935,0,54,0,4,0,"3,450","4,270","3,783","4,625","5,402","6,715","9,662"
2020년10월_계_30~39세,"67,019","7,703","1,332",903,"3,025","2,144","1,470","1,052",265,877,0,45,0,10,0,"2,828","4,499","3,646","5,205","6,602","11,842","13,571"
2020년10월_계_40~49세,"80,371","7,525","1,685","1,263","4,482",941,"2,147","1,361",356,857,0,73,0,15,0,"3,350","6,105","4,335","8,394","8,882","12,250","16,350"
2020년10월_계_50~59세,"72,401","6,968","2,558","2,224","5,942","1,319","2,607","2,335",785,"1,253",0,101,0,28,0,"4,235","5,154","4,644","6,761","6,745","7,379","11,363"
2020년10월_계_60~69세,"48,621","5,167","2,285","2,013","4,419","1,155","2,008","2,202",787,"1,207",0,94,0,35,0,"3,076","2,771","3,075","3,946","3,913","4,161","6,307"
2020년10월_계_70~79세,"28,648","3,504","1,494","1,276","2,463",560,"1,181","1,262",586,909,0,93,0,31,0,"1,819","1,737","1,705","2,150","2,049","2,415","3,414"
2020년10월_계_80~89세,"14,004","1,800",849,663,"1,205",340,661,692,358,377,0,37,0,18,0,821,814,837,"1,047",918,"1,035","1,532"
2020년10월_계_90~99세,"2,061",259,131,99,167,49,112,139,59,75,0,3,0,2,0,120,111,108,173,129,143,182
2020년10월_계_100세 이상,198,29,42,13,15,4,9,15,11,2,0,0,0,0,0,15,11,4,11,10,1,6
2020년10월_남_총인구수,"234,915","24,752","7,044","5,766","15,267","5,747","7,245","6,250","2,039","4,081",0,283,0,86,0,"11,849","16,226","13,963","21,232","22,314","30,491","40,280"
2020년10월_남_연령구간인구수,"234,915","24,752","7,044","5,766","15,267","5,747","7,245","6,250","2,039","4,081",0,283,0,86,0,"11,849","16,226","13,963","21,232","22,314","30,491","40,280"
2020년10월_남_0~9세,"22,739","2,519",316,187,884,96,351,253,55,305,0,10,0,1,0,600,"1,727","1,156","1,987","2,595","4,558","5,139"
2020년10월_남_10~19세,"25,112","2,449",413,419,"1,376",158,530,364,100,302,0,13,0,4,0,793,"2,206","1,455","2,927","2,908","3,754","4,941"
2020년10월_남_20~29세,"29,873","3,169",899,795,"2,073","1,228",850,784,269,577,0,29,0,4,0,"1,940","2,156","2,068","2,524","2,611","3,162","4,735"
2020년10월_남_30~39세,"35,507","4,265",767,520,"1,650","1,756",880,624,149,495,0,22,0,6,0,"1,674","2,280","1,964","2,619","3,263","5,925","6,648"
2020년10월_남_40~49세,"41,296","4,002",995,723,"2,302",669,"1,212",802,209,493,0,51,0,5,0,"1,799","2,931","2,260","4,184","4,366","6,140","8,153"
2020년10월_남_50~59세,"37,898","3,623","1,454","1,217","3,102",803,"1,508","1,305",434,678,0,51,0,19,0,"2,387","2,631","2,392","3,622","3,382","3,645","5,645"
2020년10월_남_60~69세,"24,175","2,478","1,200","1,058","2,255",635,"1,075","1,234",402,643,0,52,0,17,0,"1,528","1,266","1,542","2,018","1,910","1,913","2,949"
2020년10월_남_70~79세,"12,588","1,501",647,592,"1,115",279,556,630,270,426,0,39,0,18,0,811,715,763,932,900,965,"1,429"
2020년10월_남_80~89세,"5,137",650,307,220,458,112,257,220,134,146,0,14,0,10,0,279,287,331,383,346,391,592
2020년10월_남_90~99세,529,82,35,31,47,11,25,30,11,16,0,2,0,2,0,31,25,30,35,31,37,48
2020년10월_남_100세 이상,61,14,11,4,5,0,1,4,6,0,0,0,0,0,0,7,2,2,1,2,1,1
2020년10월_여_총인구수,"228,240","23,762","6,183","5,107","14,783","3,307","6,114","5,233","1,869","3,538",0,273,0,74,0,"10,542","16,861","13,266","20,585","23,215","31,856","41,672"
2020년10월_여_연령구간인구수,"228,240","23,762","6,183","5,107","14,783","3,307","6,114","5,233","1,869","3,538",0,273,0,74,0,"10,542","16,861","13,266","20,585","23,215","31,856","41,672"
2020년10월_여_0~9세,"21,785","2,457",268,164,891,102,316,246,42,292,0,11,0,4,0,569,"1,637","1,164","1,932","2,475","4,359","4,856"
2020년10월_여_10~19세,"23,682","2,316",379,339,"1,389",129,484,293,94,228,0,22,0,8,0,715,"2,045","1,317","2,659","2,901","3,735","4,629"
2020년10월_여_20~29세,"26,641","2,649",576,515,"1,719",829,633,485,141,358,0,25,0,0,0,"1,510","2,114","1,715","2,101","2,791","3,553","4,927"
2020년10월_여_30~39세,"31,512","3,438",565,383,"1,375",388,590,428,116,382,0,23,0,4,0,"1,154","2,219","1,682","2,586","3,339","5,917","6,923"
2020년10월_여_40~49세,"39,075","3,523",690,540,"2,180",272,935,559,147,364,0,22,0,10,0,"1,551","3,174","2,075","4,210","4,516","6,110","8,197"
2020년10월_여_50~59세,"34,503","3,345","1,104","1,007","2,840",516,"1,099","1,030",351,575,0,50,0,9,0,"1,848","2,523","2,252","3,139","3,363","3,734","5,718"
2020년10월_여_60~69세,"24,446","2,689","1,085",955,"2,164",520,933,968,385,564,0,42,0,18,0,"1,548","1,505","1,533","1,928","2,003","2,248","3,358"
2020년10월_여_70~79세,"16,060","2,003",847,684,"1,348",281,625,632,316,483,0,54,0,13,0,"1,008","1,022",942,"1,218","1,149","1,450","1,985"
2020년10월_여_80~89세,"8,867","1,150",542,443,747,228,404,472,224,231,0,23,0,8,0,542,527,506,664,572,644,940
2020년10월_여_90~99세,"1,532",177,96,68,120,38,87,109,48,59,0,1,0,0,0,89,86,78,138,98,106,134
2020년10월_여_100세 이상,137,15,31,9,10,4,8,11,5,2,0,0,0,0,0,8,9,2,10,8,0,5
