카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년06월_계_총인구수,"483,642","27,789","47,734","29,059","9,807","5,469","8,187","61,428","39,069","22,799","62,056","41,406","43,873","35,186","49,780"
2021년06월_계_연령구간인구수,"483,642","27,789","47,734","29,059","9,807","5,469","8,187","61,428","39,069","22,799","62,056","41,406","43,873","35,186","49,780"
2021년06월_계_0~9세,"55,105","1,691","6,460","2,305",319,137,259,"5,948","4,797","1,529","6,648","5,538","6,495","5,504","7,475"
2021년06월_계_10~19세,"48,942","2,293","4,567","2,499",529,247,441,"6,333","5,556","2,070","6,981","5,107","3,880","3,083","5,356"
2021년06월_계_20~29세,"53,058","3,403","4,390","2,957",899,512,813,"7,779","3,967","3,154","7,799","4,007","5,702","3,104","4,572"
2021년06월_계_30~39세,"76,433","3,052","8,698","3,837",862,403,664,"8,248","5,458","2,838","9,088","6,607","10,117","7,679","8,882"
2021년06월_계_40~49세,"90,977","4,086","9,178","4,852","1,241",594,862,"10,723","8,390","3,761","11,666","9,155","8,510","6,916","11,043"
2021년06월_계_50~59세,"68,045","5,293","6,020","4,967","2,143","1,127","1,659","10,301","5,124","4,210","8,972","4,931","4,111","3,471","5,716"
2021년06월_계_60~69세,"52,204","4,547","5,207","4,377","2,147","1,298","1,816","6,917","3,248","2,949","6,097","3,429","3,079","3,091","4,002"
2021년06월_계_70~79세,"26,222","2,179","2,218","2,157","1,039",705,"1,037","3,394","1,755","1,509","3,283","1,852","1,435","1,708","1,951"
2021년06월_계_80~89세,"10,997","1,075",845,950,535,365,553,"1,575",683,685,"1,351",684,474,544,678
2021년06월_계_90~99세,"1,603",163,142,152,91,78,79,206,89,88,164,93,68,85,105
2021년06월_계_100세 이상,56,7,9,6,2,3,4,4,2,6,7,3,2,1,0
2021년06월_남_총인구수,"242,136","14,837","23,824","15,344","5,766","3,003","4,452","30,256","19,030","11,444","30,270","20,284","21,867","17,428","24,331"
2021년06월_남_연령구간인구수,"242,136","14,837","23,824","15,344","5,766","3,003","4,452","30,256","19,030","11,444","30,270","20,284","21,867","17,428","24,331"
2021년06월_남_0~9세,"28,090",870,"3,372","1,155",174,62,133,"2,979","2,385",815,"3,378","2,833","3,276","2,836","3,822"
2021년06월_남_10~19세,"24,951","1,240","2,375","1,290",291,118,246,"3,233","2,829","1,091","3,565","2,488","1,912","1,527","2,746"
2021년06월_남_20~29세,"27,330","2,038","2,186","1,621",565,313,498,"4,147","1,985","1,674","3,769","2,049","2,747","1,527","2,211"
2021년06월_남_30~39세,"37,517","1,717","4,151","2,139",561,239,392,"3,969","2,523","1,474","4,336","3,113","5,089","3,803","4,011"
2021년06월_남_40~49세,"47,271","2,299","4,757","2,752",789,364,529,"5,258","4,123","1,923","5,770","4,675","4,595","3,709","5,728"
2021년06월_남_50~59세,"34,768","2,865","3,004","2,728","1,375",652,956,"5,105","2,601","2,084","4,437","2,482","2,012","1,655","2,812"
2021년06월_남_60~69세,"25,386","2,392","2,499","2,258","1,249",711,979,"3,419","1,476","1,432","2,873","1,552","1,391","1,356","1,799"
2021년06월_남_70~79세,"12,257",993,"1,123","1,016",530,389,490,"1,499",813,681,"1,554",822,653,787,907
2021년06월_남_80~89세,"4,174",376,326,354,211,139,208,591,270,253,543,254,175,205,269
2021년06월_남_90~99세,380,45,29,29,21,16,21,55,24,17,43,15,16,23,26
2021년06월_남_100세 이상,12,2,2,2,0,0,0,1,1,0,2,1,1,0,0
2021년06월_여_총인구수,"241,506","12,952","23,910","13,715","4,041","2,466","3,735","31,172","20,039","11,355","31,786","21,122","22,006","17,758","25,449"
2021년06월_여_연령구간인구수,"241,506","12,952","23,910","13,715","4,041","2,466","3,735","31,172","20,039","11,355","31,786","21,122","22,006","17,758","25,449"
2021년06월_여_0~9세,"27,015",821,"3,088","1,150",145,75,126,"2,969","2,412",714,"3,270","2,705","3,219","2,668","3,653"
2021년06월_여_10~19세,"23,991","1,053","2,192","1,209",238,129,195,"3,100","2,727",979,"3,416","2,619","1,968","1,556","2,610"
2021년06월_여_20~29세,"25,728","1,365","2,204","1,336",334,199,315,"3,632","1,982","1,480","4,030","1,958","2,955","1,577","2,361"
2021년06월_여_30~39세,"38,916","1,335","4,547","1,698",301,164,272,"4,279","2,935","1,364","4,752","3,494","5,028","3,876","4,871"
2021년06월_여_40~49세,"43,706","1,787","4,421","2,100",452,230,333,"5,465","4,267","1,838","5,896","4,480","3,915","3,207","5,315"
2021년06월_여_50~59세,"33,277","2,428","3,016","2,239",768,475,703,"5,196","2,523","2,126","4,535","2,449","2,099","1,816","2,904"
2021년06월_여_60~69세,"26,818","2,155","2,708","2,119",898,587,837,"3,498","1,772","1,517","3,224","1,877","1,688","1,735","2,203"
2021년06월_여_70~79세,"13,965","1,186","1,095","1,141",509,316,547,"1,895",942,828,"1,729","1,030",782,921,"1,044"
2021년06월_여_80~89세,"6,823",699,519,596,324,226,345,984,413,432,808,430,299,339,409
2021년06월_여_90~99세,"1,223",118,113,123,70,62,58,151,65,71,121,78,52,62,79
2021년06월_여_100세 이상,44,5,7,4,2,3,4,3,1,6,5,2,1,1,0
