카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년06월_계_총인구수,"427,858","4,889","6,817","4,824","3,145","7,998","11,972","38,493","19,398","12,096","12,875","23,570","10,476","5,840","21,016","16,117","15,842","7,813","16,158","13,591","14,171","30,084","14,038","11,084","12,589","2,566","22,458","37,886","30,052"
2021년06월_계_연령구간인구수,"427,858","4,889","6,817","4,824","3,145","7,998","11,972","38,493","19,398","12,096","12,875","23,570","10,476","5,840","21,016","16,117","15,842","7,813","16,158","13,591","14,171","30,084","14,038","11,084","12,589","2,566","22,458","37,886","30,052"
2021년06월_계_0~9세,"32,649",232,266,259,81,547,446,"2,602","1,707",535,907,"2,160",388,529,"1,677","1,085","1,044",273,868,439,961,"2,351","1,147",618,497,65,"2,646","3,890","4,429"
2021년06월_계_10~19세,"42,027",180,464,293,110,553,688,"3,764","2,267",880,"1,394","2,285",651,513,"1,632","1,871","1,420",621,"1,327",804,"1,639","4,552","1,738","1,011",776,124,"2,539","4,095","3,836"
2021년06월_계_20~29세,"61,693",926,"1,351",916,475,"1,004","2,253","7,182","2,509","1,709","1,837","3,062","1,319",710,"2,600","2,357","2,546","1,140","2,296","1,547","2,271","4,675","1,977","1,765","1,892",237,"2,721","5,124","3,292"
2021년06월_계_30~39세,"54,853",939,776,692,407,"1,133","1,782","4,766","2,233","1,311","1,444","3,520",966,785,"3,010","1,580","1,956",744,"1,745","1,287","1,684","2,914","1,670","1,244","1,462",211,"3,473","5,826","5,293"
2021년06월_계_40~49세,"66,478",612,859,708,374,"1,145","1,575","5,530","3,093","1,625","1,856","3,861","1,239",912,"2,998","2,433","2,348",997,"2,186","1,547","2,369","5,554","2,275","1,605","1,543",221,"4,056","6,562","6,395"
2021년06월_계_50~59세,"71,237",656,972,657,551,"1,210","1,893","6,655","3,078","2,103","2,243","3,868","1,801",902,"3,441","2,987","2,558","1,370","2,900","2,575","2,648","5,665","2,433","2,134","2,404",517,"3,348","5,905","3,763"
2021년06월_계_60~69세,"54,856",682,985,635,564,"1,198","1,725","4,606","2,727","2,101","1,906","2,846","2,075",745,"3,082","2,214","2,147","1,323","2,662","2,814","1,531","2,463","1,627","1,580","2,223",578,"2,068","3,810","1,939"
2021년06월_계_70~79세,"29,713",456,765,457,372,857,"1,097","2,373","1,298","1,264",851,"1,390","1,376",496,"1,713","1,078","1,197",938,"1,537","1,642",736,"1,178",754,787,"1,147",364,"1,005","1,813",772
2021년06월_계_80~89세,"12,511",184,337,187,165,305,464,896,425,513,372,497,575,216,749,459,540,355,549,824,285,640,356,290,566,216,521,737,288
2021년06월_계_90~99세,"1,775",20,41,18,41,44,45,117,60,52,65,77,84,30,107,52,83,51,87,107,47,87,59,48,79,31,79,120,44
2021년06월_계_100세 이상,66,2,1,2,5,2,4,2,1,3,0,4,2,2,7,1,3,1,1,5,0,5,2,2,0,2,2,4,1
2021년06월_남_총인구수,"212,433","2,525","3,466","2,536","1,668","3,946","6,294","19,188","9,372","6,088","6,179","11,624","5,105","2,923","10,324","7,833","7,552","3,896","8,008","6,528","7,328","14,738","6,886","5,626","6,162","1,339","11,345","19,052","14,902"
2021년06월_남_연령구간인구수,"212,433","2,525","3,466","2,536","1,668","3,946","6,294","19,188","9,372","6,088","6,179","11,624","5,105","2,923","10,324","7,833","7,552","3,896","8,008","6,528","7,328","14,738","6,886","5,626","6,162","1,339","11,345","19,052","14,902"
2021년06월_남_0~9세,"16,716",112,134,140,44,291,220,"1,299",877,244,458,"1,112",201,266,829,511,536,154,434,226,519,"1,222",599,313,232,30,"1,363","2,055","2,295"
